"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FJM00091680","1965","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","         0","I","         0","I","   12.2","I,0806, ","","","","","     20.42","I"
"FJM00091680","1969","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","         0","I","         0","I","   14.4","I,0814,+","","","","","     21.08","I"
"FJM00091680","1979","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        55","I","        26","I","         7","I","","","","","",""," 140.0"," ,I,0926, ","    590.7"," ,I","",""
"FJM00091680","1980","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       114","f","        76","f","        18","f","","","","","",""," 117.0"," ,f,0114, ","   1562.9"," ,f","",""
"FJM00091680","1981","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       124","f","        89","f","        25","f","","","","","",""," 118.0"," ,f,0114, ","   2144.1"," ,f","",""
"FJM00091680","1982","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       136","f","        92","f","        23","f","","","","","",""," 114.5"," ,f,0615, ","   1888.5"," ,f","",""
"FJM00091680","1983","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        85","f","        58","f","        12","f","","","","","",""," 301.3"," ,f,0301, ","   1323.1"," ,f","",""
"FJM00091680","1984","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       128","f","        91","f","        19","f","","","","","","","  98.7"," ,f,0317, ","   1739.8"," ,f","",""
"FJM00091680","1985","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       119","f","        87","f","        23","f","","","","","",""," 140.4"," ,f,0117, ","   1891.5"," ,f","",""
"FJM00091680","1986","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       113","f","        88","f","        29","f","","","","","",""," 128.8"," ,f,0409, ","   2011.0"," ,f","",""
"FJM00091680","1987","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        74","f","        42","f","        10","f","","","","","",""," 106.5"," ,f,0207, ","    998.2"," ,f","",""
"FJM00091680","1988","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       116","f","        85","f","        28","f","","","","","",""," 103.7"," ,f,1224, ","   1979.0"," ,f","",""
"FJM00091680","1989","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       134","f","        92","f","        37","f","","","","","",""," 134.3"," ,f,0529, ","   2348.2"," ,f","",""
"FJM00091680","1990","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       113","f","        77","f","        13","f","","","","","",""," 154.8"," ,f,0320, ","   1498.0"," ,f","",""
"FJM00091680","1991","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       106","f","        69","f","        17","f","","","","","",""," 190.5"," ,f,0411, ","   1480.9"," ,f","",""
"FJM00091680","1992","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        93","f","        57","f","        19","f","","","","","",""," 199.8"," ,f,1210, ","   1266.4"," ,f","",""
"FJM00091680","1993","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        95","f","        62","f","        22","f","","","","","",""," 340.0"," ,f,0226, ","   2045.6"," ,f","",""
"FJM00091680","1994","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        93","f","        71","f","        24","f","","","","","",""," 108.4"," ,f,0603, ","   1613.1"," ,f","",""
"FJM00091680","1995","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       111","f","        76","f","        19","f","","","","","",""," 108.7"," ,f,0315, ","   1454.4"," ,f","",""
"FJM00091680","1996","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       132","f","       101","f","        28","f","","","","","",""," 124.8"," ,f,0308, ","   2330.8"," ,f","",""
"FJM00091680","1997","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       122","f","        78","f","        23","f","","","","","",""," 270.0"," ,f,0307, ","   2073.7"," ,f","",""
"FJM00091680","1998","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        93","f","        57","f","        13","f","","","","","","","  50.1"," ,f,0422, ","    995.6"," ,f","",""
"FJM00091680","1999","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       169","f","       118","f","        39","f","","","","","",""," 356.2"," ,f,0118, ","   3129.2"," ,f","",""
"FJM00091680","2000","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       182","f","       122","f","        43","f","","","","","",""," 132.3"," ,f,0124, ","   3288.1"," ,f","",""
"FJM00091680","2001","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       132","f","        88","f","        25","f","","","","","",""," 153.9"," ,f,1022, ","   1965.9"," ,f","",""
"FJM00091680","2002","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       135","f","        87","f","        22","f","","","","","",""," 144.9"," ,f,0111, ","   1869.6"," ,f","",""
"FJM00091680","2003","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       112","f","        66","f","        17","f","","","","","","","  94.6"," ,f,0311, ","   1274.7"," ,f","",""
"FJM00091680","2004","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       112","f","        70","f","        20","f","","","","","",""," 127.5"," ,f,0206, ","   1546.6"," ,f","",""
"FJM00091680","2005","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       100","f","        71","f","        24","f","","","","","","","  80.8"," ,f,0419, ","   1686.8"," ,f","",""
"FJM00091680","2006","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       111","f","        77","f","        24","f","","","","","",""," 104.8"," ,f,1114, ","   1689.2"," ,f","",""
"FJM00091680","2007","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       147","f","       100","f","        36","f","","","","","",""," 116.7"," ,f,0323, ","   2523.5"," ,f","",""
"FJM00091680","2008","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       152","f","       107","f","        36","f","","","","","",""," 112.2"," ,f,0222, ","   2459.4"," ,f","",""
"FJM00091680","2009","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       137","f","       101","f","        27","f","","","","","",""," 280.8"," ,f,0110, ","   2799.2"," ,f","",""
"FJM00091680","2010","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       108","f","        76","f","        17","f","","","","","","","  84.0"," ,f,1218, ","   1334.2"," ,f","",""
"FJM00091680","2011","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       173","f","       129","f","        35","f","","","","","",""," 130.9"," ,f,0218, ","   2782.6"," ,f","",""
"FJM00091680","2012","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       142","f","       111","f","        35","f","","","","","",""," 291.9"," ,f,0124, ","   3532.1"," ,f","",""
"FJM00091680","2013","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       140","f","        92","f","        26","f","","","","","",""," 112.3"," ,f,0924, ","   2031.7"," ,f","",""
"FJM00091680","2014","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","        97","f","        62","f","        13","f","","","","","",""," 157.0"," ,f,0129, ","   1198.9"," ,f","",""
"FJM00091680","2015","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       107","f","        74","f","        17","f","","","","","","","  83.0"," ,f,0212, ","   1182.4"," ,f","",""
"FJM00091680","2016","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       109","f","        77","f","        30","f","","","","","",""," 177.0"," ,f,0404, ","   2303.0"," ,f","",""
"FJM00091680","2017","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       102","f","        76","f","        27","f","","","","","",""," 275.3"," ,f,0207, ","   2167.5"," ,f","",""
"FJM00091680","2018","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       125","f","        85","f","        30","f","","","","","",""," 152.8"," ,f,0331, ","   2210.5"," ,f","",""
"FJM00091680","2019","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       124","f","        84","f","        16","f","","","","","",""," 143.2"," ,f,0414, ","   1697.3"," ,f","",""
"FJM00091680","2020","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       129","f","        92","f","        24","f","","","","","",""," 108.9"," ,f,0321, ","   1938.5"," ,f","",""
"FJM00091680","2021","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       139","f","       102","f","        32","f","","","","","","","  90.2"," ,f,0128, ","   2147.8"," ,f","",""
"FJM00091680","2022","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       134","f","        99","f","        42","f","","","","","",""," 201.8"," ,f,0108, ","   3122.9"," ,f","",""
"FJM00091680","2023","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       124","S","        89","S","        31","S","","","","","",""," 225.3"," ,S,0928, ","   2804.4"," ,S","",""
"FJM00091680","2024","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","       117","S","        81","S","        26","S","","","","","",""," 238.0"," ,S,0317, ","   2523.0"," ,S","",""
