"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"FJM00091697","1980","-19.1317","179.7414","3.0","MATUKU, FJ","       176","f","       101","f","        25","f"," 150.1"," ,f,1019, ","   1883.0"," ,f"
"FJM00091697","1981","-19.1317","179.7414","3.0","MATUKU, FJ","       152","f","        88","f","        23","f"," 108.5"," ,f,0515, ","   1755.6"," ,f"
"FJM00091697","1982","-19.1317","179.7414","3.0","MATUKU, FJ","       175","f","       108","f","        23","f"," 143.0"," ,f,0424, ","   1928.3"," ,f"
"FJM00091697","1983","-19.1317","179.7414","3.0","MATUKU, FJ","       151","f","        81","f","        13","f"," 354.8"," ,f,1201, ","   1719.4"," ,f"
"FJM00091697","1984","-19.1317","179.7414","3.0","MATUKU, FJ","       170","f","        99","f","        14","f"," 145.3"," ,f,0117, ","   1410.6"," ,f"
"FJM00091697","1985","-19.1317","179.7414","3.0","MATUKU, FJ","       149","f","        80","f","        17","f"," 338.2"," ,f,0117, ","   1605.1"," ,f"
"FJM00091697","1986","-19.1317","179.7414","3.0","MATUKU, FJ","       141","f","        81","f","        18","f"," 152.8"," ,f,0823, ","   1690.4"," ,f"
"FJM00091697","1987","-19.1317","179.7414","3.0","MATUKU, FJ","       147","f","        75","f","        11","f"," 130.0"," ,f,0317, ","   1330.4"," ,f"
"FJM00091697","1988","-19.1317","179.7414","3.0","MATUKU, FJ","       198","f","       115","f","        23","f"," 197.7"," ,f,1019, ","   1939.5"," ,f"
"FJM00091697","1991","-19.1317","179.7414","3.0","MATUKU, FJ","       137","f","        66","f","        18","f","  94.8"," ,f,0108, ","   1394.7"," ,f"
"FJM00091697","1992","-19.1317","179.7414","3.0","MATUKU, FJ","       146","f","        79","f","        11","f"," 156.5"," ,f,1211, ","   1275.4"," ,f"
"FJM00091697","1993","-19.1317","179.7414","3.0","MATUKU, FJ","       173","f","        89","f","        21","f"," 210.2"," ,f,0227, ","   1984.9"," ,f"
"FJM00091697","1994","-19.1317","179.7414","3.0","MATUKU, FJ","       136","f","        58","f","        13","f"," 137.0"," ,f,0209, ","   1190.7"," ,f"
"FJM00091697","1995","-19.1317","179.7414","3.0","MATUKU, FJ","       174","f","        94","f","        13","f"," 114.4"," ,f,0525, ","   1495.8"," ,f"
"FJM00091697","1996","-19.1317","179.7414","3.0","MATUKU, FJ","       157","f","        95","f","        26","f"," 115.0"," ,f,0518, ","   1960.5"," ,f"
"FJM00091697","1997","-19.1317","179.7414","3.0","MATUKU, FJ","       175","f","       102","f","        24","f"," 158.2"," ,f,0218, ","   2081.5"," ,f"
"FJM00091697","1998","-19.1317","179.7414","3.0","MATUKU, FJ","       215","f","       103","f","        12","f","  64.8"," ,f,0302, ","   1352.0"," ,f"
"FJM00091697","2004","-19.1317","179.7414","3.0","MATUKU, FJ","        93","f","        91","f","        16","f","  71.0"," ,f,0828, ","   1244.8"," ,f"
"FJM00091697","2005","-19.1317","179.7414","3.0","MATUKU, FJ","       102","f","        87","f","        10","f","  62.8"," ,f,0609, ","   1120.2"," ,f"
"FJM00091697","2006","-19.1317","179.7414","3.0","MATUKU, FJ","       158","f","       127","f","        16","f","  81.2"," ,f,0919, ","   1700.3"," ,f"
"FJM00091697","2007","-19.1317","179.7414","3.0","MATUKU, FJ","       154","f","       135","f","        25","f"," 156.4"," ,f,1222, ","   2259.4"," ,f"
"FJM00091697","2008","-19.1317","179.7414","3.0","MATUKU, FJ","       139","f","       115","f","        21","f","  99.6"," ,f,1128, ","   2015.8"," ,f"
"FJM00091697","2009","-19.1317","179.7414","3.0","MATUKU, FJ","       123","f","       103","f","        25","f"," 241.6"," ,f,1214, ","   2144.6"," ,f"
"FJM00091697","2011","-19.1317","179.7414","3.0","MATUKU, FJ","       149","f","       122","f","        35","f"," 163.5"," ,f,0218, ","   2685.7"," ,f"
