"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMC00914898","1991","5.2739","162.9742","4.0","UTWA, FM FM","   3282.2","","    3282.2","0","       245","0","       216","0","        65","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","        15","0","   22.2","0,0414, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 179.1"," ,0,0505, ","   32.2","0,1016,+","","","","","   5269.1"," ,0","        0"," ,0","     27.40","0","     30.43","0","     24.38","0"
"FMC00914898","1994","5.2739","162.9742","4.0","UTWA, FM FM","","","","","","","","","","","        0","","         0","0","         0","0","         0","0","","","","","","","   21.1","0,0331, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","     24.36","0"
"FMC00914898","1995","5.2739","162.9742","4.0","UTWA, FM FM","   3281.5","","    3281.5","0","       236","0","       220","0","        55","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         2","0","   22.2","0,1230,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 142.7"," ,0,0201, ","   32.2","0,1109,+","       0.0","0","       0.0","0","   4359.2"," ,0","        0"," ,0","     27.37","0","     30.50","0","     24.25","0"
"FMC00914898","1996","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       265","0","       242","0","        75","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 110.5"," ,0,1122, ","","","       0.0","0","       0.0","0","   5315.4"," ,0","        0"," ,0","","","","","",""
"FMC00914898","1998","5.2739","162.9742","4.0","UTWA, FM FM","   2698.0","","    2698.0","0","       201","0","       172","0","        38","0","","","         0","0","         0","0","         0","0","         0","0","       365","0","         0","0","   21.1","0,1229,+","","","     0"," ,0,1231,+"," 118.6"," ,0,1210, ","   30.6","0,0403,+","","","","","   3292.4"," ,0","        0"," ,0","     25.73","0","     28.85","0","     22.61","0"
"FMC00914898","2000","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       275","0","       248","0","        74","0","        0","","         0","0","","","","","         0","0","       366","0","       112","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 118.1"," ,0,0813,+","   32.8","0,1107,+","","","","","   5380.7"," ,0","        0"," ,0","","","     31.29","0","",""
"FMC00914898","2001","5.2739","162.9742","4.0","UTWA, FM FM","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       365","0","       165","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   33.3","0,1225,+","","","","","","","        0"," ,0","","","     31.56","0","",""
"FMC00914898","2002","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       252","0","       234","0","        59","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 198.1"," ,0,0811, ","","","","","","","   4994.1"," ,0","        0"," ,0","","","","","",""
"FMC00914898","2003","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       218","0","       198","0","        54","0","        0","","         0","0","","","","","         0","0","       364","0","        63","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 178.8"," ,0,0520, ","   33.3","0,1031,+","       0.0","0","       0.0","0","   4332.3"," ,0","        0"," ,0","","","     31.10","0","",""
"FMC00914898","2005","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       323","0","       252","0","        71","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 117.6"," ,0,0529, ","","","","","","","   5330.4"," ,0","        0"," ,0","","","","","",""
"FMC00914898","2009","5.2739","162.9742","4.0","UTWA, FM FM","","","","","       319","0","       229","0","        59","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.9"," ,0,1031, ","","","","","","","   4539.6"," ,0","        0"," ,0","","","","","",""
