"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"FRM00007110","1973","48.448","-4.419","99.1","GUIPAVAS, FR","       169","S","        86","S","         0","S","","","","","","","  24.9"," ,S,1129, ","","","    743.7"," ,S","",""
"FRM00007110","1974","48.448","-4.419","99.1","GUIPAVAS, FR","       234","S","       128","S","         5","S","","","","","","","  55.1"," ,S,0211, ","","","   1226.4"," ,S","",""
"FRM00007110","1975","48.448","-4.419","99.1","GUIPAVAS, FR","       173","S","        86","S","         3","S","","","","","","","  34.0"," ,S,0925, ","","","    792.6"," ,S","",""
"FRM00007110","1976","48.448","-4.419","99.1","GUIPAVAS, FR","       165","S","        87","S","         2","S","","","","","","","  27.9"," ,S,1129, ","","","    830.0"," ,S","",""
"FRM00007110","1977","48.448","-4.419","99.1","GUIPAVAS, FR","       202","S","       120","S","         4","S","         0","S","        18","S","         0","S","  47.0"," ,S,0125, ","   27.0","S,0704, ","   1125.3"," ,S","     15.12","S"
"FRM00007110","1978","48.448","-4.419","99.1","GUIPAVAS, FR","       201","S","       122","S","         5","S","","","","","","","  34.3"," ,S,1103, ","","","   1095.4"," ,S","",""
"FRM00007110","1979","48.448","-4.419","99.1","GUIPAVAS, FR","       215","S","       118","S","         3","S","","","","","","","  41.9"," ,S,1227, ","","","   1136.2"," ,S","",""
"FRM00007110","1980","48.448","-4.419","99.1","GUIPAVAS, FR","       196","S","       125","S","         2","S","","","","","","","  53.1"," ,S,1017, ","","","   1097.3"," ,S","",""
"FRM00007110","1981","48.448","-4.419","99.1","GUIPAVAS, FR","       220","S","       128","S","         3","S","","","","","","","  40.9"," ,S,1001, ","","","   1246.9"," ,S","",""
"FRM00007110","1994","48.448","-4.419","99.1","GUIPAVAS, FR","       217","S","       118","S","         5","S","","","","","","","  39.4"," ,S,0810, ","","","   1103.6"," ,S","",""
"FRM00007110","1995","48.448","-4.419","99.1","GUIPAVAS, FR","       199","S","       101","S","         9","S","","","","","","","  39.1"," ,S,0907, ","","","   1116.6"," ,S","",""
"FRM00007110","1996","48.448","-4.419","99.1","GUIPAVAS, FR","       226","S","        82","S","         3","S","","","","","","","  45.7"," ,S,0519, ","","","    861.6"," ,S","",""
"FRM00007110","1997","48.448","-4.419","99.1","GUIPAVAS, FR","       223","S","       106","S","         4","S","","","","","","","  50.5"," ,S,1009, ","","","   1033.0"," ,S","",""
"FRM00007110","1998","48.448","-4.419","99.1","GUIPAVAS, FR","       250","S","       120","S","         7","S","","","","","","","  51.6"," ,S,1209, ","","","   1244.2"," ,S","",""
"FRM00007110","1999","48.448","-4.419","99.1","GUIPAVAS, FR","       239","S","       124","S","         7","S","","","","","","","  44.5"," ,S,0923, ","","","   1392.8"," ,S","",""
"FRM00007110","2000","48.448","-4.419","99.1","GUIPAVAS, FR","","","","","","","         0","S","        42","S","         0","S","","","   29.9","S,0617, ","","","     14.80","S"
"FRM00007110","2001","48.448","-4.419","99.1","GUIPAVAS, FR","       207","S","        92","S","         6","S","         0","S","        42","S","         0","S","  40.6"," ,S,0101, ","   29.9","S,0625, ","   1013.1"," ,S","     15.05","S"
"FRM00007110","2002","48.448","-4.419","99.1","GUIPAVAS, FR","       241","S","       113","S","         4","S","","","","","","","  61.2"," ,S,1222, ","","","   1207.7"," ,S","",""
"FRM00007110","2003","48.448","-4.419","99.1","GUIPAVAS, FR","       217","S","       102","S","         3","S","","","","","","","  42.4"," ,S,1123, ","","","    981.1"," ,S","",""
"FRM00007110","2004","48.448","-4.419","99.1","GUIPAVAS, FR","       240","S","       107","S","         2","S","","","","","","","  71.9"," ,S,0708, ","","","   1096.5"," ,S","",""
"FRM00007110","2005","48.448","-4.419","99.1","GUIPAVAS, FR","       248","S","       101","S","         5","S","","","","","","","  48.3"," ,S,1202, ","","","   1020.9"," ,S","",""
"FRM00007110","2006","48.448","-4.419","99.1","GUIPAVAS, FR","       251","S","       118","S","         6","S","","","","","","","  54.1"," ,S,1024, ","","","   1271.9"," ,S","",""
