"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GB000004553","1950","-1.63","13.57","426.0","FRANCEVILLE, GB","","","","","       123","I","       104","I","        17","I","         0","I","         0","I","         0","I","       365","I","        32","I","   14.3","I,0319, "," 128.1"," ,I,0318, ","   34.8","I,0227, ","       0.0","0","       0.0","I","   1595.6"," ,I","     24.24","I","     29.07","I","     19.41","I"
"GB000004553","1951","-1.63","13.57","426.0","FRANCEVILLE, GB","   2101.1","","    2101.1","I","       125","I","       108","I","        24","I","         0","I","         0","I","         0","I","       365","I","        15","I","   16.0","I,0818, ","  85.5"," ,I,1022, ","   33.8","I,0224, ","       0.0","0","       0.0","I","   2040.2"," ,I","     24.30","I","     29.01","I","     19.60","I"
"GB000004553","1952","-1.63","13.57","426.0","FRANCEVILLE, GB","   2276.3","","    2276.3","I","       128","I","       101","I","        29","I","         0","I","         0","I","         0","I","       366","I","        46","I","   15.0","I,0710, "," 113.0"," ,I,0930, ","   33.6","I,0317,+","       0.0","0","       0.0","I","   2067.5"," ,I","     24.54","I","     29.51","I","     19.57","I"
"GB000004553","1953","-1.63","13.57","426.0","FRANCEVILLE, GB","   2224.7","","    2224.7","I","       126","I","       105","I","        31","I","         0","I","         0","I","         0","I","       365","I","        19","I","   14.9","I,0801, "," 126.7"," ,I,1116, ","   34.5","I,0325, ","       0.0","0","       0.0","I","   2333.3"," ,I","     24.47","I","     29.58","I","     19.36","I"
"GB000004553","1954","-1.63","13.57","426.0","FRANCEVILLE, GB","   2186.5","","    2186.5","I","       137","I","       100","I","        19","I","         0","I","         0","I","         0","I","       365","I","        25","I","   12.8","I,0802, ","  94.2"," ,I,1017, ","   33.4","I,0303, ","       0.0","0","       0.0","I","   1820.0"," ,I","     24.12","I","     29.20","I","     19.03","I"
"GB000004553","1955","-1.63","13.57","426.0","FRANCEVILLE, GB","   2130.0","","    2130.0","I","       144","I","       105","I","        24","I","         0","I","         0","I","         0","I","       365","I","        16","I","   16.1","I,1204, ","  85.6"," ,I,0122, ","   33.0","I,0425, ","       0.0","0","       0.0","I","   1903.3"," ,I","     24.25","I","     28.69","I","     19.81","I"
"GB000004553","1956","-1.63","13.57","426.0","FRANCEVILLE, GB","   2227.7","","    2227.7","I","       114","I","        81","I","        12","I","         0","I","         0","I","         0","I","       366","I","        23","I","   16.0","I,0701, ","  67.8"," ,I,1106, ","   33.5","I,0307, ","       0.0","0","       0.0","I","   1177.3"," ,I","     24.52","I","     28.89","I","     20.16","I"
"GB000004553","1957","-1.63","13.57","426.0","FRANCEVILLE, GB","   2256.9","","    2256.9","I","       142","I","        94","I","        17","I","         0","I","         0","I","         0","I","       365","I","        19","I","   15.8","I,0627, ","  74.3"," ,I,0614, ","   33.2","I,0313, ","       0.0","0","       0.0","I","   1413.0"," ,I","     24.74","I","     29.06","I","     20.42","I"
"GB000004553","1958","-1.63","13.57","426.0","FRANCEVILLE, GB","   2342.5","","    2342.5","I","       134","I","        89","I","        13","I","         0","I","         0","I","         0","I","       364","I","        28","I","   14.4","I,0629, "," 107.8"," ,I,0919, ","   34.0","I,0322, ","       0.0","0","       0.0","I","   1555.8"," ,I","     24.62","I","     28.87","I","     20.37","I"
"GB000004553","1961","-1.63","13.57","426.0","FRANCEVILLE, GB","","","","","       160","I","       115","I","        23","I","         0","I","         0","I","         0","I","       365","I","         9","I","   15.2","I,0806, "," 102.4"," ,I,0301, ","   33.4","I,0330, ","       0.0","0","       0.0","I","   2110.2"," ,I","     24.10","I","     28.19","I","     20.00","I"
"GB000004553","1962","-1.63","13.57","426.0","FRANCEVILLE, GB","   2132.6","","    2132.6","I","       152","I","       105","I","        23","I","         0","I","         0","I","         0","I","       365","I","        15","I","   16.0","I,0723, "," 105.2"," ,I,1030, ","   33.8","I,0217, ","       0.0","0","       0.0","I","   2023.3"," ,I","     24.41","I","     28.62","I","     20.21","I"
"GB000004553","1963","-1.63","13.57","426.0","FRANCEVILLE, GB","   2242.4","","    2242.4","I","       152","I","       108","I","        20","I","         0","I","         0","I","         0","I","       365","I","         7","I","   17.8","I,0717, ","  97.1"," ,I,1119, ","   32.8","I,0217, ","       0.0","0","       0.0","I","   1839.4"," ,I","     24.54","I","     28.74","I","     20.33","I"
"GB000004553","1964","-1.63","13.57","426.0","FRANCEVILLE, GB","   2281.8","","    2281.8","I","       143","I","        98","I","        18","I","         0","I","         0","I","         0","I","       366","I","        20","I","   14.6","I,0801, ","  87.1"," ,I,0415, ","   33.8","I,0218, ","       0.0","0","       0.0","I","   1736.1"," ,I","     24.37","I","     28.65","I","     20.09","I"
"GB000004553","1965","-1.63","13.57","426.0","FRANCEVILLE, GB","   2139.3","","    2139.3","I","       153","I","       114","I","        26","I","         0","I","         0","I","         0","I","       365","I","        12","I","   16.8","I,0709, "," 112.4"," ,I,0311, ","   33.4","I,0407, ","       0.0","0","       0.0","I","   1975.7"," ,I","     24.31","I","     28.67","I","     19.95","I"
