"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GG000037209","1967","43.1","42.8","1441.0","MESTIA, GG","       159","I","        90","I","         6","I","  49.0"," ,I,0723, ","    996.8"," ,I"
"GG000037209","1969","43.1","42.8","1441.0","MESTIA, GG","       131","I","        71","I","         0","I","  24.0"," ,I,0624, ","    622.3"," ,I"
"GG000037209","1970","43.1","42.8","1441.0","MESTIA, GG","       164","I","        96","I","         7","I","  63.4"," ,I,0827, ","   1217.4"," ,I"
"GG000037209","1971","43.1","42.8","1441.0","MESTIA, GG","       164","I","       100","I","         5","I","  43.2"," ,I,0927, ","    965.8"," ,I"
"GG000037209","1972","43.1","42.8","1441.0","MESTIA, GG","       169","I","       100","I","         7","I","  47.9"," ,I,1001, ","   1025.4"," ,I"
"GG000037209","1973","43.1","42.8","1441.0","MESTIA, GG","       169","I","       101","I","         4","I","  35.4"," ,I,1203, ","    956.8"," ,I"
"GG000037209","1974","43.1","42.8","1441.0","MESTIA, GG","       137","I","        70","I","         2","I","  33.7"," ,I,0522, ","    694.4"," ,I"
"GG000037209","1975","43.1","42.8","1441.0","MESTIA, GG","       159","I","       105","I","         1","I","  31.1"," ,I,0824, ","    953.0"," ,I"
"GG000037209","1976","43.1","42.8","1441.0","MESTIA, GG","       146","I","        87","I","         4","I","  53.0"," ,I,0830, ","    950.6"," ,I"
"GG000037209","1977","43.1","42.8","1441.0","MESTIA, GG","       177","I","        98","I","         5","I","  69.4"," ,I,0811, ","   1061.0"," ,I"
"GG000037209","1979","43.1","42.8","1441.0","MESTIA, GG","       172","I","        95","I","         5","I","  52.8"," ,I,1102, ","    993.0"," ,I"
"GG000037209","1980","43.1","42.8","1441.0","MESTIA, GG","       154","I","        88","I","         6","I","  45.1"," ,I,0805, ","   1004.9"," ,I"
"GG000037209","1981","43.1","42.8","1441.0","MESTIA, GG","       140","I","        92","I","         5","I","  45.9"," ,I,1104, ","    990.8"," ,I"
"GG000037209","1982","43.1","42.8","1441.0","MESTIA, GG","       154","I","        83","I","         2","I","  37.3"," ,I,0401, ","    807.5"," ,I"
"GG000037209","1984","43.1","42.8","1441.0","MESTIA, GG","       148","I","        77","I","         3","I","  71.5"," ,I,0929, ","    812.5"," ,I"
"GG000037209","1985","43.1","42.8","1441.0","MESTIA, GG","       153","I","        91","I","         6","I","  37.2"," ,I,0912, ","    911.5"," ,I"
"GG000037209","1986","43.1","42.8","1441.0","MESTIA, GG","       154","I","        93","I","         3","I","  48.5"," ,I,0906, ","    834.7"," ,I"
"GG000037209","1987","43.1","42.8","1441.0","MESTIA, GG","       164","I","       104","I","        10","I","  67.6"," ,I,0706, ","   1382.6"," ,I"
"GG000037209","1988","43.1","42.8","1441.0","MESTIA, GG","       167","I","       110","I","         4","I","  31.9"," ,I,0829, ","   1063.8"," ,I"
"GG000037209","1989","43.1","42.8","1441.0","MESTIA, GG","       140","I","        94","I","        13","I","  62.5"," ,I,0616, ","   1293.7"," ,I"
"GG000037209","1990","43.1","42.8","1441.0","MESTIA, GG","       131","I","        71","I","         3","I","  34.4"," ,I,0929, ","    772.5"," ,I"
"GG000037209","1991","43.1","42.8","1441.0","MESTIA, GG","       133","I","        80","I","         3","I","  47.2"," ,I,0707, ","    789.9"," ,I"
