"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00128998","1969","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       132","E","        52","E","         1","E","       52","","","","","","","","","","","","","","   270"," ,E,0217, ","  26.8"," ,E,0503, ","","","","","","","","","","","","","","","","","","","","","","","    430.6"," ,E","","","","","",""
"GME00128998","1970","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       153","E","        75","E","         2","E","       73","","","","","","","","","","","","","","   330"," ,E,0106, ","  31.4"," ,E,0821, ","","","","","","","","","","","","","","","","","","","","","","","    605.0"," ,E","","","","","",""
"GME00128998","1971","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       112","E","        45","E","         1","E","       26","","","","","","","","","","","","","","   130"," ,E,0101, ","  30.2"," ,E,0821, ","","","","","","","","","","","","","","","","","","","","","","","    414.4"," ,E","","","","","",""
"GME00128998","1972","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       103","E","        51","E","         1","E","        3","","","","","","","","","","","","","","    60"," ,E,0312,+","  47.0"," ,E,0606, ","","","","","","","","","","","","","","","","","","","","","","","    487.2"," ,E","","","","","",""
"GME00128998","1973","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       132","E","        49","E","         0","E","        9","","","","","","","","","","","","","","   140"," ,E,0225, ","  14.1"," ,E,1016, ","","","","","","","","","","","","","","","","","","","","","","","    367.9"," ,E","","","","","",""
"GME00128998","1974","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       157","E","        70","E","         2","E","        2","","","","","","","","","","","","","","    50"," ,E,1213, ","  34.8"," ,E,1022, ","","","","","","","","","","","","","","","","","","","","","","","    601.0"," ,E","","","","","",""
"GME00128998","1975","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       108","E","        39","E","         1","E","        0","","","","","","","","","","","","","","    20"," ,E,0326,+","  35.8"," ,E,0822, ","","","","","","","","","","","","","","","","","","","","","","","    339.7"," ,E","","","","","",""
"GME00128998","1976","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","        98","E","        39","E","         0","E","       11","","","","","","","","","","","","","","    80"," ,E,0214, ","  13.4"," ,E,0731, ","","","","","","","","","","","","","","","","","","","","","","","    283.1"," ,E","","","","","",""
"GME00128998","1977","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       132","E","        60","E","         2","E","       13","","","","","","","","","","","","","","   160"," ,E,0113, ","  47.3"," ,E,0819, ","","","","","","","","","","","","","","","","","","","","","","","    645.0"," ,E","","","","","",""
"GME00128998","1978","51.6053","12.1106","87.0","SPOREN PRUSSENDORF, GM","","","","","       126","E","        51","E","         1","E","        7","","","","","","","","","","","","","","    90"," ,E,1231, ","  32.1"," ,E,0507, ","","","","","","","","","","","","","","","","","","","","","","","    485.6"," ,E","","","","","",""
