"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00130870","1947","53.3931","10.6892","45.0","BOIZENBURG, GM","    173.7","","     173.7","E","","","","","","","","","         1","E","       105","E","        55","E","       110","E","         5","E","  -19.4","E,0225, ","","","","","   34.4","E,0629, ","-1.2","E,1019","-2.8","E,1026","-5.5","E,1120","","","","","-0.2","E,0411","-5.2","E,0316","-5.2","E,0316","-7.6","E,0315","-13.2","E,0313","","","","","","","      8.33","E","     12.72","E","      3.95","E"
"GME00130870","1948","53.3931","10.6892","45.0","BOIZENBURG, GM","     66.5","","      66.5","E","","","","","","","","","         0","E","        84","E","        15","E","        71","E","         2","E","  -12.9","E,0221, ","","","","","   32.8","E,0802, ","-0.1","E,1027","-3.2","E,1109","-4.6","E,1125","-7.0","E,1222","","","-0.3","E,0413","-2.8","E,0314","-5.0","E,0307","-11.2","E,0222","-11.2","E,0222","    3260.6","6","    3260.6","E","","","      9.24","E","     13.20","E","      5.27","E"
"GME00130870","1949","53.3931","10.6892","45.0","BOIZENBURG, GM","     53.7","","      53.7","E","","","","","","","","","         0","E","        76","E","        11","E","        77","E","         0","E","  -10.8","E,0308, ","","","","","   31.4","E,0906, ","-0.4","E,1028","-3.8","E,1029","-4.5","E,1103","-7.0","E,1105","","","-0.2","E,0421","-5.2","E,0310","-5.2","E,0310","-10.8","E,0308","-10.8","E,0308","    3472.5","5","    3472.5","E","","","      9.44","E","     13.61","E","      5.27","E"
"GME00130870","1950","53.3931","10.6892","45.0","BOIZENBURG, GM","     63.0","","      63.0","E","","","","","","","","","         0","E","        89","E","        24","E","        73","E","         0","E","  -10.6","E,1231,+","","","","","   30.4","E,0607, ","-0.9","E,1022","-2.5","E,1030","-5.3","E,1101","-7.3","E,1218","-10.6","E,1229","-0.3","E,0430","-3.9","E,0314","-6.7","E,0303","-6.7","E,0303","-9.2","E,0201","    3247.6","6","    3247.6","E","","","      8.75","E","     12.44","E","      5.06","E"
"GME00130870","1951","53.3931","10.6892","45.0","BOIZENBURG, GM","     50.8","","      50.8","E","       157","E","        81","E","         1","E","        8","","         0","E","        74","E","         9","E","        66","E","         0","E","  -10.8","E,0101, ","   120"," ,E,0215, ","  28.8"," ,E,0527, ","   31.1","E,0830, ","-0.2","E,1007","-2.6","E,1025","","","","","","","-0.4","E,0423","-2.2","E,0422","-5.4","E,0307","-10.3","E,0203","-10.3","E,0203","    3710.1","1","    3710.1","E","    693.0"," ,E","      8.96","E","     12.89","E","      5.03","E"
"GME00130870","1952","53.3931","10.6892","45.0","BOIZENBURG, GM","     53.6","","      53.6","E","       168","E","        80","E","         0","E","       28","","         0","E","       111","E","        18","E","        57","E","         1","E","  -12.0","E,0216, ","   120"," ,E,1219,+","  21.1"," ,E,0504, ","   33.9","E,0702, ","-1.7","E,1013","-2.3","E,1109","-6.8","E,1129","-6.8","E,1129","-10.9","E,1202","-1.5","E,0403","-4.8","E,0402","-4.8","E,0402","-12.0","E,0216","-12.0","E,0216","    3425.2","2","    3425.2","E","    605.0"," ,E","      7.95","E","     11.69","E","      4.21","E"
"GME00130870","1953","53.3931","10.6892","45.0","BOIZENBURG, GM","     98.6","","      98.6","E","       160","E","        66","E","         0","E","       31","","         0","E","        85","E","        21","E","        76","E","         0","E","  -15.5","E,0209, ","   130"," ,E,0210, ","  24.4"," ,E,0608, ","   31.6","E,0702, ","-1.4","E,1117","-5.0","E,1125","-5.0","E,1125","-7.3","E,1126","","","-0.3","E,0510","-4.2","E,0315","-5.7","E,0302","-10.2","E,0216","-10.2","E,0216","    3721.5","5","    3721.5","E","    532.3"," ,E","      9.49","E","     13.64","E","      5.34","E"
"GME00130870","1954","53.3931","10.6892","45.0","BOIZENBURG, GM","     35.1","","      35.1","E","       158","E","        88","E","         3","E","       25","","         0","E","       103","E","        36","E","        50","E","         0","E","  -16.8","E,0221,+","   110"," ,E,0216, ","  40.0"," ,E,0822, ","   31.0","E,0620, ","-0.9","E,1116","-2.3","E,1119","-5.5","E,1124","","","","","-0.1","E,0429","-3.3","E,0411","-10.3","E,0224","-10.3","E,0224","-10.3","E,0224","    3712.1","1","    3712.1","E","    800.2"," ,E","      7.85","E","     11.77","E","      3.93","E"
"GME00130870","1955","53.3931","10.6892","45.0","BOIZENBURG, GM","     68.3","","      68.3","E","       173","E","        73","E","         3","E","       49","","         0","E","       113","E","        36","E","        77","E","         0","E","  -14.0","E,0224, ","   220"," ,E,0215, ","  35.7"," ,E,1022, ","   29.6","E,0715,+","-1.4","E,1029","-4.7","E,1101","-4.7","E,1101","-7.0","E,1212","","","-1.2","E,0426","-5.5","E,0330","-5.5","E,0330","-8.2","E,0321","-9.3","E,0320","    3952.1","1","    3952.1","E","    725.0"," ,E","      7.89","E","     11.91","E","      3.87","E"
"GME00130870","1956","53.3931","10.6892","45.0","BOIZENBURG, GM","     19.1","","      19.1","E","       166","E","        76","E","         0","E","       41","","         8","E","       107","E","        40","E","        55","E","         0","E","  -23.5","E,0225, ","   260"," ,E,0222,+","  23.0"," ,E,0816, ","   30.1","E,0531, ","-0.9","E,1008","-2.6","E,1031","-6.6","E,1101","-7.0","E,1121","","","-2.6","E,0422","-2.6","E,0422","-4.7","E,0408","-10.4","E,0226","-10.4","E,0226","    3904.0","0","    3904.0","E","    619.7"," ,E","      7.22","E","     11.23","E","      3.21","E"
