"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010452","1931","51.725","10.6039","607.0","BRAUNLAGE, GM","     37.6","","      37.6","E","       176","E","       114","E","         8","E","        0","","         0","E","       137","E","        68","E","        27","E","         0","E","  -14.4","E,1231, ","     0"," ,E,1231,+","  36.5"," ,E,0713, ","   28.9","E,0526, ","-1.0","E,0923","-2.6","E,1023","-5.2","E,1027","-7.2","E,1130","-14.4","E,1231","-0.2","E,0418","-2.2","E,0402","-4.6","E,0401","-7.0","E,0317","-9.6","E,0311","","","","","   1155.9"," ,E","      5.53","E","      8.56","E","      2.50","E"
"GMM00010452","1932","51.725","10.6039","607.0","BRAUNLAGE, GM","     34.2","","      34.2","E","       161","E","       100","E","         8","E","","","         0","E","       146","E","        36","E","        40","E","         0","E","  -16.8","E,0211, ","","","  64.7"," ,E,0103, ","   30.6","E,0820, ","-1.0","E,0922","-2.3","E,1101","-4.8","E,1116","-7.0","E,1209","-9.5","E,1211","-0.3","E,0510","-2.5","E,0428","-5.8","E,0328","-7.1","E,0327","-10.1","E,0326","    4780.9","9","    4780.9","E","   1128.6"," ,E","      6.06","E","      9.93","E","      2.20","E"
"GMM00010452","1933","51.725","10.6039","607.0","BRAUNLAGE, GM","      8.8","","       8.8","E","       151","E","        89","E","         5","E","","","         1","E","       152","E","        61","E","        27","E","         0","E","  -17.8","E,0221, ","","","  41.1"," ,E,0623, ","   28.2","E,0727, ","-1.3","E,1004","-4.2","E,1106","-4.6","E,1202","-12.7","E,1203","-12.7","E,1203","-0.7","E,0428","-5.0","E,0423","-5.0","E,0423","-6.8","E,0323","-8.9","E,0301","    4516.1","1","    4516.1","E","    921.4"," ,E","      5.36","E","      9.26","E","      1.46","E"
"GMM00010452","1934","51.725","10.6039","607.0","BRAUNLAGE, GM","      2.9","","       2.9","E","       150","E","        99","E","         4","E","","","         0","E","       115","E","        17","E","        48","E","         0","E","  -14.7","E,0203, ","","","  63.9"," ,E,1014, ","   26.5","E,0618, ","0.0","E,1015","-3.1","E,1102","-6.0","E,1224","-7.7","E,1226","","","-0.2","E,0530","-2.5","E,0518","-6.7","E,0301","-6.7","E,0301","-14.7","E,0203","    4310.3","3","    4310.3","E","    887.6"," ,E","      7.42","E","     11.18","E","      3.66","E"
"GMM00010452","1935","51.725","10.6039","607.0","BRAUNLAGE, GM","     15.0","","      15.0","E","       200","E","       132","E","         9","E","      100","","         0","E","       143","E","        58","E","        32","E","         0","E","  -14.6","E,0305, ","   450"," ,E,1224,+","  65.0"," ,E,1027, ","   28.3","E,0626, ","-1.3","E,1021","-3.9","E,1022","-7.3","E,1207","-7.3","E,1207","-9.2","E,1214","-0.8","E,0519","-2.9","E,0514","-7.6","E,0502","-7.6","E,0502","-11.0","E,0310","    4353.8","8","    4353.8","E","   1354.4"," ,E","      5.69","E","      9.28","E","      2.10","E"
"GMM00010452","1936","51.725","10.6039","607.0","BRAUNLAGE, GM","      8.1","","       8.1","E","       197","E","       116","E","         6","E","       60","","         0","E","       142","E","        34","E","        22","E","         0","E","  -15.3","E,0211, ","   300"," ,E,1209,+","  47.8"," ,E,0907, ","   26.9","E,0718, ","-1.0","E,0927","-2.3","E,1007","-4.6","E,1120","-7.7","E,1127","","","-2.1","E,0430","-2.5","E,0423","-5.6","E,0412","-8.3","E,0215","-12.3","E,0212","    4414.7","7","    4414.7","E","   1162.1"," ,E","      6.13","E","      9.46","E","      2.80","E"
"GMM00010452","1937","51.725","10.6039","607.0","BRAUNLAGE, GM","     19.3","","      19.3","E","       209","E","       122","E","         4","E","      116","","         0","E","       129","E","        50","E","        32","E","         0","E","  -14.3","E,0129, ","   700"," ,E,0226,+","  63.6"," ,E,0711, ","   29.4","E,0611, ","-0.9","E,1103","-2.2","E,1111","-5.0","E,1116","-7.2","E,1208","-9.3","E,1222","-1.0","E,0506","-3.4","E,0331","-6.0","E,0330","-9.2","E,0225","-9.2","E,0225","    4486.2","2","    4486.2","E","   1203.6"," ,E","      6.26","E","      9.49","E","      3.02","E"
"GMM00010452","1938","51.725","10.6039","607.0","BRAUNLAGE, GM","     20.1","","      20.1","E","       200","E","       121","E","         8","E","       70","","         3","E","       112","E","        36","E","        36","E","         0","E","  -20.2","E,1219, ","  1000"," ,E,0216,+","  47.5"," ,E,0113, ","   25.9","E,0805, ","-0.7","E,1023","-4.3","E,1024","-9.5","E,1216","-9.5","E,1216","-9.5","E,1216","-1.2","E,0511","-3.5","E,0509","-4.5","E,0420","-7.9","E,0419","-9.1","E,0220","    4419.4","4","    4419.4","E","   1226.7"," ,E","      6.42","E","      9.70","E","      3.14","E"
"GMM00010452","1939","51.725","10.6039","607.0","BRAUNLAGE, GM","     10.9","","      10.9","E","       201","E","       118","E","        10","E","      102","","         0","E","       133","E","        54","E","        32","E","         0","E","  -14.2","E,1230,+","   600"," ,E,0324,+","  57.3"," ,E,1127, ","   26.7","E,0608, ","-1.3","E,0928","-3.1","E,1008","-6.1","E,1121","-7.6","E,1122","-10.5","E,1215","0.0","E,0427","-3.2","E,0327","-7.5","E,0322","-7.5","E,0322","-9.0","E,0319","    4367.5","5","    4367.5","E","   1406.4"," ,E","      5.95","E","      9.15","E","      2.75","E"
"GMM00010452","1940","51.725","10.6039","607.0","BRAUNLAGE, GM","","","","","       197","E","       119","E","         7","E","","","","","","","","","","","","","","","","","  62.4"," ,E,1103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1391.6"," ,E","","","","","",""
