"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"HRE00105196","1948","42.7667","16.8994","186.0","LASTOVO, HR","","","","","        78","E","        41","E","         3","E","","","","","","","","","","","","","  65.0"," ,E,1007, ","","","","","","","","","","","","","","","","","","","","","    513.0"," ,E","","","","","",""
"HRE00105196","1949","42.7667","16.8994","186.0","LASTOVO, HR","    561.0","","     561.0","E","        73","E","        44","E","         9","E","         0","E","         7","E","         0","E","       149","E","         5","E","   -3.2","E,0203, ","  41.2"," ,E,0112, ","   34.2","E,0808, ","","","","","","","0.0","E,0307","-2.4","E,0304","","","","","","","","","    596.5"," ,E","     16.08","E","     19.16","E","     12.99","E"
"HRE00105196","1950","42.7667","16.8994","186.0","LASTOVO, HR","    872.7","","     872.7","E","        71","E","        44","E","         3","E","         0","E","         1","E","         0","E","       161","E","        18","E","   -1.2","E,0123, ","  46.7"," ,E,1208, ","   36.6","E,0706, ","","","","","","","-1.2","E,0123","","","","","","","    1248.8","8","    1248.8","E","    432.2"," ,E","     17.11","E","     20.14","E","     14.09","E"
"HRE00105196","1951","42.7667","16.8994","186.0","LASTOVO, HR","    655.4","","     655.4","E","       104","E","        57","E","         5","E","         0","E","         0","E","         0","E","       140","E","         2","E","    2.2","E,1213, ","  78.5"," ,E,1009, ","   34.1","E,0715, ","","","","","","","","","","","","","","","    1300.5","5","    1300.5","E","    678.8"," ,E","     16.46","E","     19.33","E","     13.59","E"
"HRE00105196","1952","42.7667","16.8994","186.0","LASTOVO, HR","    801.1","","     801.1","E","        68","E","        37","E","         2","E","         0","E","         0","E","         0","E","       157","E","        16","E","    0.4","E,0308, ","  53.3"," ,E,1120, ","   34.9","E,0703, ","","","","","","","","","","","","","","","    1466.3","3","    1466.3","E","    398.5"," ,E","     16.33","E","     19.33","E","     13.33","E"
"HRE00105196","1953","42.7667","16.8994","186.0","LASTOVO, HR","    682.8","","     682.8","E","        74","E","        41","E","         2","E","         0","E","         1","E","         0","E","       149","E","         4","E","   -1.7","E,0209, ","  39.1"," ,E,1012, ","   33.7","E,0730,+","","","","","","","-1.7","E,0209","","","","","","","    1548.7","7","    1548.7","E","    416.1"," ,E","     16.19","E","     18.99","E","     13.39","E"
"HRE00105196","1954","42.7667","16.8994","186.0","LASTOVO, HR","    607.9","","     607.9","E","       102","E","        64","E","         3","E","         0","E","         9","E","         1","E","       131","E","         3","E","   -6.7","E,0125, ","  60.3"," ,E,0205, ","   33.0","E,0814, ","","","","","","","-0.2","E,0223","-3.4","E,0126","-6.7","E,0125","-6.7","E,0125","    1518.4","4","    1518.4","E","    700.6"," ,E","     15.54","E","     18.47","E","     12.61","E"
"HRE00105196","1955","42.7667","16.8994","186.0","LASTOVO, HR","    496.9","","     496.9","E","       107","E","        60","E","         4","E","         0","E","         1","E","         0","E","       127","E","         1","E","   -1.2","E,0304, "," 156.2"," ,E,1007, ","   32.6","E,0722, ","","","","","","","-1.2","E,0304","","","","","","","    1390.8","8","    1390.8","E","    798.7"," ,E","     15.98","E","     18.51","E","     13.45","E"
"HRE00105196","1956","42.7667","16.8994","186.0","LASTOVO, HR","    618.8","","     618.8","E","        88","E","        53","E","         6","E","         0","E","        15","E","         2","E","       133","E","         6","E","   -3.5","E,0204, ","  73.8"," ,E,0311, ","   35.0","E,0808, ","","","","","","","-0.1","E,0312","-3.0","E,0215","","","","","    1690.1","1","    1690.1","E","    669.4"," ,E","     15.10","E","     17.54","E","     12.65","E"
"HRE00105196","1957","42.7667","16.8994","186.0","LASTOVO, HR","    613.4","","     613.4","E","        91","E","        53","E","         5","E","         0","E","         3","E","         0","E","       130","E","         3","E","   -4.5","E,1201, ","  43.2"," ,E,1215, ","   33.2","E,0709, ","-2.8","E,1130","-2.8","E,1130","-4.5","E,1201","","","","","","","","","    1487.8","8","    1487.8","E","    620.6"," ,E","     16.18","E","     18.55","E","     13.82","E"
