"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"HUM00012982","1973","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        16","S","       132","S","         3","S","","","   34.0","S,0717, ","","","     15.85","S"
"HUM00012982","1974","46.25","20.1","83.0","SZEGED AUT, HU","       127","S","        63","S","         1","S","         4","S","       118","S","         9","S","  36.1"," ,S,0630, ","   35.0","S,0803, ","    583.7"," ,S","     16.17","S"
"HUM00012982","1975","46.25","20.1","83.0","SZEGED AUT, HU","        99","S","        46","S","         5","S","         8","S","       133","S","         0","S","  36.1"," ,S,0527, ","   32.0","S,0715,+","    583.4"," ,S","     16.50","S"
"HUM00012982","1976","46.25","20.1","83.0","SZEGED AUT, HU","       108","S","        48","S","         0","S","        32","S","       131","S","         4","S","  23.9"," ,S,0603, ","   34.0","S,0721,+","    433.5"," ,S","     15.30","S"
"HUM00012982","1977","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        22","S","       121","S","         2","S","","","   33.0","S,0731,+","","","     16.30","S"
"HUM00012982","1978","46.25","20.1","83.0","SZEGED AUT, HU","       122","S","        54","S","         3","S","","","","","","","  64.0"," ,S,0628, ","","","    571.9"," ,S","",""
"HUM00012982","1979","46.25","20.1","83.0","SZEGED AUT, HU","       127","S","        50","S","         0","S","        13","S","       119","S","         1","S","  19.1"," ,S,0825, ","   35.0","S,0802, ","    438.5"," ,S","     16.34","S"
"HUM00012982","1980","46.25","20.1","83.0","SZEGED AUT, HU","       124","S","        50","S","         0","S","        27","S","       100","S","         4","S","  25.1"," ,S,0619, ","   34.0","S,0805,+","    445.8"," ,S","     14.56","S"
"HUM00012982","1981","46.25","20.1","83.0","SZEGED AUT, HU","       106","S","        46","S","         2","S","","","","","","","  50.0"," ,S,0811, ","","","    493.6"," ,S","",""
"HUM00012982","1983","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        17","S","       149","S","        10","S","","","   37.3","S,0728, ","","","     17.12","S"
"HUM00012982","1985","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        36","S","       138","S","        12","S","","","   35.1","S,0729, ","","","     15.16","S"
"HUM00012982","1988","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        12","S","       134","S","        20","S","","","   38.8","S,0706, ","","","     16.49","S"
"HUM00012982","1989","46.25","20.1","83.0","SZEGED AUT, HU","","","","","","","        20","S","       135","S","        10","S","","","   34.3","S,0709, ","","","     16.68","S"
"HUM00012982","2017","46.25","20.1","83.0","SZEGED AUT, HU","        91","S","        41","S","         0","S","","","","","","","  23.1"," ,S,1023, ","","","    375.5"," ,S","",""
"HUM00012982","2018","46.25","20.1","83.0","SZEGED AUT, HU","       120","S","        57","S","         3","S","","","","","","","  38.1"," ,S,0526, ","","","    561.9"," ,S","",""
