"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IC000004048","1949","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","G","","","","","","","         0","G","       105","G","        27","G","         0","G","         0","G","  -11.4","G,0103,+","","","   14.4","G,0720, ","-1.6","G,1024","-2.2","G,1025","-5.3","G,1201","-7.3","G,1207","-11.3","G,1208","-0.1","G,0529","-2.7","G,0506","-5.0","G,0505","-8.1","G,0422","-9.2","G,0421","","","","","","","      4.79","G","      6.65","G","      2.93","G"
"IC000004048","1950","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","G","","","","","","","         0","G","        70","G","        16","G","         0","G","         0","G","   -9.3","G,1211, ","","","   16.0","G,0717,+","-0.8","G,1008","-3.7","G,1114","-4.5","G,1115","-7.1","G,1130","-9.2","G,1202","-1.1","G,0519","-5.4","G,0427","-5.4","G,0427","-9.2","G,0223","-9.2","G,0223","    4653.8","8","    4653.8","G","","","      5.44","G","      7.25","G","      3.63","G"
"IC000004048","1951","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       192","E","       105","E","         3","E","         0","G","       116","E","        26","G","         0","G","         0","G","  -10.4","E,1209, ","  30.6"," ,E,1210, ","   16.0","G,0624, ","-1.5","E,1020","-4.0","E,1021","-5.2","E,1124","-6.7","E,1206","-10.4","E,1209","-0.6","E,0506","-2.2","E,0418","-5.4","E,0417","-10.0","E,0416","-10.0","E,0416","    4949.6","6","    4949.6","G","   1082.0"," ,E","      5.01","E","      6.91","G","      3.11","E"
"IC000004048","1952","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       175","E","       102","E","         6","E","         0","G","        87","E","        20","G","         0","G","         0","G","   -9.2","E,1214, ","  33.3"," ,E,0921, ","   17.5","G,0801, ","-0.2","E,0927","-4.0","E,1122","-5.2","E,1123","-8.4","E,1213","-9.2","E,1214","0.0","E,0602","-3.0","E,0413","-5.6","E,0304","-8.9","E,0303","-8.9","E,0303","    4755.9","9","    4755.9","G","   1073.5"," ,E","      5.21","E","      7.17","G","      3.26","E"
"IC000004048","1953","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       246","E","       166","E","         7","E","         0","G","        72","E","         6","G","         0","G","         0","G","  -12.2","E,0402, ","  70.4"," ,E,0904, ","   17.0","G,0825,+","-0.2","E,1010","-3.0","E,1109","","","","","","","-0.4","E,0501","-2.2","E,0427","-5.0","E,0413","-11.6","E,0403","-11.6","E,0403","    4624.7","7","    4624.7","G","   1691.3"," ,E","      6.08","E","      8.07","G","      4.09","E"
"IC000004048","1954","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       220","E","       124","E","         6","E","         0","G","        77","E","        11","G","         0","G","         0","G","  -10.0","E,0207, ","  44.8"," ,E,1211, ","   17.0","G,0729,+","-0.6","E,0925","-2.6","E,0926","-7.2","E,1207","-7.2","E,1207","-9.0","E,1208","-0.6","E,0507","-2.6","E,0501","-6.6","E,0323","-7.4","E,0208","-10.0","E,0207","    4444.9","9","    4444.9","G","   1248.9"," ,E","      5.41","E","      7.26","G","      3.55","E"
"IC000004048","1955","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       214","E","       127","E","         5","E","         0","G","        81","E","        23","G","         0","G","         0","G","  -13.2","E,0116, ","  45.0"," ,E,0721, ","   12.6","G,0702,+","-2.0","E,1014","-5.0","E,1015","-5.0","E,1015","-7.6","E,1112","","","-1.6","E,0517","-2.6","E,0516","-12.6","E,0321","-12.6","E,0321","-12.6","E,0321","    4901.3","3","    4901.3","G","   1382.6"," ,E","      4.87","E","      6.57","G","      3.18","E"
"IC000004048","1956","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       218","E","       143","E","         7","E","         0","G","        61","E","        16","G","         0","G","         0","G","  -12.6","E,0124, ","  38.7"," ,E,0319, ","   14.0","G,0803,+","-1.0","E,1003","-3.8","E,1127","","","","","","","-0.2","E,0516","-2.6","E,0415","-4.6","E,0304","-12.6","E,0124","-12.6","E,0124","    4828.3","3","    4828.3","G","   1317.9"," ,E","      5.60","E","      7.32","G","      3.88","E"
"IC000004048","1957","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       203","E","       130","E","         7","E","         0","G","        75","E","        19","G","         0","G","         0","G","  -10.6","E,0216, ","  35.4"," ,E,0815, ","   14.8","G,0719, ","-0.4","E,1023","-3.2","E,1105","-5.4","E,1221","-8.4","E,1222","","","-0.2","E,0504","-2.8","E,0309","-4.4","E,0308","-7.0","E,0219","-10.6","E,0216","    4639.6","6","    4639.6","G","   1349.8"," ,E","      5.40","E","      7.12","G","      3.68","E"
"IC000004048","1958","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       200","E","       128","E","         7","E","         0","G","        80","E","        33","G","         0","G","         0","G","  -10.8","E,0119, ","  35.9"," ,E,1210, ","   15.4","G,0930, ","-2.1","E,1031","-3.4","E,1210","-8.3","E,1216","-8.3","E,1216","","","-0.4","E,0523","-2.3","E,0507","-6.0","E,0312","-7.0","E,0209","-9.7","E,0121","    4885.6","6","    4885.6","G","   1404.4"," ,E","      5.52","E","      7.31","G","      3.73","E"
