"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"IN012180601","1952","19.6","76.22","440.0","PARTUR, IN","        39","I","        31","I","         4","I","  59.7"," ,I,0820, ","    439.1"," ,I"
"IN012180601","1953","19.6","76.22","440.0","PARTUR, IN","        47","I","        36","I","         6","I"," 105.9"," ,I,0729, ","    583.7"," ,I"
"IN012180601","1954","19.6","76.22","440.0","PARTUR, IN","        50","I","        42","I","        15","I","  93.7"," ,I,0831, ","    922.4"," ,I"
"IN012180601","1955","19.6","76.22","440.0","PARTUR, IN","        71","I","        62","I","        13","I","  82.8"," ,I,1018, ","   1080.4"," ,I"
"IN012180601","1956","19.6","76.22","440.0","PARTUR, IN","        61","I","        48","I","        11","I","  98.3"," ,I,0719, ","    996.7"," ,I"
"IN012180601","1957","19.6","76.22","440.0","PARTUR, IN","        40","I","        39","I","        11","I","  61.0"," ,I,0817, ","    688.0"," ,I"
"IN012180601","1958","19.6","76.22","440.0","PARTUR, IN","        51","I","        47","I","        11","I","  74.4"," ,I,1128, ","    799.8"," ,I"
"IN012180601","1959","19.6","76.22","440.0","PARTUR, IN","        45","I","        40","I","         9","I"," 141.0"," ,I,0824, ","    898.9"," ,I"
"IN012180601","1960","19.6","76.22","440.0","PARTUR, IN","        34","I","        32","I","        12","I"," 139.7"," ,I,0620, ","    981.1"," ,I"
"IN012180601","1961","19.6","76.22","440.0","PARTUR, IN","        50","I","        48","I","        10","I"," 149.1"," ,I,1011, ","    904.3"," ,I"
"IN012180601","1962","19.6","76.22","440.0","PARTUR, IN","        50","I","        50","I","        12","I","  50.8"," ,I,0818, ","    850.6"," ,I"
"IN012180601","1963","19.6","76.22","440.0","PARTUR, IN","        60","I","        52","I","        14","I","  93.1"," ,I,0917, ","    914.3"," ,I"
"IN012180601","1964","19.6","76.22","440.0","PARTUR, IN","        53","I","        44","I","         5","I","  60.2"," ,I,0722, ","    645.8"," ,I"
"IN012180601","1966","19.6","76.22","440.0","PARTUR, IN","        55","I","        44","I","         8","I","  48.7"," ,I,1115, ","    684.6"," ,I"
"IN012180601","1967","19.6","76.22","440.0","PARTUR, IN","        49","I","        35","I","         7","I","  45.8"," ,I,0922, ","    558.2"," ,I"
"IN012180601","1968","19.6","76.22","440.0","PARTUR, IN","        44","I","        37","I","         7","I","  66.8"," ,I,0917, ","    602.5"," ,I"
"IN012180601","1970","19.6","76.22","440.0","PARTUR, IN","        54","I","        43","I","         9","I","  88.0"," ,I,0810, ","    796.8"," ,I"
