"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"IN020040900","1901","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       100","I","        64","I","        15","I","","","","","",""," 261.6"," ,I,1210, ","","","   1494.0"," ,I","",""
"IN020040900","1902","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        98","I","        62","I","        19","I","","","","","",""," 232.7"," ,I,1028, ","","","   1377.8"," ,I","",""
"IN020040900","1903","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       103","I","        68","I","        21","I","","","","","",""," 157.0"," ,I,1231, ","","","   1946.2"," ,I","",""
"IN020040900","1904","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        78","I","        45","I","         7","I","","","","","","","  47.2"," ,I,0921, ","","","    552.3"," ,I","",""
"IN020040900","1905","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        86","I","        52","I","        12","I","","","","","",""," 128.3"," ,I,1016, ","","","   1085.8"," ,I","",""
"IN020040900","1906","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        92","I","        57","I","        19","I","","","","","",""," 106.2"," ,I,1214, ","","","   1190.4"," ,I","",""
"IN020040900","1907","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        90","I","        54","I","        13","I","","","","","",""," 116.6"," ,I,1003, ","","","   1134.7"," ,I","",""
"IN020040900","1908","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        91","I","        57","I","        14","I","","","","","",""," 155.4"," ,I,1024, ","","","   1382.4"," ,I","",""
"IN020040900","1909","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        83","I","        53","I","        17","I","","","","","",""," 132.6"," ,I,0505, ","","","   1191.7"," ,I","",""
"IN020040900","1910","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        83","I","        47","I","        13","I","","","","","",""," 178.3"," ,I,1106, ","","","   1126.3"," ,I","",""
"IN020040900","1911","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        72","I","        46","I","         9","I","","","","","",""," 122.2"," ,I,1121, ","","","    928.3"," ,I","",""
"IN020040900","1912","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        67","I","        46","I","        13","I","","","","","",""," 147.1"," ,I,1113, ","","","   1183.5"," ,I","",""
"IN020040900","1913","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        87","I","        46","I","        20","I","","","","","",""," 174.2"," ,I,1031, ","","","   1653.5"," ,I","",""
"IN020040900","1914","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        98","I","        62","I","        17","I","","","","","",""," 148.8"," ,I,1102, ","","","   1438.9"," ,I","",""
"IN020040900","1915","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        97","I","        59","I","        18","I","","","","","",""," 212.9"," ,I,0115, ","","","   1438.7"," ,I","",""
"IN020040900","1916","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        94","I","        60","I","        14","I","","","","","","","  89.7"," ,I,1123, ","","","   1177.5"," ,I","",""
"IN020040900","1917","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        92","I","        61","I","        11","I","","","","","",""," 212.9"," ,I,1020, ","","","   1181.6"," ,I","",""
"IN020040900","1918","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        87","I","        62","I","        20","I","","","","","",""," 158.2"," ,I,1112, ","","","   1905.4"," ,I","",""
"IN020040900","1919","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        93","I","        57","I","        17","I","","","","","",""," 109.0"," ,I,1106, ","","","   1222.8"," ,I","",""
"IN020040900","1920","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        81","I","        54","I","        16","I","","","","","",""," 150.4"," ,I,1124, ","","","   1659.1"," ,I","",""
"IN020040900","1921","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        91","I","        61","I","        19","I","","","","","","","  80.5"," ,I,1025, ","","","   1351.4"," ,I","",""
"IN020040900","1922","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       106","I","        73","I","        17","I","","","","","",""," 236.2"," ,I,1116, ","","","   1670.0"," ,I","",""
"IN020040900","1923","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        87","I","        43","I","        16","I","","","","","",""," 103.6"," ,I,1028, ","","","    911.0"," ,I","",""
"IN020040900","1924","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        88","I","        64","I","        13","I","","","","","",""," 100.1"," ,I,0925, ","","","   1156.4"," ,I","",""
"IN020040900","1925","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        96","I","        66","I","        23","I","","","","","","","  83.3"," ,I,1004, ","","","   1697.0"," ,I","",""
"IN020040900","1926","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        66","I","        44","I","         7","I","","","","","",""," 112.3"," ,I,1104, ","","","    798.9"," ,I","",""
"IN020040900","1927","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        91","I","        58","I","         9","I","","","","","","","  88.4"," ,I,1110, ","","","    819.2"," ,I","",""
"IN020040900","1928","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       103","I","        62","I","        18","I","","","","","",""," 145.5"," ,I,1021, ","","","   1308.2"," ,I","",""
"IN020040900","1929","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       106","I","        65","I","        13","I","","","","","",""," 123.2"," ,I,0205, ","","","   1332.1"," ,I","",""
"IN020040900","1930","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       113","I","        75","I","        25","I","","","","","",""," 177.5"," ,I,1129, ","","","   1925.1"," ,I","",""
"IN020040900","1932","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        98","I","        51","I","        13","I","","","","","",""," 186.4"," ,I,1030, ","","","   1183.7"," ,I","",""
"IN020040900","1933","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        91","I","        43","I","        10","I","","","","","",""," 163.1"," ,I,1216, ","","","   1021.0"," ,I","",""
"IN020040900","1934","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        90","I","        51","I","        10","I","","","","","","","  99.8"," ,I,1029, ","","","    934.1"," ,I","",""
"IN020040900","1935","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        76","I","        47","I","        12","I","","","","","",""," 186.4"," ,I,1018, ","","","   1024.6"," ,I","",""
"IN020040900","1936","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       109","I","        68","I","        15","I","","","","","","","  87.9"," ,I,1121, ","","","   1059.0"," ,I","",""
"IN020040900","1937","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        91","I","        61","I","        15","I","","","","","",""," 141.0"," ,I,1211, ","","","   1410.1"," ,I","",""
"IN020040900","1938","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        78","I","        38","I","         9","I","","","","","","","  68.8"," ,I,1030, ","","","    673.0"," ,I","",""
"IN020040900","1939","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        92","I","        49","I","        12","I","","","","","","","  72.9"," ,I,1116, ","","","    854.0"," ,I","",""
"IN020040900","1940","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        98","I","        62","I","        17","I","","","","","",""," 128.5"," ,I,1112, ","","","   1247.9"," ,I","",""
"IN020040900","1941","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        97","I","        63","I","        16","I","","","","","",""," 160.0"," ,I,1114, ","","","   1559.1"," ,I","",""
"IN020040900","1942","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        93","I","        46","I","        10","I","","","","","",""," 127.0"," ,I,1101, ","","","    866.9"," ,I","",""
"IN020040900","1943","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       105","I","        65","I","        21","I","","","","","",""," 229.6"," ,I,1010, ","","","   2135.3"," ,I","",""
"IN020040900","1944","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       101","I","        73","I","        26","I","","","","","",""," 110.5"," ,I,1026, ","","","   1943.4"," ,I","",""
"IN020040900","1945","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        80","I","        50","I","        14","I","","","","","","","  96.3"," ,I,0402, ","","","   1075.3"," ,I","",""
"IN020040900","1946","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","       121","I","        82","I","        28","I","","","","","",""," 191.3"," ,I,1108, ","","","   2086.0"," ,I","",""
"IN020040900","1947","13.0","80.183","16.0","MADRAS MINAMBAKKAM, IN","        82","I","        53","I","        11","I","","","","","",""," 113.0"," ,I,1004, ","","","    884.3"," ,I","",""
