"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN020100500","1960","9.733","79.033","5.0","TONDI, IN","        61","I","        42","I","        12","I","","","","","","","","","","","","","  54.8"," ,I,1122, ","","","    734.9"," ,I","","","","","",""
"IN020100500","1961","9.733","79.033","5.0","TONDI, IN","        53","I","        44","I","         9","I","","","","","","","","","","","","","  99.4"," ,I,1024, ","","","    825.9"," ,I","","","","","",""
"IN020100500","1962","9.733","79.033","5.0","TONDI, IN","        51","I","        41","I","        10","I","","","","","","","","","","","","","  77.0"," ,I,0901, ","","","    779.0"," ,I","","","","","",""
"IN020100500","1963","9.733","79.033","5.0","TONDI, IN","        71","I","        57","I","        15","I","","","","","","","","","","","","","  62.7"," ,I,0304, ","","","   1009.0"," ,I","","","","","",""
"IN020100500","1964","9.733","79.033","5.0","TONDI, IN","        42","I","        24","I","         3","I","","","","","","","","","","","","","  89.6"," ,I,0726, ","","","    434.5"," ,I","","","","","",""
"IN020100500","1965","9.733","79.033","5.0","TONDI, IN","        76","I","        47","I","        15","I","","","","","","","","","","","",""," 111.6"," ,I,1205, ","","","   1002.6"," ,I","","","","","",""
"IN020100500","1966","9.733","79.033","5.0","TONDI, IN","        79","I","        58","I","        16","I","","","","","","","","","","","",""," 115.8"," ,I,1018, ","","","   1300.8"," ,I","","","","","",""
"IN020100500","1967","9.733","79.033","5.0","TONDI, IN","        69","I","        49","I","        11","I","","","","","","","","","","","",""," 176.2"," ,I,1021, ","","","   1319.4"," ,I","","","","","",""
"IN020100500","1968","9.733","79.033","5.0","TONDI, IN","        51","I","        42","I","        12","I","","","","","","","","","","","",""," 122.0"," ,I,0423, ","","","    905.9"," ,I","","","","","",""
"IN020100500","1969","9.733","79.033","5.0","TONDI, IN","        41","I","        40","I","        12","I","","","","","","","","","","","",""," 127.4"," ,I,0516, ","","","    897.3"," ,I","","","","","",""
"IN020100500","1970","9.733","79.033","5.0","TONDI, IN","        57","I","        42","I","        10","I","","","","","","","","","","","",""," 115.6"," ,I,1015, ","","","    812.2"," ,I","","","","","",""
"IN020100500","2016","9.733","79.033","5.0","TONDI, IN","","","","","","","","","","","         0","S","       361","S","       274","S","","","","","   40.0","S,0803,+","","","","","     34.38","S","",""
"IN020100500","2017","9.733","79.033","5.0","TONDI, IN","","","","","","","","","","","         0","S","       363","S","       263","S","","","","","   38.8","S,0628, ","","","","","     34.25","S","",""
"IN020100500","2018","9.733","79.033","5.0","TONDI, IN","","","","","","","","","","","         0","S","       358","S","       264","S","","","","","   40.4","S,0713,+","","","","","     34.06","S","",""
"IN020100500","2019","9.733","79.033","5.0","TONDI, IN","","","","","","","         0","S","         0","S","","","","","","","   18.9","S,0102, ","","","","","","","","","","","     25.50","S"
"IN020100500","2020","9.733","79.033","5.0","TONDI, IN","","","","","","","         0","S","         0","S","","","","","","","   19.5","S,0115, ","","","","","","","","","","","     24.73","S"
"IN020100500","2023","9.733","79.033","5.0","TONDI, IN","","","","","","","         0","S","         0","S","         0","S","       357","S","       290","S","   19.1","S,0116, ","","","   39.6","S,0614, ","","","     29.49","S","     34.08","S","     24.90","S"
