"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IR000040841","1951","30.25","56.967","1754.0","KERMAN, IR","   1080.2","","    1080.2","G","","","","","","","         0","G","        69","G","         0","G","       249","G","       118","G","  -14.0","G,0209, ","","","   39.0","G,0807,+","-2.0","G,1112","-3.0","G,1125","-6.0","G,1209","","","","","0.0","G,0407","-4.0","G,0211","-11.0","G,0210","-11.0","G,0210","-11.0","G,0210","","","","","","","     17.18","G","     25.77","G","      8.59","G"
"IR000040841","1952","30.25","56.967","1754.0","KERMAN, IR","    849.8","","     849.8","G","","","","","","","         0","G","        64","G","         0","G","       252","G","        96","G","   -7.0","G,0102, ","","","   38.0","G,0720,+","0.0","G,1112","-3.0","G,1219","","","","","","","0.0","G,0315","-3.0","G,0306","-6.0","G,0215","-7.0","G,0102","","","    1276.8","8","    1276.8","G","","","     16.79","G","     25.87","G","      7.72","G"
"IR000040841","1953","30.25","56.967","1754.0","KERMAN, IR","   1197.6","","    1197.6","G","","","","","","","         0","G","        39","G","         0","G","       250","G","       109","G","   -5.0","G,1225,+","","","   41.0","G,0802,+","0.0","G,1110","-3.0","G,1124","-5.0","G,1223","","","","","0.0","G,0329","-3.0","G,0107","","","","","","","    1286.8","8","    1286.8","G","","","     18.40","G","     26.52","G","     10.28","G"
"IR000040841","1954","30.25","56.967","1754.0","KERMAN, IR","   1109.9","","    1109.9","G","","","","","","","         0","G","        36","G","         0","G","       226","G","        93","G","   -5.0","G,0121,+","","","   39.0","G,0603,+","0.0","G,1202","","","","","","","","","0.0","G,0305","-3.0","G,0303","-5.0","G,0121","","","","","    1245.4","4","    1245.4","G","","","     17.56","G","     24.83","G","     10.29","G"
"IR000040841","1955","30.25","56.967","1754.0","KERMAN, IR","   1189.9","","    1189.9","G","","","","","","","         0","G","        49","G","         0","G","       227","G","       104","G","   -4.0","G,0111, ","","","   40.0","G,0723,+","0.0","G,1129","","","","","","","","","-1.0","G,0301","-3.0","G,0206","","","","","","","    1511.7","7","    1511.7","G","","","     17.51","G","     25.09","G","      9.93","G"
"IR000040841","1956","30.25","56.967","1754.0","KERMAN, IR","   1194.2","","    1194.2","G","","","","","","","         0","G","        62","G","         0","G","       224","G","       113","G","   -7.0","G,1221,+","","","   40.0","G,0712,+","0.0","G,1120","-4.0","G,1203","-7.0","G,1204","-7.0","G,1204","","","0.0","G,0315","-3.0","G,0228","-5.0","G,0103","","","","","    1480.6","6","    1480.6","G","","","     17.26","G","     25.01","G","      9.51","G"
"IR000040841","1957","30.25","56.967","1754.0","KERMAN, IR","    610.8","","     610.8","G","","","","","","","         0","G","        80","G","         2","G","       190","G","        59","G","  -10.0","G,0207, ","","","   39.0","G,0723, ","-1.0","G,1103","-4.0","G,1124","-5.0","G,1216","-8.0","G,1230","","","0.0","G,0321","-3.0","G,0310","-5.0","G,0225","-7.0","G,0220","-10.0","G,0207","    1863.6","6","    1863.6","G","","","     14.29","G","     22.03","G","      6.55","G"
"IR000040841","1958","30.25","56.967","1754.0","KERMAN, IR","    897.0","","     897.0","G","","","","","","","         0","G","        87","G","         0","G","       231","G","       103","G","  -13.0","G,1125, ","","","   39.0","G,0710,+","0.0","G,1022","-3.0","G,1025","-5.0","G,1118","-8.0","G,1119","-12.0","G,1124","-1.0","G,0314","-3.0","G,0302","-5.0","G,0220","-7.0","G,0211","-9.0","G,0210","    1688.0","0","    1688.0","G","","","     16.01","G","     25.02","G","      7.00","G"
"IR000040841","1959","30.25","56.967","1754.0","KERMAN, IR","    981.7","","     981.7","G","","","","","","","         1","G","       104","G","         0","G","       233","G","       113","G","  -20.0","G,1216, ","","","   40.0","G,0821,+","-3.0","G,1104","-3.0","G,1104","-8.0","G,1105","-8.0","G,1105","-11.0","G,1205","0.0","G,0421","-4.0","G,0312","-7.0","G,0310","-7.0","G,0310","-9.0","G,0224","    1868.0","0","    1868.0","G","","","     15.80","G","     25.35","G","      6.25","G"
"IR000040841","1960","30.25","56.967","1754.0","KERMAN, IR","    787.7","","     787.7","G","","","","","","","         0","G","       113","G","         0","G","       220","G","        99","G","  -12.0","G,1229, ","","","   40.0","G,0709,+","-1.0","G,1026","-4.0","G,1111","-5.0","G,1125","-7.0","G,1203","-10.0","G,1205","0.0","G,0328","-8.0","G,0321","-8.0","G,0321","-8.0","G,0321","","","    1908.2","2","    1908.2","G","","","     15.12","G","     24.64","G","      5.60","G"
