"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IR000407540","1954","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","","","","","","","","","","","         0","S","       192","S","        93","S","","","","","   38.9","S,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","     22.40","S","",""
"IR000407540","1958","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","   1238.5","","    1238.5","S","","","","","","","         0","S","        71","S","         0","S","       207","S","       103","S","   -7.2","S,1124,+","","","   42.2","S,0703,+","0.0","S,1111","-2.2","S,1116","-7.2","S,1123","-7.2","S,1123","0.0","S,0225","-2.2","S,0211","-5.0","S,0207","","","","","","","","","     16.85","S","     23.39","S","     10.31","S"
"IR000407540","2003","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        46","S","        22","S","         0","S","","","","","","","","","","","","","  23.6"," ,S,0417, ","","","","","","","","","","","","","","","","","","","","","","","    226.2"," ,S","","","","","",""
"IR000407540","2004","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        56","S","        26","S","         1","S","","","","","","","","","","","","","  52.1"," ,S,1204, ","","","","","","","","","","","","","","","","","","","","","","","    312.6"," ,S","","","","","",""
"IR000407540","2005","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","   1686.3","","    1686.3","G","        48","S","        28","S","         0","S","         0","G","        26","G","         2","G","       204","G","       105","G","   -7.0","G,0211, ","  18.8"," ,S,0313, ","   42.0","G,0806, ","-0.2","G,1227","","","","","","","-2.0","G,0326","-5.2","G,0213","-5.2","G,0213","-7.0","G,0211","","","","","    252.3"," ,S","     18.80","G","     23.53","G","     14.06","G"
"IR000407540","2006","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","   1753.7","","    1753.7","G","        54","S","        26","S","         0","S","         0","G","        30","G","         0","G","       215","G","       117","G","   -6.0","G,0122,+","  25.1"," ,S,0427, ","   42.0","G,0710,+","0.0","G,1128","-4.0","G,1229","","","","","-2.0","G,0218","-6.0","G,0122","-6.0","G,0122","","","    1331.2","2","    1331.2","G","    240.1"," ,S","     19.03","G","     24.00","G","     14.06","G"
"IR000407540","2007","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","   1562.6","","    1562.6","G","        59","S","        27","S","         2","S","         0","G","        33","G","         0","G","       212","G","       112","G","   -4.0","G,0118,+","  30.5"," ,S,0415, ","   40.0","G,0714,+","-1.0","G,1220","-3.0","G,1221","","","","","-1.0","G,0228","-4.0","G,0118","","","","","    1620.1","1","    1620.1","G","    256.5"," ,S","     18.37","G","     23.37","G","     13.37","G"
"IR000407540","2008","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        35","S","        16","S","         0","S","","","","","","","","","","","","","  13.7"," ,S,0106, ","","","","","","","","","","","","","","","","","","","","","","","    114.2"," ,S","","","","","",""
"IR000407540","2009","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        60","S","        24","S","         0","S","","","","","","","","","","","","","  17.8"," ,S,0430, ","","","","","","","","","","","","","","","","","","","    1530.3","3","    1530.3","G","    201.3"," ,S","","","","","",""
"IR000407540","2010","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        43","S","        22","S","         5","S","","","","","","","","","","","","","  70.1"," ,S,0715,+","","","","","","","","","","","","","","","","","","","","","","","    447.0"," ,S","","","","","",""
"IR000407540","2011","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        70","S","        36","S","         2","S","","","","","","","","","","","","","  49.3"," ,S,1029, ","","","","","","","","","","","","","","","","","","","","","","","    347.2"," ,S","","","","","",""
"IR000407540","2012","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        63","S","        28","S","         0","S","","","","","         0","S","       190","S","        88","S","","","  23.9"," ,S,1114, ","   39.6","S,0802, ","","","","","","","","","","","","","","","","","","","","","    237.3"," ,S","","","     22.80","S","",""
"IR000407540","2013","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","","","","","","","","","","","         0","S","       200","S","       107","S","","","","","   42.6","S,0725, ","","","","","","","","","","","","","","","","","","","","","","","","","     23.98","S","",""
"IR000407540","2017","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        50","S","        21","S","         0","S","","","","","","","","","","","","","  16.8"," ,S,0324, ","","","","","","","","","","","","","","","","","","","","","","","    163.8"," ,S","","","","","",""
"IR000407540","2018","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        72","S","        33","S","         0","S","","","","","","","","","","","","","  22.6"," ,S,0128, ","","","","","","","","","","","","","","","","","","","","","","","    264.0"," ,S","","","","","",""
"IR000407540","2019","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        54","S","        28","S","         0","S","","","","","","","","","","","","","  25.1"," ,S,0401, ","","","","","","","","","","","","","","","","","","","","","","","    315.2"," ,S","","","","","",""
"IR000407540","2020","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        69","S","        34","S","         2","S","","","","","","","","","","","","","  55.6"," ,S,0226, ","","","","","","","","","","","","","","","","","","","","","","","    420.3"," ,S","","","","","",""
"IR000407540","2021","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        36","S","        15","S","         0","S","","","","","","","","","","","","","  16.5"," ,S,1203, ","","","","","","","","","","","","","","","","","","","","","","","    132.5"," ,S","","","","","",""
"IR000407540","2022","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        38","S","        13","S","         0","S","","","","","","","","","","","","","  16.5"," ,S,1204, ","","","","","","","","","","","","","","","","","","","","","","","    129.9"," ,S","","","","","",""
"IR000407540","2023","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        48","S","        17","S","         1","S","","","","","","","","","","","","","  30.0"," ,S,0131, ","","","","","","","","","","","","","","","","","","","","","","","    166.0"," ,S","","","","","",""
"IR000407540","2024","35.683","51.317","1191.0","TEHRAN MEHRABAD, IR","","","","","        57","S","        20","S","         0","S","","","","","","","","","","","","","  16.5"," ,S,0928, ","","","","","","","","","","","","","","","","","","","","","","","    186.6"," ,S","","","","","",""
