"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"IRM00040845","2011","29.267","50.267","3.0","KHARG, IR","        23","S","        14","S","         2","S","         0","S","       252","S","       153","S","  40.4"," ,S,0209, ","   44.6","S,0729, ","    163.2"," ,S","     29.16","S"
"IRM00040845","2012","29.267","50.267","3.0","KHARG, IR","        31","S","        19","S","         4","S","","","","","",""," 125.5"," ,S,1127, ","","","    402.8"," ,S","",""
"IRM00040845","2013","29.267","50.267","3.0","KHARG, IR","        21","S","        12","S","         2","S","","","","","","","  62.7"," ,S,1120, ","","","    173.3"," ,S","",""
"IRM00040845","2014","29.267","50.267","3.0","KHARG, IR","        23","S","        14","S","         4","S","","","","","","","  51.6"," ,S,0106, ","","","    298.0"," ,S","",""
"IRM00040845","2015","29.267","50.267","3.0","KHARG, IR","        21","S","        16","S","         3","S","","","","","","","  40.4"," ,S,1111, ","","","    290.2"," ,S","",""
"IRM00040845","2016","29.267","50.267","3.0","KHARG, IR","        17","S","         5","S","         0","S","","","","","","","  13.5"," ,S,0224, ","","","     47.3"," ,S","",""
"IRM00040845","2017","29.267","50.267","3.0","KHARG, IR","        20","S","         8","S","         2","S","","","","","","","  30.2"," ,S,0129, ","","","    110.1"," ,S","",""
"IRM00040845","2018","29.267","50.267","3.0","KHARG, IR","        36","S","        20","S","         4","S","","","","","","","  53.1"," ,S,1125, ","","","    305.4"," ,S","",""
"IRM00040845","2019","29.267","50.267","3.0","KHARG, IR","        34","S","        18","S","         6","S","","","","","","","  66.0"," ,S,1217, ","","","    446.4"," ,S","",""
"IRM00040845","2021","29.267","50.267","3.0","KHARG, IR","        13","S","         6","S","         1","S","","","","","","","  33.3"," ,S,1231, ","","","    108.2"," ,S","",""
"IRM00040845","2022","29.267","50.267","3.0","KHARG, IR","        19","S","         9","S","         1","S","","","","","","","  41.7"," ,S,1206, ","","","    153.5"," ,S","",""
"IRM00040845","2023","29.267","50.267","3.0","KHARG, IR","        30","S","        16","S","         5","S","","","","","","","  57.4"," ,S,0105, ","","","    309.0"," ,S","",""
