"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ITE00155351","1894","46.535","11.33","1080.0","JENESIEN, IT","        83","E","        56","E","         5","E","  34.7"," ,E,0731, ","    654.1"," ,E"
"ITE00155351","1895","46.535","11.33","1080.0","JENESIEN, IT","        97","E","        59","E","         3","E","  46.2"," ,E,1009, ","    636.7"," ,E"
"ITE00155351","1896","46.535","11.33","1080.0","JENESIEN, IT","        99","E","        74","E","         9","E","  40.3"," ,E,1019, ","   1065.9"," ,E"
"ITE00155351","1897","46.535","11.33","1080.0","JENESIEN, IT","        94","E","        64","E","         4","E","  42.8"," ,E,0720, ","    711.3"," ,E"
"ITE00155351","1899","46.535","11.33","1080.0","JENESIEN, IT","        94","E","        61","E","         8","E","  55.6"," ,E,0804, ","    752.9"," ,E"
"ITE00155351","1900","46.535","11.33","1080.0","JENESIEN, IT","       119","E","        77","E","         6","E","  35.6"," ,E,0810, ","    884.0"," ,E"
"ITE00155351","1901","46.535","11.33","1080.0","JENESIEN, IT","       114","E","        86","E","         9","E","  57.9"," ,E,0912, ","   1112.0"," ,E"
"ITE00155351","1902","46.535","11.33","1080.0","JENESIEN, IT","       113","E","        71","E","         6","E","  44.2"," ,E,1230, ","    800.1"," ,E"
"ITE00155351","1903","46.535","11.33","1080.0","JENESIEN, IT","       109","E","        78","E","        11","E","  76.9"," ,E,0730, ","   1034.6"," ,E"
"ITE00155351","1904","46.535","11.33","1080.0","JENESIEN, IT","       106","E","        79","E","        12","E","  47.4"," ,E,1123, ","   1004.2"," ,E"
"ITE00155351","1905","46.535","11.33","1080.0","JENESIEN, IT","       117","E","        79","E","         3","E","  88.3"," ,E,0811, ","    915.2"," ,E"
"ITE00155351","1906","46.535","11.33","1080.0","JENESIEN, IT","        93","E","        62","E","         4","E","  72.1"," ,E,1107, ","    749.3"," ,E"
"ITE00155351","1907","46.535","11.33","1080.0","JENESIEN, IT","       106","E","        72","E","         8","E","  52.6"," ,E,1025, ","    853.7"," ,E"
"ITE00155351","1908","46.535","11.33","1080.0","JENESIEN, IT","        89","E","        52","E","         7","E","  51.6"," ,E,0602, ","    685.0"," ,E"
"ITE00155351","1909","46.535","11.33","1080.0","JENESIEN, IT","       112","E","        70","E","        10","E","  39.8"," ,E,1024, ","    903.4"," ,E"
"ITE00155351","1910","46.535","11.33","1080.0","JENESIEN, IT","       120","E","        81","E","         9","E","  60.1"," ,E,0527, ","    995.8"," ,E"
