"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ITM00016522","2007","40.567","8.167","205.0","CAPE CACCIA, IT","        81","S","        40","S","         1","S","","","","","","","  31.0"," ,S,0430, ","","","    355.0"," ,S","",""
"ITM00016522","2008","40.567","8.167","205.0","CAPE CACCIA, IT","        83","S","        59","S","         5","S","         0","S","       139","S","         9","S"," 120.4"," ,S,1214, ","   37.0","S,0807, ","    837.2"," ,S","     19.49","S"
"ITM00016522","2009","40.567","8.167","205.0","CAPE CACCIA, IT","        87","S","        47","S","         4","S","","","","","","","  48.0"," ,S,0914, ","","","    542.5"," ,S","",""
"ITM00016522","2010","40.567","8.167","205.0","CAPE CACCIA, IT","        97","S","        62","S","         3","S","","","","","","","  36.1"," ,S,0615, ","","","    662.0"," ,S","",""
"ITM00016522","2011","40.567","8.167","205.0","CAPE CACCIA, IT","        59","S","        39","S","         4","S","","","","","","","  48.0"," ,S,1106, ","","","    436.8"," ,S","",""
"ITM00016522","2012","40.567","8.167","205.0","CAPE CACCIA, IT","        72","S","        36","S","         2","S","","","","","","","  62.0"," ,S,0520, ","","","    449.4"," ,S","",""
"ITM00016522","2013","40.567","8.167","205.0","CAPE CACCIA, IT","        94","S","        51","S","         2","S","","","","","","","  33.0"," ,S,0125, ","","","    500.9"," ,S","",""
"ITM00016522","2014","40.567","8.167","205.0","CAPE CACCIA, IT","        79","S","        42","S","         1","S","","","","","","","  30.0"," ,S,0616, ","","","    382.7"," ,S","",""
"ITM00016522","2015","40.567","8.167","205.0","CAPE CACCIA, IT","        67","S","        37","S","         2","S","         0","S","       143","S","         7","S","  50.0"," ,S,0215, ","   34.4","S,0717, ","    409.4"," ,S","     20.50","S"
"ITM00016522","2016","40.567","8.167","205.0","CAPE CACCIA, IT","        63","S","        37","S","         4","S","","","","","","","  39.1"," ,S,1124, ","","","    390.3"," ,S","",""
"ITM00016522","2017","40.567","8.167","205.0","CAPE CACCIA, IT","        61","S","        28","S","         3","S","","","","","","","  43.9"," ,S,1202, ","","","    335.0"," ,S","",""
"ITM00016522","2018","40.567","8.167","205.0","CAPE CACCIA, IT","       109","S","        62","S","         4","S","","","","","","","  55.1"," ,S,0501, ","","","    639.7"," ,S","",""
"ITM00016522","2019","40.567","8.167","205.0","CAPE CACCIA, IT","        76","S","        44","S","         2","S","","","","","","","  39.1"," ,S,1115, ","","","    448.1"," ,S","",""
