"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IV000005599","1945","4.95","-6.08","50.0","SASSANDRA, IV","","","","","        98","I","        57","I","         9","I","","","","","","","","","","","","","  59.0"," ,I,0528, ","","","","","","","    889.7"," ,I","","","","","",""
"IV000005599","1946","4.95","-6.08","50.0","SASSANDRA, IV","   2511.7","","    2511.7","I","       106","I","        58","I","        11","I","         0","I","         0","I","         0","I","       362","I","         1","I","   19.0","I,0131, ","  63.1"," ,I,1113, ","   32.8","I,0305, ","       0.0","0","       0.0","I","   1026.8"," ,I","     25.26","I","     27.66","I","     22.86","I"
"IV000005599","1947","4.95","-6.08","50.0","SASSANDRA, IV","   2632.5","","    2632.5","I","       109","I","        77","I","        20","I","         0","I","         0","I","         0","I","       365","I","         0","I","   17.2","I,0102, "," 239.8"," ,I,0630, ","   32.1","I,0325, ","       0.0","0","       0.0","I","   1801.6"," ,I","     25.55","I","     28.12","I","     22.99","I"
"IV000005599","1948","4.95","-6.08","50.0","SASSANDRA, IV","   2570.9","","    2570.9","I","       118","I","        66","I","        19","I","         0","I","         0","I","         0","I","       366","I","         0","I","   19.0","I,0719, "," 117.2"," ,I,0603, ","   32.0","I,0115, ","       0.0","0","       0.0","I","   1502.9"," ,I","     25.36","I","     27.72","I","     23.00","I"
"IV000005599","1949","4.95","-6.08","50.0","SASSANDRA, IV","   2717.1","","    2717.1","I","       133","I","        83","I","        24","I","         0","I","         0","I","         0","I","       365","I","         0","I","   19.6","I,0101, ","  99.2"," ,I,0317, ","   31.8","I,0315,+","       0.0","0","       0.0","I","   1761.2"," ,I","     25.78","I","     28.26","I","     23.30","I"
"IV000005599","1950","4.95","-6.08","50.0","SASSANDRA, IV","   2613.6","","    2613.6","I","       113","I","        73","I","        20","I","         0","I","         0","I","         0","I","       365","I","         2","I","   19.5","I,0810, "," 137.2"," ,I,0626, ","   32.4","I,0502,+","       0.0","0","       0.0","I","   1616.2"," ,I","     25.50","I","     27.96","I","     23.05","I"
"IV000005599","1951","4.95","-6.08","50.0","SASSANDRA, IV","   2642.8","","    2642.8","I","       124","I","        77","I","        27","I","         0","I","         0","I","         0","I","       365","I","         0","I","   20.0","I,0801, "," 219.9"," ,I,0707, ","   31.4","I,1225, ","       0.0","0","       0.0","I","   2229.5"," ,I","     25.58","I","     27.87","I","     23.28","I"
"IV000005599","1952","4.95","-6.08","50.0","SASSANDRA, IV","   2737.9","","    2737.9","I","       147","I","       102","I","        28","I","         0","I","         0","I","         0","I","       366","I","         0","I","   19.3","I,0825, "," 111.6"," ,I,0614, ","   32.0","I,0227, ","       0.0","0","       0.0","I","   2208.4"," ,I","     25.82","I","     28.47","I","     23.17","I"
"IV000005599","1953","4.95","-6.08","50.0","SASSANDRA, IV","   2699.4","","    2699.4","I","       134","I","        98","I","        30","I","         0","I","         0","I","         0","I","       365","I","         2","I","   18.8","I,0922, "," 127.6"," ,I,0618, ","   32.5","I,0306, ","       0.0","0","       0.0","I","   2192.1"," ,I","     25.73","I","     28.61","I","     22.86","I"
"IV000005599","1954","4.95","-6.08","50.0","SASSANDRA, IV","   2636.0","","    2636.0","I","       133","I","       104","I","        21","I","         0","I","         0","I","         0","I","       365","I","         1","I","   19.2","I,0724, "," 184.0"," ,I,0607, ","   33.2","I,0520, ","       0.0","0","       0.0","I","   1867.7"," ,I","     25.56","I","     28.49","I","     22.64","I"
"IV000005599","1955","4.95","-6.08","50.0","SASSANDRA, IV","   2692.9","","    2692.9","I","       144","I","       104","I","        20","I","         0","I","         0","I","         0","I","       365","I","         1","I","   18.6","I,1230, "," 108.1"," ,I,0504, ","   32.5","I,0411, ","       0.0","0","       0.0","I","   1790.0"," ,I","     25.72","I","     28.67","I","     22.76","I"
"IV000005599","1956","4.95","-6.08","50.0","SASSANDRA, IV","   2615.5","","    2615.5","I","       126","I","        82","I","        13","I","         0","I","         0","I","         0","I","       364","I","         0","I","   19.0","I,0716, ","  79.2"," ,I,1109, ","   32.1","I,0423, ","       0.0","0","       0.0","I","   1453.4"," ,I","     25.53","I","     28.30","I","     22.77","I"
"IV000005599","1957","4.95","-6.08","50.0","SASSANDRA, IV","   2597.7","","    2597.7","I","       141","I","        84","I","        23","I","         0","I","         0","I","         0","I","       360","I","         0","I","   16.0","I,0110, "," 173.3"," ,I,0610, ","   32.0","I,0314, ","       0.0","0","       0.0","I","   1932.2"," ,I","     25.59","I","     28.34","I","     22.85","I"
"IV000005599","1958","4.95","-6.08","50.0","SASSANDRA, IV","   2619.8","","    2619.8","I","       127","I","        77","I","        17","I","         0","I","         0","I","         0","I","       364","I","         1","I","   17.1","I,0821, "," 168.8"," ,I,0504, ","   32.2","I,0311, ","       0.0","0","       0.0","I","   1645.7"," ,I","     25.55","I","     28.15","I","     22.94","I"
"IV000005599","1959","4.95","-6.08","50.0","SASSANDRA, IV","   2778.1","","    2778.1","I","       129","I","        82","I","        21","I","         0","I","         0","I","         0","I","       365","I","         6","I","   18.1","I,0101, "," 167.5"," ,I,0610, ","   33.1","I,0414,+","       0.0","0","       0.0","I","   2035.0"," ,I","     25.95","I","     28.86","I","     23.05","I"
"IV000005599","1960","4.95","-6.08","50.0","SASSANDRA, IV","   2820.6","","    2820.6","I","       128","I","        84","I","        17","I","         0","I","         0","I","         0","I","       366","I","         1","I","   18.0","I,1230, "," 115.8"," ,I,0608, ","   32.3","I,0420, ","       0.0","0","       0.0","I","   1516.4"," ,I","     26.05","I","     29.20","I","     22.90","I"
"IV000005599","1961","4.95","-6.08","50.0","SASSANDRA, IV","   2820.8","","    2820.8","I","       112","I","        75","I","        19","I","         0","I","         0","I","         0","I","       365","I","        14","I","   18.2","I,0131, "," 164.0"," ,I,0522, ","   32.8","I,0306,+","       0.0","0","       0.0","I","   1760.7"," ,I","     26.07","I","     29.30","I","     22.84","I"
"IV000005599","1962","4.95","-6.08","50.0","SASSANDRA, IV","   2759.7","","    2759.7","I","       109","I","        79","I","        27","I","         0","I","         0","I","         0","I","       365","I","         0","I","   19.3","I,0208, "," 183.3"," ,I,0705, ","   32.0","I,1230,+","       0.0","0","       0.0","I","   2249.3"," ,I","     25.90","I","     29.04","I","     22.77","I"
"IV000005599","1963","4.95","-6.08","50.0","SASSANDRA, IV","","","","","       114","I","        83","I","        17","I","","","","","         0","I","       365","I","        25","I","",""," 208.5"," ,I,0716, ","   33.2","I,0329,+","       0.0","0","       0.0","I","   1877.0"," ,I","","","     29.58","I","",""
"IV000005599","1964","4.95","-6.08","50.0","SASSANDRA, IV","   2612.5","","    2612.5","I","       114","I","        74","I","        31","I","         0","I","         0","I","         0","I","       366","I","         4","I","   19.4","I,1101,+"," 241.3"," ,I,0624, ","   32.6","I,0218, ","","","","","   2156.8"," ,I","     25.48","I","     28.78","I","     22.18","I"
"IV000005599","1965","4.95","-6.08","50.0","SASSANDRA, IV","   2627.4","","    2627.4","I","       104","I","        64","I","        18","I","         0","I","         0","I","         0","I","       365","I","         3","I","   17.8","I,0119, "," 193.9"," ,I,0618, ","   32.4","I,0412,+","       0.0","0","       0.0","I","   1476.6"," ,I","     25.54","I","     28.78","I","     22.29","I"
"IV000005599","1967","4.95","-6.08","50.0","SASSANDRA, IV","   2653.4","","    2653.4","I","        81","I","        55","I","        20","I","         0","I","         0","I","         0","I","       365","I","         1","I","   19.0","I,0723,+"," 145.7"," ,I,0614, ","   33.1","I,0302, ","","","","","   1544.2"," ,I","     25.61","I","     28.93","I","     22.29","I"
"IV000005599","1968","4.95","-6.08","50.0","SASSANDRA, IV","   2721.2","","    2721.2","I","       127","I","        94","I","        19","I","         0","I","         0","I","         0","I","       366","I","        16","I","   19.8","I,0517, "," 138.6"," ,I,0608, ","   33.4","I,0509, ","       0.0","0","       0.0","I","   1735.8"," ,I","     25.77","I","     29.14","I","     22.41","I"
"IV000005599","1969","4.95","-6.08","50.0","SASSANDRA, IV","   2744.0","","    2744.0","I","        99","I","        69","I","        25","I","         0","I","         0","I","         0","I","       365","I","        18","I","   19.5","I,0920, "," 170.9"," ,I,0614, ","   33.1","I,0327, ","       0.0","0","       0.0","I","   1967.3"," ,I","     25.86","I","     29.18","I","     22.54","I"
"IV000005599","1970","4.95","-6.08","50.0","SASSANDRA, IV","   2741.8","","    2741.8","I","       122","I","        80","I","        17","I","         0","I","         0","I","         0","I","       365","I","        21","I","   19.5","I,0728, "," 163.0"," ,I,0627, ","   33.0","I,0413,+","       0.0","0","       0.0","I","   1646.3"," ,I","     25.86","I","     29.19","I","     22.52","I"
"IV000005599","1971","4.95","-6.08","50.0","SASSANDRA, IV","   2626.6","","    2626.6","I","        98","I","        66","I","        22","I","         0","I","         0","I","         0","I","       365","I","         1","I","   18.2","I,0111, "," 115.2"," ,I,0702, ","   33.0","I,0418, ","       0.0","0","       0.0","I","   1722.5"," ,I","     25.54","I","     29.13","I","     21.94","I"
"IV000005599","1972","4.95","-6.08","50.0","SASSANDRA, IV","   2624.3","","    2624.3","I","       112","I","        75","I","        13","I","         0","I","         0","I","         0","I","       366","I","         0","I","   19.4","I,0329, "," 148.5"," ,I,0608, ","   32.0","I,0414,+","       0.0","0","       0.0","I","   1360.2"," ,I","     25.51","I","     28.88","I","     22.13","I"
"IV000005599","1973","4.95","-6.08","50.0","SASSANDRA, IV","   2763.3","","    2763.3","I","       100","I","        67","I","        16","I","         0","I","         0","I","         0","I","       365","I","        35","I","   17.2","I,0314, "," 162.7"," ,I,0609, ","   33.5","I,0220, ","       0.0","0","       0.0","I","   1356.6"," ,I","     25.92","I","     29.54","I","     22.29","I"
"IV000005599","1974","4.95","-6.08","50.0","SASSANDRA, IV","   2588.5","","    2588.5","I","        85","I","        67","I","        25","I","         0","I","         0","I","         0","I","       365","I","        12","I","   17.0","I,0111, "," 160.4"," ,I,0626, ","   33.4","I,0428, ","       0.0","0","       0.0","I","   1949.0"," ,I","     25.43","I","     29.13","I","     21.73","I"
"IV000005599","1975","4.95","-6.08","50.0","SASSANDRA, IV","   2564.9","","    2564.9","I","        95","I","        64","I","        20","I","         0","I","         0","I","         0","I","       365","I","         3","I","   17.0","I,0824, ","  72.0"," ,I,1116, ","   32.3","I,0223, ","       0.0","0","       0.0","I","   1343.7"," ,I","     25.37","I","     28.79","I","     21.94","I"
"IV000005599","1976","4.95","-6.08","50.0","SASSANDRA, IV","   2505.8","","    2505.8","I","        90","I","        66","I","        20","I","         0","I","         0","I","         0","I","       365","I","         0","I","   19.0","I,0815,+"," 121.6"," ,I,0209, ","   32.0","I,0403, ","       0.0","0","       0.0","I","   1631.6"," ,I","     25.20","I","     28.44","I","     21.96","I"
"IV000005599","1977","4.95","-6.08","50.0","SASSANDRA, IV","   2631.6","","    2631.6","I","        87","I","        54","I","        12","I","         0","I","         0","I","         0","I","       365","I","         6","I","   18.4","I,1229, ","  84.0"," ,I,0603, ","   33.0","I,0418, ","       0.0","0","       0.0","I","   1095.5"," ,I","     25.55","I","     28.77","I","     22.34","I"
"IV000005599","1978","4.95","-6.08","50.0","SASSANDRA, IV","   2596.4","","    2596.4","I","       110","I","        66","I","        20","I","         0","I","         0","I","         0","I","       365","I","         1","I","   18.2","I,0706, "," 102.5"," ,I,0616, ","   32.2","I,0407, ","       0.0","0","       0.0","I","   1385.2"," ,I","     25.45","I","     28.63","I","     22.28","I"
"IV000005599","1979","4.95","-6.08","50.0","SASSANDRA, IV","   2703.3","","    2703.3","I","       123","I","        86","I","        23","I","         0","I","         0","I","         0","I","       365","I","         4","I","   20.0","I,0825,+"," 155.3"," ,I,0605, ","   33.1","I,0317, ","       0.0","0","       0.0","I","   1950.4"," ,I","     25.75","I","     28.80","I","     22.69","I"
