"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047426","1951","42.167","142.783","37.0","URAKAWA, JA","    161.3","","     161.3","I","       160","I","        89","I","         8","I","         0","I","       118","I","        40","I","        54","I","         0","I","  -13.2","I,0214, ","  38.9"," ,I,0531, ","   28.4","I,0818, ","-0.8","I,1118","-5.3","I,1127","-5.3","I,1127","-6.9","I,1201","","","0.0","I,0426","-2.6","I,0331","-6.0","I,0323","-9.1","I,0313","-9.1","I,0313","","","","","    978.6"," ,I","      7.86","I","     11.29","I","      4.43","I"
"JA000047426","1952","42.167","142.783","37.0","URAKAWA, JA","     94.1","","      94.1","I","       158","I","        84","I","        10","I","         0","I","       144","I","        56","I","        47","I","         0","I","  -12.1","I,0205, ","  54.1"," ,I,0429, ","   26.8","I,0726, ","-1.0","I,1108","-2.5","I,1112","-7.0","I,1113","-7.0","I,1113","-8.9","I,1204","0.0","I,0424","-2.2","I,0404","-5.2","I,0322","-10.4","I,0308","-10.4","I,0308","    4025.1","1","    4025.1","I","   1078.7"," ,I","      7.19","I","     10.53","I","      3.84","I"
"JA000047426","1953","42.167","142.783","37.0","URAKAWA, JA","     81.6","","      81.6","I","       136","I","        76","I","         9","I","         0","I","       135","I","        52","I","        44","I","         0","I","  -13.7","I,0223, ","  98.6"," ,I,0708, ","   28.6","I,0731, ","-0.1","I,1106","-3.3","I,1111","-6.7","I,1118","-6.7","I,1118","-10.5","I,1207","-1.9","I,0502","-3.3","I,0409","-6.3","I,0317","-8.4","I,0227","-13.7","I,0223","    4154.2","2","    4154.2","I","    997.8"," ,I","      7.21","I","     10.55","I","      3.87","I"
"JA000047426","1954","42.167","142.783","37.0","URAKAWA, JA","","","","","       149","I","        87","I","         6","I","         0","I","       120","I","        32","I","        38","I","         0","I","  -15.0","I,0123, ","  50.1"," ,I,1003, ","   26.9","I,0913, ","-1.9","I,1112","-2.2","I,1117","-4.6","I,1204","-7.4","I,1212","","","-0.9","I,0416","-3.0","I,0405","-6.3","I,0326","-6.8","I,0317","-9.6","I,0314","    3964.5","5","    3964.5","I","    963.2"," ,I","      7.43","I","     10.73","I","      4.14","I"
"JA000047426","1955","42.167","142.783","37.0","URAKAWA, JA","","","","","       185","I","       108","I","        16","I","         0","I","       117","I","        34","I","        62","I","         0","I","  -11.1","I,0212, ","  69.5"," ,I,0906, ","   27.6","I,0802, ","-1.5","I,1112","-4.2","I,1121","-5.5","I,1209","-10.9","I,1218","-10.9","I,1218","-0.2","I,0430","-3.1","I,0420","-5.5","I,0405","-7.7","I,0308","-11.1","I,0212","","","","","   1579.8"," ,I","      8.34","I","     11.64","I","      5.04","I"
"JA000047426","1956","42.167","142.783","37.0","URAKAWA, JA","     44.7","","      44.7","I","       158","I","        83","I","        13","I","         0","I","       128","I","        40","I","        38","I","         0","I","  -11.6","I,0124, ","  80.0"," ,I,0612, ","   26.3","I,0728, ","-2.2","I,1116","-2.2","I,1116","-7.0","I,1211","-7.0","I,1211","-9.0","I,1219","-0.7","I,0410","-3.4","I,0402","-5.9","I,0314","-8.4","I,0306","-11.2","I,0226","","","","","   1178.3"," ,I","      7.90","I","     11.12","I","      4.69","I"
"JA000047426","1957","42.167","142.783","37.0","URAKAWA, JA","     51.6","","      51.6","I","       161","I","        91","I","        14","I","         0","I","       121","I","        36","I","        35","I","         0","I","  -11.8","I,0202, ","  59.6"," ,I,0714, ","   25.4","I,0730, ","-0.4","I,1114","-2.5","I,1129","-5.4","I,1204","-7.1","I,1215","","","-1.0","I,0411","-2.7","I,0403","-6.0","I,0324","-8.1","I,0323","-8.9","I,0224","    3822.5","5","    3822.5","I","   1243.2"," ,I","      7.84","I","     10.98","I","      4.71","I"
"JA000047426","1958","42.167","142.783","37.0","URAKAWA, JA","     73.3","","      73.3","I","       152","I","        89","I","        10","I","         0","I","       121","I","        26","I","        52","I","         0","I","   -9.6","I,0301, ","  99.6"," ,I,0819, ","   27.4","I,0811, ","-0.3","I,1115","-3.9","I,1202","-4.4","I,1207","-6.7","I,1230","","","-0.7","I,0415","-2.6","I,0413","-6.9","I,0330","-6.9","I,0330","-8.9","I,0304","    3599.8","8","    3599.8","I","   1370.5"," ,I","      8.23","I","     11.32","I","      5.14","I"
"JA000047426","1959","42.167","142.783","37.0","URAKAWA, JA","     89.2","","      89.2","I","       160","I","        87","I","        14","I","         0","I","       125","I","        32","I","        46","I","         0","I","  -11.5","I,0109, ","  65.2"," ,I,0906, ","   27.0","I,0820, ","-0.9","I,1117","-3.6","I,1127","-5.9","I,1128","-9.3","I,1217","-9.3","I,1217","-1.1","I,0419","-2.4","I,0322","-4.6","I,0318","-9.0","I,0226","-9.0","I,0226","    3577.8","8","    3577.8","I","   1207.9"," ,I","      8.20","I","     11.25","I","      5.16","I"
"JA000047426","1960","42.167","142.783","37.0","URAKAWA, JA","    100.6","","     100.6","I","       141","I","        75","I","        11","I","         0","I","       121","I","        51","I","        58","I","         0","I","  -13.1","I,0212,+","  60.4"," ,I,0627, ","   26.1","I,0810,+","-0.3","I,1113","-2.8","I,1127","-4.6","I,1128","-7.4","I,1207","","","0.0","I,0424","-3.6","I,0403","-4.8","I,0325","-8.3","I,0308","-9.7","I,0305","    3809.0","0","    3809.0","I","   1032.1"," ,I","      7.67","I","     10.90","I","      4.43","I"
