"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047590","1951","38.267","140.9","43.0","SENDAI, JA","    429.7","","     429.7","I","       123","I","        71","I","        11","I","         0","I","        88","I","         5","I","       121","I","         6","I","   -8.8","I,0115, ","  44.6"," ,I,0909,+","   35.4","I,0809, ","-0.2","I,1119","-2.5","I,1128","","","","","-0.1","I,0331","-2.6","I,0321","-5.6","I,0305","-6.9","I,0116","","","","","","","   1032.2"," ,I","     11.95","I","     16.28","I","      7.62","I"
"JA000047590","1952","38.267","140.9","43.0","SENDAI, JA","    424.4","","     424.4","I","       152","I","        75","I","        11","I","         0","I","       110","I","         6","I","       132","I","         3","I","   -7.0","I,0205, ","  56.8"," ,I,0717, ","   33.8","I,0820, ","-0.8","I,1114","-3.1","I,1206","-4.6","I,1220","","","-1.4","I,0404","-3.0","I,0322","-5.7","I,0307","-7.0","I,0205","","","    2792.0","0","    2792.0","I","   1098.4"," ,I","     11.64","I","     15.94","I","      7.33","I"
"JA000047590","1953","38.267","140.9","43.0","SENDAI, JA","    338.8","","     338.8","I","       145","I","        76","I","        12","I","         0","I","        85","I","         1","I","       115","I","         2","I","   -6.6","I,0103, ","  46.4"," ,I,0619, ","   34.0","I,0821, ","0.0","I,1112","-2.8","I,1205","-4.6","I,1209","","","-0.6","I,0420","-2.2","I,0318","-6.1","I,0223","","","","","    2810.0","0","    2810.0","I","   1062.3"," ,I","     11.63","I","     15.65","I","      7.62","I"
"JA000047590","1954","38.267","140.9","43.0","SENDAI, JA","    391.9","","     391.9","I","       133","I","        77","I","        14","I","         0","I","        85","I","         4","I","        97","I","         3","I","   -7.8","I,1231, ","  88.2"," ,I,0606, ","   33.8","I,0823, ","-0.7","I,1119","-4.3","I,1216","-7.8","I,1231","-7.8","I,1231","-0.2","I,0410","-4.3","I,0318","-5.9","I,0314","-7.1","I,0306","","","    2613.5","5","    2613.5","I","   1240.5"," ,I","     12.03","I","     16.17","I","      7.88","I"
"JA000047590","1955","38.267","140.9","43.0","SENDAI, JA","    515.9","","     515.9","I","       150","I","        84","I","        12","I","         0","I","        78","I","         1","I","       125","I","         7","I","   -7.2","I,0117, ","  70.0"," ,I,0529, ","   34.9","I,0725, ","-1.1","I,1118","-2.5","I,1127","-6.2","I,1218","","","-0.3","I,0420","-2.7","I,0311","-5.1","I,0305","-7.2","I,0117","","","    2612.9","9","    2612.9","I","   1307.0"," ,I","     12.61","I","     16.77","I","      8.45","I"
"JA000047590","1956","38.267","140.9","43.0","SENDAI, JA","    331.5","","     331.5","I","       149","I","        98","I","        15","I","         0","I","        99","I","         4","I","       119","I","         2","I","   -8.0","I,0227, ","  76.4"," ,I,0716, ","   32.9","I,0801, ","-1.2","I,1117","-2.6","I,1211","-5.0","I,1215","","","-1.0","I,0410","-2.4","I,0328","-5.0","I,0311","-8.0","I,0227","","","    2586.0","0","    2586.0","I","   1458.0"," ,I","     11.67","I","     15.63","I","      7.72","I"
"JA000047590","1957","38.267","140.9","43.0","SENDAI, JA","    387.1","","     387.1","I","       128","I","        74","I","        14","I","         0","I","        93","I","         1","I","       112","I","         5","I","   -7.9","I,0301, ","  77.2"," ,I,0707, ","   35.9","I,0823, ","-0.7","I,1115","-2.8","I,1125","","","","","-1.7","I,0403","-3.4","I,0329","-5.9","I,0303","-7.9","I,0301","","","    2796.8","8","    2796.8","I","   1108.0"," ,I","     12.08","I","     16.30","I","      7.86","I"
"JA000047590","1958","38.267","140.9","43.0","SENDAI, JA","    425.7","","     425.7","I","       150","I","        90","I","        15","I","         0","I","        83","I","         2","I","       125","I","         3","I","   -8.9","I,0104, "," 172.4"," ,I,0926, ","   33.7","I,0906, ","0.0","I,1117","-3.2","I,1217","","","","","-1.1","I,0416","-2.6","I,0402","-4.4","I,0331","-8.9","I,0104","-8.9","I,0104","    2520.6","6","    2520.6","I","   1603.7"," ,I","     12.36","I","     16.72","I","      7.99","I"
"JA000047590","1959","38.267","140.9","43.0","SENDAI, JA","    452.0","","     452.0","I","       147","I","       100","I","        17","I","         0","I","        73","I","         0","I","       131","I","         6","I","   -6.6","I,0111, ","  91.4"," ,I,0809, ","   35.2","I,0828,+","-1.2","I,1127","-2.4","I,1207","-4.9","I,1222","","","-1.0","I,0402","-3.3","I,0319","-5.3","I,0227","","","","","    2426.6","6","    2426.6","I","   1429.3"," ,I","     12.91","I","     17.15","I","      8.66","I"
"JA000047590","1960","38.267","140.9","43.0","SENDAI, JA","    531.5","","     531.5","I","       137","I","        75","I","         7","I","         0","I","        88","I","         2","I","       133","I","        11","I","   -7.4","I,1230, "," 123.9"," ,I,1007, ","   34.9","I,0807, ","-3.9","I,1128","-3.9","I,1128","-7.4","I,1230","-7.4","I,1230","-1.1","I,0419","-2.2","I,0403","-4.9","I,0217","","","","","    2478.0","0","    2478.0","I","   1032.0"," ,I","     12.77","I","     17.25","I","      8.29","I"
