"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047606","1951","36.8","137.05","13.0","FUSHIKI, JA","    670.4","","     670.4","I","       189","I","       135","I","        16","I","         0","I","        53","I","         1","I","       157","I","        26","I","   -6.3","I,0116, ","  52.5"," ,I,1127, ","   37.8","I,0824, ","-1.4","I,1230","","","","","","","-0.4","I,0331","-2.3","I,0314","-6.3","I,0116","","","","","","","   1840.7"," ,I","     13.96","I","     18.12","I","      9.80","I"
"JA000047606","1952","36.8","137.05","13.0","FUSHIKI, JA","    617.6","","     617.6","I","       220","I","       163","I","        25","I","         0","I","        46","I","         1","I","       145","I","        10","I","   -5.3","I,0205, ","  81.6"," ,I,0701, ","   34.7","I,0824, ","-0.3","I,1211","","","","","","","-0.5","I,0321","-3.3","I,0225","-5.0","I,0207","","","    2312.3","3","    2312.3","I","   2502.0"," ,I","     13.57","I","     17.17","I","      9.98","I"
"JA000047606","1953","36.8","137.05","13.0","FUSHIKI, JA","","","","","       219","I","       158","I","        25","I","         0","I","        42","I","         1","I","       146","I","        11","I","   -5.0","I,0202, "," 112.1"," ,I,0925, ","   34.7","I,0817, ","-1.3","I,1231","","","","","","","-0.1","I,0310","-4.2","I,0223","-4.4","I,0206","","","    2238.3","3","    2238.3","I","   2567.8"," ,I","     13.73","I","     17.36","I","     10.10","I"
"JA000047606","1954","36.8","137.05","13.0","FUSHIKI, JA","    596.8","","     596.8","I","       198","I","       151","I","        16","I","         0","I","        40","I","         0","I","       136","I","        14","I","   -5.4","I,0222, ","  81.9"," ,I,0514, ","   36.6","I,0818, ","-0.4","I,1218","","","","","","","-0.9","I,0325","-2.3","I,0314","-5.4","I,0222","","","","","","","   1956.7"," ,I","     14.05","I","     17.81","I","     10.29","I"
"JA000047606","1955","36.8","137.05","13.0","FUSHIKI, JA","","","","","       199","I","       155","I","        32","I","         0","I","        43","I","         0","I","       146","I","        24","I","   -5.7","I,0213, ","  58.6"," ,I,0704, ","   36.9","I,0829, ","-0.2","I,1210","-2.5","I,1218","","","","","-1.3","I,0311","-2.9","I,0222","-5.7","I,0213","","","","","","","   2390.1"," ,I","     14.42","I","     18.34","I","     10.49","I"
"JA000047606","1956","36.8","137.05","13.0","FUSHIKI, JA","    622.2","","     622.2","I","       215","I","       176","I","        30","I","         0","I","        55","I","         1","I","       141","I","        13","I","   -7.7","I,0203, ","  78.3"," ,I,0716, ","   35.6","I,0909, ","-1.3","I,1211","-2.2","I,1222","","","","","-1.6","I,0313","-2.3","I,0310","-5.4","I,0219","-7.7","I,0203","    2248.3","3","    2248.3","I","   2656.1"," ,I","     13.31","I","     16.74","I","      9.89","I"
"JA000047606","1957","36.8","137.05","13.0","FUSHIKI, JA","    547.4","","     547.4","I","       209","I","       159","I","        22","I","         0","I","        54","I","         0","I","       135","I","         9","I","   -6.8","I,0109, ","  81.7"," ,I,0720, ","   37.9","I,0822, ","0.0","I,1217","","","","","","","-0.4","I,0401","-2.2","I,0315","-5.5","I,0114","-6.8","I,0109","    2322.8","8","    2322.8","I","   2234.3"," ,I","     13.45","I","     17.12","I","      9.79","I"
"JA000047606","1958","36.8","137.05","13.0","FUSHIKI, JA","    665.0","","     665.0","I","       203","I","       152","I","        30","I","         0","I","        42","I","         1","I","       142","I","        15","I","   -7.6","I,0104, "," 174.0"," ,I,0725, ","   35.2","I,0731, ","","","","","","","","","-2.3","I,0331","-2.3","I,0331","-4.4","I,0131","-7.6","I,0104","    2036.3","3","    2036.3","I","   2730.9"," ,I","     14.04","I","     17.82","I","     10.26","I"
"JA000047606","1959","36.8","137.05","13.0","FUSHIKI, JA","    708.2","","     708.2","I","       205","I","       158","I","        31","I","         0","I","        38","I","         2","I","       151","I","        16","I","   -5.0","I,0109, ","  76.8"," ,I,0825, ","   35.0","I,0901, ","-0.3","I,1218","","","","","","","-0.2","I,0321","-2.4","I,0304","-5.0","I,0109","","","    2010.8","8","    2010.8","I","   2629.9"," ,I","     14.65","I","     18.38","I","     10.91","I"
"JA000047606","1960","36.8","137.05","13.0","FUSHIKI, JA","    691.0","","     691.0","I","       204","I","       147","I","        27","I","         0","I","        32","I","         4","I","       143","I","        16","I","   -4.9","I,0212, ","  88.4"," ,I,1230, ","   36.1","I,0803, ","-1.3","I,1229","-2.4","I,1231","","","","","0.0","I,0403","-3.0","I,0219","-4.5","I,0213","","","    2009.6","6","    2009.6","I","   2402.5"," ,I","     14.39","I","     18.10","I","     10.68","I"
