"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047666","1951","34.6","138.85","56.0","IROZAKI, JA","    696.1","","     696.1","I","       137","I","        99","I","        21","I","         0","I","         0","I","         0","I","       152","I","         0","I","    0.8","I,0122,+"," 154.2"," ,I,0616, ","   31.0","I,0815, ","","","","","","","","","   1854.3"," ,I","     16.54","I","     18.95","I","     14.13","I"
"JA000047666","1952","34.6","138.85","56.0","IROZAKI, JA","    702.0","","     702.0","I","       140","I","       103","I","        23","I","         0","I","         0","I","         0","I","       147","I","         0","I","    0.4","I,0206, "," 105.0"," ,I,0623, ","   30.8","I,0828, ","","","","","    1392.0","0","    1392.0","I","   2122.3"," ,I","     16.38","I","     18.71","I","     14.06","I"
"JA000047666","1953","34.6","138.85","56.0","IROZAKI, JA","    677.6","","     677.6","I","       142","I","        99","I","        26","I","         0","I","         1","I","         0","I","       145","I","         0","I","    0.0","I,0222, "," 102.6"," ,I,0905, ","   31.7","I,0818, ","0.0","I,0222","","","    1322.0","0","    1322.0","I","   2031.3"," ,I","     16.33","I","     18.75","I","     13.90","I"
"JA000047666","1954","34.6","138.85","56.0","IROZAKI, JA","    605.8","","     605.8","I","       152","I","       111","I","        26","I","         0","I","         0","I","         0","I","       125","I","         0","I","    1.2","I,0101, ","  97.2"," ,I,0406, ","   31.1","I,0818,+","","","","","    1168.9","9","    1168.9","I","   2191.3"," ,I","     16.58","I","     18.95","I","     14.22","I"
"JA000047666","1955","34.6","138.85","56.0","IROZAKI, JA","    763.2","","     763.2","I","       142","I","       104","I","        19","I","         0","I","         0","I","         0","I","       144","I","         0","I","    0.5","I,0212, ","  79.3"," ,I,1002, ","   30.7","I,0809, ","","","","","    1198.7","7","    1198.7","I","   1694.5"," ,I","     16.93","I","     19.24","I","     14.63","I"
"JA000047666","1956","34.6","138.85","56.0","IROZAKI, JA","    703.6","","     703.6","I","       139","I","       103","I","        23","I","         0","I","         0","I","         0","I","       145","I","         0","I","    1.2","I,0210,+","  95.6"," ,I,1030, ","   31.1","I,0804, ","","","","","    1351.4","4","    1351.4","I","   1944.4"," ,I","     16.14","I","     18.39","I","     13.88","I"
"JA000047666","1957","34.6","138.85","56.0","IROZAKI, JA","    593.7","","     593.7","I","       125","I","        88","I","        26","I","         0","I","         0","I","         0","I","       137","I","         0","I","    1.5","I,0313, "," 126.3"," ,I,0520, ","   30.5","I,0731, ","","","","","    1387.1","1","    1387.1","I","   1910.3"," ,I","     16.20","I","     18.52","I","     13.88","I"
"JA000047666","1958","34.6","138.85","56.0","IROZAKI, JA","    677.5","","     677.5","I","       132","I","        98","I","        22","I","         0","I","         0","I","         0","I","       143","I","         0","I","    0.7","I,0303, "," 174.6"," ,I,0926, ","   30.1","I,0823, ","","","","","    1186.8","8","    1186.8","I","   2065.0"," ,I","     16.51","I","     18.84","I","     14.19","I"
"JA000047666","1959","34.6","138.85","56.0","IROZAKI, JA","    747.0","","     747.0","I","       154","I","       115","I","        20","I","         0","I","         1","I","         0","I","       159","I","         0","I","    0.0","I,0118, "," 143.3"," ,I,1102, ","   30.1","I,0829, ","0.0","I,0118","","","    1175.0","0","    1175.0","I","   2053.8"," ,I","     17.08","I","     19.49","I","     14.67","I"
"JA000047666","1960","34.6","138.85","56.0","IROZAKI, JA","","","","","       123","I","        85","I","        18","I","         0","I","         1","I","         0","I","       142","I","         0","I","   -0.3","I,0125, "," 126.3"," ,I,0604, ","   31.1","I,0804,+","-0.3","I,0125","","","    1142.7","7","    1142.7","I","   1821.1"," ,I","     17.04","I","     19.45","I","     14.63","I"
"JA000047666","1961","34.6","138.85","56.0","IROZAKI, JA","","","","","       130","I","        75","I","        15","I","         0","I","         0","I","         0","I","       162","I","         0","I","    1.4","I,0215,+","  76.5"," ,I,0801, ","   31.2","I,0826, ","","","","","","","","","   1290.5"," ,I","     17.22","I","     19.55","I","     14.89","I"
"JA000047666","1962","34.6","138.85","56.0","IROZAKI, JA","    746.9","","     746.9","I","       124","I","        85","I","        25","I","         0","I","         0","I","         0","I","       133","I","         1","I","    1.9","I,0124, "," 106.3"," ,I,0527, ","   32.3","I,0820, ","","","","","","","","","   1754.5"," ,I","     16.56","I","     18.88","I","     14.23","I"
