"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JNM00001001","1922","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       174","E","        41","E","         0","E","","","         0"," ","       237","E","","","","","","","  -16.6","E,0312,+","","","  15.1"," ,E,1030, ","","","-1.1","E,0911","-2.8","E,0912","-4.9","E,1021","-9.1","E,1029","-9.1","E,1029","-0.9","E,0616","-3.0","E,0526","-4.6","E,0524","-6.9","E,0514","-9.5","E,0509","","","","","    366.7"," ,E","","","","","     -2.11","E"
"JNM00001001","1923","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       135","E","        55","E","         1","E","","","         0"," ","       277","E","","","","","","","  -13.6","E,1114, ","","","  32.0"," ,E,0205, ","","","-1.0","E,0805","-2.7","E,0921","-4.9","E,0922","-7.4","E,1105","-10.1","E,1112","-0.8","E,0702","-2.8","E,0615","-5.1","E,0601","-7.0","E,0509","-9.5","E,0507","","","","","    414.0"," ,E","","","","","     -2.71","E"
"JNM00001001","1924","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       138","E","        59","E","         0","E","","","         0"," ","       228","E","","","","","","","  -17.2","E,0227, ","","","  12.7"," ,E,0106, ","","","0.0","E,0912","-7.0","E,1017","-7.0","E,1017","-7.0","E,1017","-10.6","E,1018","-0.2","E,0709","-2.5","E,0531","-6.0","E,0511","-7.7","E,0424","-9.1","E,0417","","","","","    407.8"," ,E","","","","","     -2.30","E"
"JNM00001001","1925","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       175","E","        56","E","         1","E","","","         0"," ","       215","E","","","","","","","  -15.0","E,0120,+","","","  35.0"," ,E,0326, ","","","-0.5","E,0908","-4.2","E,1003","-4.5","E,1004","-8.7","E,1111","-10.7","E,1123","-0.2","E,0625","-2.8","E,0520","-5.0","E,0511","-6.8","E,0407","-9.2","E,0403","","","","","    459.2"," ,E","","","","","     -1.93","E"
"JNM00001001","1926","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       113","E","        18","E","         0","E","","","         3"," ","       228","E","","","","","","","  -18.4","E,1230,+","","","  11.5"," ,E,0720, ","","","-0.2","E,0903","-2.2","E,0917","-8.0","E,1010","-8.0","E,1010","-9.8","E,1125","0.0","E,0624","-2.8","E,0529","-4.4","E,0528","-7.0","E,0413","-10.7","E,0329","","","","","    197.1"," ,E","","","","","     -2.07","E"
"JNM00001001","1927","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       142","E","        37","E","         0","E","","","         1"," ","       240","E","","","","","","","  -18.0","E,0105, ","","","  16.5"," ,E,1005, ","","","-0.3","E,0920","-2.6","E,0927","-5.1","E,1011","-6.8","E,1017","-8.9","E,1106","-1.2","E,0625","-2.8","E,0608","-5.3","E,0512","-7.3","E,0509","-9.4","E,0505","","","","","    325.2"," ,E","","","","","     -2.78","E"
"JNM00001001","1928","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       145","E","        62","E","         1","E","","","","","","","","","","","","","","","","","  38.2"," ,E,1206, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    505.2"," ,E","","","","","",""
"JNM00001001","1929","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       176","E","        64","E","         0","E","","","         0"," ","       232","E","","","","","","","  -12.7","E,0423, ","","","  15.0"," ,E,0916, ","","","-0.6","E,0826","-2.3","E,0925","-4.6","E,0930","-7.1","E,1002","-9.5","E,1030","-0.5","E,0725","-2.2","E,0607","-7.4","E,0504","-7.4","E,0504","-12.7","E,0423","","","","","    432.6"," ,E","","","","","     -1.83","E"
"JNM00001001","1930","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       164","E","        55","E","         0","E","","","         0"," ","       210","E","","","","","","","  -15.8","E,0318, ","","","  16.4"," ,E,0125, ","","","-0.3","E,0925","-2.5","E,0929","-4.9","E,1031","-7.6","E,1102","-8.9","E,1115","-1.2","E,0614","-2.6","E,0515","-4.5","E,0415","-10.4","E,0320","-10.4","E,0320","","","","","    420.1"," ,E","","","","","     -1.31","E"
"JNM00001001","1931","70.9331","-8.6667","10.0","JAN MAYEN, JN","","","","","       173","E","        63","E","         1","E","","","         0"," ","       212","E","","","","","","","  -16.4","E,0327, ","","","  46.6"," ,E,1002, ","","","0.0","E,0911","-8.0","E,1003","-8.0","E,1003","-8.0","E,1003","-10.1","E,1205","-0.3","E,0612","-2.2","E,0605","-6.2","E,0518","-6.7","E,0416","-15.0","E,0328","","","","","    570.6"," ,E","","","","","     -2.27","E"
