"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KG000038471","1936","41.9","71.35","1937.0","CATKAL RIVER, KG","        88","I","        37","I","         1","I","  28.2"," ,I,0402, ","    302.8"," ,I"
"KG000038471","1937","41.9","71.35","1937.0","CATKAL RIVER, KG","        92","I","        39","I","         0","I","  22.4"," ,I,1023, ","    369.3"," ,I"
"KG000038471","1938","41.9","71.35","1937.0","CATKAL RIVER, KG","        94","I","        35","I","         0","I","  17.8"," ,I,1216, ","    292.4"," ,I"
"KG000038471","1939","41.9","71.35","1937.0","CATKAL RIVER, KG","       104","I","        47","I","         0","I","  14.5"," ,I,0510, ","    313.3"," ,I"
"KG000038471","1940","41.9","71.35","1937.0","CATKAL RIVER, KG","       104","I","        56","I","         0","I","  20.9"," ,I,1230, ","    406.8"," ,I"
"KG000038471","1942","41.9","71.35","1937.0","CATKAL RIVER, KG","       115","I","        52","I","         0","I","  18.2"," ,I,0315, ","    465.5"," ,I"
"KG000038471","1943","41.9","71.35","1937.0","CATKAL RIVER, KG","       110","I","        61","I","         2","I","  33.5"," ,I,1217, ","    501.9"," ,I"
"KG000038471","1944","41.9","71.35","1937.0","CATKAL RIVER, KG","        79","I","        29","I","         1","I","  40.9"," ,I,1108, ","    279.1"," ,I"
"KG000038471","1945","41.9","71.35","1937.0","CATKAL RIVER, KG","       103","I","        60","I","         1","I","  44.3"," ,I,0326, ","    533.4"," ,I"
"KG000038471","1946","41.9","71.35","1937.0","CATKAL RIVER, KG","       100","I","        49","I","         1","I","  25.4"," ,I,0709, ","    320.0"," ,I"
"KG000038471","1947","41.9","71.35","1937.0","CATKAL RIVER, KG","       103","I","        53","I","         3","I","  35.1"," ,I,1102, ","    523.9"," ,I"
"KG000038471","1948","41.9","71.35","1937.0","CATKAL RIVER, KG","        90","I","        45","I","         1","I","  30.8"," ,I,0306, ","    455.4"," ,I"
"KG000038471","1949","41.9","71.35","1937.0","CATKAL RIVER, KG","       117","I","        56","I","         1","I","  29.8"," ,I,0327, ","    473.1"," ,I"
"KG000038471","1950","41.9","71.35","1937.0","CATKAL RIVER, KG","        89","I","        42","I","         2","I","  34.8"," ,I,0111, ","    338.9"," ,I"
"KG000038471","1951","41.9","71.35","1937.0","CATKAL RIVER, KG","       118","I","        59","I","         0","I","  23.5"," ,I,1030, ","    505.0"," ,I"
"KG000038471","1952","41.9","71.35","1937.0","CATKAL RIVER, KG","       116","I","        60","I","         0","I","  23.3"," ,I,1211, ","    478.6"," ,I"
"KG000038471","1953","41.9","71.35","1937.0","CATKAL RIVER, KG","        98","I","        67","I","         0","I","  24.8"," ,I,1001, ","    558.9"," ,I"
"KG000038471","1954","41.9","71.35","1937.0","CATKAL RIVER, KG","        98","I","        57","I","         0","I","  15.5"," ,I,0103, ","    424.8"," ,I"
"KG000038471","1955","41.9","71.35","1937.0","CATKAL RIVER, KG","        88","I","        42","I","         1","I","  28.0"," ,I,0303, ","    383.8"," ,I"
"KG000038471","1956","41.9","71.35","1937.0","CATKAL RIVER, KG","        88","I","        52","I","         3","I","  39.5"," ,I,0222, ","    459.9"," ,I"
"KG000038471","1957","41.9","71.35","1937.0","CATKAL RIVER, KG","        96","I","        47","I","         0","I","  16.7"," ,I,0614, ","    398.8"," ,I"
"KG000038471","1958","41.9","71.35","1937.0","CATKAL RIVER, KG","       127","I","        72","I","         3","I","  49.8"," ,I,0403, ","    688.1"," ,I"
"KG000038471","1959","41.9","71.35","1937.0","CATKAL RIVER, KG","       122","I","        63","I","         3","I","  52.7"," ,I,0323, ","    656.6"," ,I"
"KG000038471","1960","41.9","71.35","1937.0","CATKAL RIVER, KG","        88","I","        50","I","         1","I","  29.0"," ,I,0223, ","    441.3"," ,I"
"KG000038471","1961","41.9","71.35","1937.0","CATKAL RIVER, KG","        82","I","        44","I","         0","I","  17.9"," ,I,0417, ","    327.2"," ,I"
"KG000038471","1962","41.9","71.35","1937.0","CATKAL RIVER, KG","        87","I","        48","I","         2","I","  35.4"," ,I,0417, ","    448.3"," ,I"
"KG000038471","1963","41.9","71.35","1937.0","CATKAL RIVER, KG","        86","I","        53","I","         2","I","  28.8"," ,I,1102, ","    487.4"," ,I"
"KG000038471","1964","41.9","71.35","1937.0","CATKAL RIVER, KG","        79","I","        42","I","         0","I","  16.5"," ,I,0305, ","    288.0"," ,I"
"KG000038471","1965","41.9","71.35","1937.0","CATKAL RIVER, KG","        90","I","        42","I","         2","I","  50.2"," ,I,1109, ","    467.5"," ,I"
"KG000038471","1966","41.9","71.35","1937.0","CATKAL RIVER, KG","       103","I","        53","I","         1","I","  35.0"," ,I,0314, ","    508.6"," ,I"
"KG000038471","1967","41.9","71.35","1937.0","CATKAL RIVER, KG","       104","I","        51","I","         0","I","  17.4"," ,I,1218, ","    418.3"," ,I"
