"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"KSM00047138","1974","36.033","129.38","1.3","POHANG, KS","         4","S","       144","S","        11","S","   35.0","S,0813, ","     17.99","S"
"KSM00047138","1975","36.033","129.38","1.3","POHANG, KS","         0","S","       145","S","        17","S","   35.0","S,0723,+","     18.43","S"
"KSM00047138","1976","36.033","129.38","1.3","POHANG, KS","         8","S","       145","S","        13","S","   34.0","S,0822,+","     17.94","S"
"KSM00047138","1977","36.033","129.38","1.3","POHANG, KS","        10","S","       162","S","        19","S","   38.0","S,0802, ","     18.84","S"
"KSM00047138","1978","36.033","129.38","1.3","POHANG, KS","         2","S","       162","S","        33","S","   38.0","S,0706, ","     19.78","S"
"KSM00047138","1979","36.033","129.38","1.3","POHANG, KS","         0","S","       161","S","        10","S","   36.0","S,0731, ","     19.13","S"
"KSM00047138","1980","36.033","129.38","1.3","POHANG, KS","        11","S","       144","S","         6","S","   34.0","S,0721, ","     17.81","S"
"KSM00047138","1981","36.033","129.38","1.3","POHANG, KS","         4","S","       154","S","        21","S","   37.0","S,0809,+","     18.09","S"
"KSM00047138","1982","36.033","129.38","1.3","POHANG, KS","         2","S","       167","S","        24","S","   36.1","S,0810, ","     18.97","S"
"KSM00047138","1983","36.033","129.38","1.3","POHANG, KS","         3","S","       152","S","        18","S","   37.8","S,0803, ","     18.47","S"
"KSM00047138","1984","36.033","129.38","1.3","POHANG, KS","         9","S","       152","S","        23","S","   37.9","S,0811, ","     17.92","S"
"KSM00047138","1986","36.033","129.38","1.3","POHANG, KS","         3","S","       125","S","        13","S","   35.8","S,0727, ","     17.67","S"
"KSM00047138","1987","36.033","129.38","1.3","POHANG, KS","         1","S","       165","S","         9","S","   35.8","S,0605, ","     18.85","S"
"KSM00047138","1988","36.033","129.38","1.3","POHANG, KS","         2","S","       167","S","        16","S","   37.0","S,0709,+","     18.44","S"
"KSM00047138","1989","36.033","129.38","1.3","POHANG, KS","         0","S","       150","S","        11","S","   36.1","S,0720, ","     19.01","S"
"KSM00047138","1990","36.033","129.38","1.3","POHANG, KS","         3","S","       159","S","        38","S","   35.7","S,0813, ","     19.66","S"
"KSM00047138","1991","36.033","129.38","1.3","POHANG, KS","         2","S","       152","S","        11","S","   34.3","S,0722, ","     18.20","S"
"KSM00047138","1992","36.033","129.38","1.3","POHANG, KS","         0","S","       154","S","        18","S","   36.8","S,0729, ","     18.88","S"
"KSM00047138","1994","36.033","129.38","1.3","POHANG, KS","         1","S","       164","S","        41","S","   38.6","S,0714, ","     20.20","S"
"KSM00047138","1995","36.033","129.38","1.3","POHANG, KS","         0","S","       162","S","        34","S","   37.0","S,0814, ","     19.02","S"
"KSM00047138","1996","36.033","129.38","1.3","POHANG, KS","         1","S","       153","S","        27","S","   37.5","S,0803, ","     18.39","S"
"KSM00047138","1997","36.033","129.38","1.3","POHANG, KS","         1","S","       169","S","        27","S","   35.9","S,0901, ","     19.37","S"
"KSM00047138","1998","36.033","129.38","1.3","POHANG, KS","         1","S","       172","S","        10","S","   35.2","S,0709, ","     19.26","S"
"KSM00047138","1999","36.033","129.38","1.3","POHANG, KS","         2","S","       153","S","         6","S","   34.1","S,0725, ","     18.62","S"
"KSM00047138","2001","36.033","129.38","1.3","POHANG, KS","         3","S","       173","S","        29","S","   37.5","S,0704, ","     19.65","S"
"KSM00047138","2005","36.033","129.38","1.3","POHANG, KS","         3","S","       166","S","        32","S","   37.7","S,0625, ","     18.78","S"
"KSM00047138","2008","36.033","129.38","1.3","POHANG, KS","         0","S","       152","S","        20","S","   35.6","S,0710, ","     18.38","S"
"KSM00047138","2009","36.033","129.38","1.3","POHANG, KS","         1","S","       187","S","        13","S","   35.3","S,0626,+","     19.15","S"
"KSM00047138","2010","36.033","129.38","1.3","POHANG, KS","         3","S","       160","S","        37","S","   35.7","S,0822, ","     18.82","S"
"KSM00047138","2011","36.033","129.38","1.3","POHANG, KS","         2","S","       161","S","        19","S","   35.1","S,0729, ","     18.50","S"
"KSM00047138","2012","36.033","129.38","1.3","POHANG, KS","         3","S","       170","S","        19","S","   36.8","S,0729, ","     18.32","S"
"KSM00047138","2013","36.033","129.38","1.3","POHANG, KS","         0","S","       173","S","        41","S","   37.6","S,0810, ","     19.44","S"
"KSM00047138","2014","36.033","129.38","1.3","POHANG, KS","         1","S","       164","S","        16","S","   36.0","S,0724, ","     18.66","S"
"KSM00047138","2015","36.033","129.38","1.3","POHANG, KS","         1","S","       176","S","        15","S","   37.5","S,0804, ","     18.89","S"
