"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KZ000035700","1881","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        63","r","        17","r","         0","r","","","","","","","","","","","","","  20.2"," ,r,0502, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    139.0"," ,r","","","","","",""
"KZ000035700","1883","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        26","r","         7","r","         1","r","","","","","","","","","","","","","  29.7"," ,r,0124, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    102.2"," ,r","","","","","",""
"KZ000035700","1884","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        49","r","        18","r","         1","r","","","","","","","","","","","","","  86.8"," ,r,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    208.7"," ,r","","","","","",""
"KZ000035700","1885","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        42","r","        19","r","         0","r","","","","","","","","","","","","","  20.2"," ,r,0615,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    178.3"," ,r","","","","","",""
"KZ000035700","1886","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        35","r","        20","r","         0","r","","","","","        80","r","       123","r","        17","r","","","  13.9"," ,r,0811, ","   35.4","r,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","    146.5"," ,r","","","     11.74","r","",""
"KZ000035700","1887","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        25","r","         5","r","         0","r","","","","","","","","","","","","","   9.5"," ,r,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     51.2"," ,r","","","","","",""
"KZ000035700","1891","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        19","r","         7","r","         0","r","","","","","","","","","","","","","  16.7"," ,r,0607, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     68.7"," ,r","","","","","",""
"KZ000035700","1892","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        39","r","        15","r","         0","r","","","","","","","","","","","","","  11.7"," ,r,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    109.9"," ,r","","","","","",""
"KZ000035700","1893","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        37","r","        17","r","         0","r","        42"," ","       138","r","","","","","","","  -35.7","r,0106, ","  14.9"," ,r,0830, ","","","-8.3","r,1111","-8.3","r,1111","-8.3","r,1111","-8.3","r,1111","-14.0","r,1114","-5.8","r,0426","-5.8","r,0426","-5.8","r,0426","-9.7","r,0407","-9.7","r,0407","","","","","    139.7"," ,r","","","","","      1.86","r"
"KZ000035700","1894","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        38","r","        22","r","         1","r","        32"," ","       167","r","","","","","","","  -33.2","r,0106, ","  45.0"," ,r,0805, ","","","-1.2","r,1005","-5.3","r,1010","-5.3","r,1010","-9.8","r,1110","-9.8","r,1110","-4.0","r,0425","-4.0","r,0425","-4.8","r,0401","-7.1","r,0331","-9.3","r,0317","","","","","    206.9"," ,r","","","","","      2.20","r"
"KZ000035700","1895","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        47","r","        33","r","         1","r","        22"," ","       152","r","","","","","","","  -27.1","r,0115, ","  30.3"," ,r,0422, ","","","-1.7","r,1012","-2.9","r,1028","-5.3","r,1031","-10.8","r,1112","-10.8","r,1112","-2.6","r,0426","-2.6","r,0426","-4.7","r,0326","-7.9","r,0227","-13.8","r,0219","","","","","    264.4"," ,r","","","","","      2.84","r"
"KZ000035700","1896","47.1167","51.9167","-22.0","ATYRAU, KZ","","","","","        45","r","        30","r","         1","r","        34"," ","       174","r","","","","","","","  -27.2","r,0112, ","  30.4"," ,r,0409, ","","","-2.5","r,1017","-2.5","r,1017","-7.8","r,1018","-7.8","r,1018","-9.9","r,1116","-0.8","r,0422","-3.6","r,0417","-13.3","r,0324","-13.3","r,0324","-13.3","r,0324","","","","","    276.9"," ,r","","","","","      1.34","r"
