"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KZ000038208","1966","43.2","70.4","535.0","KARATAU, KZ","        72","I","        33","I","         2","I","  40.0"," ,I,0302, ","    281.7"," ,I"
"KZ000038208","1967","43.2","70.4","535.0","KARATAU, KZ","        67","I","        28","I","         0","I","  22.3"," ,I,1217, ","    253.5"," ,I"
"KZ000038208","1968","43.2","70.4","535.0","KARATAU, KZ","        75","I","        28","I","         2","I","  34.7"," ,I,1204, ","    299.8"," ,I"
"KZ000038208","1969","43.2","70.4","535.0","KARATAU, KZ","        91","I","        46","I","         0","I","  24.2"," ,I,0209, ","    405.4"," ,I"
"KZ000038208","1970","43.2","70.4","535.0","KARATAU, KZ","        72","I","        32","I","         2","I","  33.2"," ,I,0721, ","    314.5"," ,I"
"KZ000038208","1971","43.2","70.4","535.0","KARATAU, KZ","        54","I","        25","I","         0","I","  21.1"," ,I,0420, ","    257.8"," ,I"
"KZ000038208","1972","43.2","70.4","535.0","KARATAU, KZ","        75","I","        25","I","         1","I","  25.4"," ,I,1203, ","    236.8"," ,I"
"KZ000038208","1973","43.2","70.4","535.0","KARATAU, KZ","        53","I","        22","I","         0","I","  16.7"," ,I,0324, ","    168.5"," ,I"
"KZ000038208","1974","43.2","70.4","535.0","KARATAU, KZ","        62","I","        24","I","         0","I","  19.0"," ,I,0427, ","    218.2"," ,I"
"KZ000038208","1975","43.2","70.4","535.0","KARATAU, KZ","        44","I","        17","I","         0","I","  17.3"," ,I,0324, ","    138.7"," ,I"
"KZ000038208","1976","43.2","70.4","535.0","KARATAU, KZ","        64","I","        23","I","         1","I","  31.6"," ,I,1030, ","    247.1"," ,I"
"KZ000038208","1978","43.2","70.4","535.0","KARATAU, KZ","        83","I","        42","I","         1","I","  26.8"," ,I,0524, ","    376.9"," ,I"
"KZ000038208","1979","43.2","70.4","535.0","KARATAU, KZ","        69","I","        29","I","         1","I","  27.7"," ,I,0427, ","    293.5"," ,I"
"KZ000038208","1980","43.2","70.4","535.0","KARATAU, KZ","        65","I","        32","I","         1","I","  34.7"," ,I,0613, ","    233.0"," ,I"
"KZ000038208","1981","43.2","70.4","535.0","KARATAU, KZ","        83","I","        39","I","         0","I","  17.5"," ,I,0531, ","    265.1"," ,I"
"KZ000038208","1982","43.2","70.4","535.0","KARATAU, KZ","        55","I","        21","I","         0","I","   9.5"," ,I,1110, ","    145.4"," ,I"
"KZ000038208","1983","43.2","70.4","535.0","KARATAU, KZ","        52","I","        17","I","         1","I","  40.0"," ,I,1121, ","    200.2"," ,I"
"KZ000038208","1984","43.2","70.4","535.0","KARATAU, KZ","        63","I","        24","I","         0","I","  16.6"," ,I,1008, ","    189.4"," ,I"
"KZ000038208","1985","43.2","70.4","535.0","KARATAU, KZ","        72","I","        29","I","         0","I","  17.0"," ,I,1011, ","    237.3"," ,I"
"KZ000038208","1986","43.2","70.4","535.0","KARATAU, KZ","        52","I","        19","I","         1","I","  46.8"," ,I,0421, ","    238.5"," ,I"
