"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"LG000026429","1965","56.4","24.217","33.0","BAUSKA, LG","","","","","       156","I","        66","I","         1","I","","","","","","","","","","","","","  27.1"," ,I,0715, ","","","","","","","","","","","","","","","","","","","","","","","    523.4"," ,I","","","","","",""
"LG000026429","1967","56.4","24.217","33.0","BAUSKA, LG","","","","","       184","I","        76","I","         0","I","","","","","","","","","","","","","  22.8"," ,I,0824, ","","","","","","","","","","","","","","","","","","","","","","","    577.3"," ,I","","","","","",""
"LG000026429","1968","56.4","24.217","33.0","BAUSKA, LG","","","","","       162","I","        68","I","         0","I","","","","","","","","","","","","","  18.4"," ,I,0926, ","","","","","","","","","","","","","","","","","","","","","","","    555.4"," ,I","","","","","",""
"LG000026429","1969","56.4","24.217","33.0","BAUSKA, LG","","","","","       149","I","        64","I","         1","I","","","","","","","","","","","","","  26.8"," ,I,0829, ","","","","","","","","","","","","","","","","","","","","","","","    462.1"," ,I","","","","","",""
"LG000026429","1970","56.4","24.217","33.0","BAUSKA, LG","","","","","       160","I","        72","I","         1","I","","","","","","","","","","","","","  27.7"," ,I,1031, ","","","","","","","","","","","","","","","","","","","","","","","    545.8"," ,I","","","","","",""
"LG000026429","1971","56.4","24.217","33.0","BAUSKA, LG","","","","","       144","I","        67","I","         0","I","","","","","","","","","","","","","  16.5"," ,I,0619, ","","","","","","","","","","","","","","","","","","","","","","","    476.9"," ,I","","","","","",""
"LG000026429","1975","56.4","24.217","33.0","BAUSKA, LG","","","","","       145","I","        49","I","         1","I","","","","","","","","","","","","","  38.9"," ,I,0726, ","","","","","","","","","","","","","","","","","","","","","","","    431.7"," ,I","","","","","",""
"LG000026429","1977","56.4","24.217","33.0","BAUSKA, LG","","","","","       180","I","        79","I","         0","I","","","","","","","","","","","","","  19.8"," ,I,0412, ","","","","","","","","","","","","","","","","","","","","","","","    643.1"," ,I","","","","","",""
"LG000026429","1980","56.4","24.217","33.0","BAUSKA, LG","","","","","       187","I","        84","I","         2","I","","","","","","","","","","","","","  39.3"," ,I,0624, ","","","","","","","","","","","","","","","","","","","","","","","    712.1"," ,I","","","","","",""
"LG000026429","1982","56.4","24.217","33.0","BAUSKA, LG","","","","","       139","I","        50","I","         0","I","","","","","","","","","","","","","  23.7"," ,I,0616, ","","","","","","","","","","","","","","","","","","","","","","","    429.8"," ,I","","","","","",""
"LG000026429","1983","56.4","24.217","33.0","BAUSKA, LG","","","","","       172","I","        78","I","         1","I","","","","","","","","","","","","","  26.7"," ,I,0516, ","","","","","","","","","","","","","","","","","","","","","","","    664.2"," ,I","","","","","",""
