"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"LH000026730","1881","54.6331","25.1","156.0","VILNIUS, LH","","","","","        76","r","        36","r","         1","r","","","","","","","","","","","","","  32.9"," ,r,0711, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    322.8"," ,r","","","","","",""
"LH000026730","1882","54.6331","25.1","156.0","VILNIUS, LH","","","","","       121","r","        52","r","         0","r","","","","","","","","","","","","","  19.7"," ,r,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    387.2"," ,r","","","","","",""
"LH000026730","1885","54.6331","25.1","156.0","VILNIUS, LH","","","","","       148","r","        72","r","         3","r","","","","","","","","","","","","","  29.5"," ,r,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    667.8"," ,r","","","","","",""
"LH000026730","1886","54.6331","25.1","156.0","VILNIUS, LH","","","","","        95","r","        55","r","         1","r","","","","","","","","","","","","","  28.9"," ,r,0716, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    433.8"," ,r","","","","","",""
"LH000026730","1887","54.6331","25.1","156.0","VILNIUS, LH","","","","","       134","r","        65","r","         3","r","","","","","","","","","","","","","  37.5"," ,r,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    577.9"," ,r","","","","","",""
"LH000026730","1888","54.6331","25.1","156.0","VILNIUS, LH","","","","","       111","r","        53","r","         0","r","","","","","","","","","","","","","   8.4"," ,r,0901, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    320.9"," ,r","","","","","",""
"LH000026730","1889","54.6331","25.1","156.0","VILNIUS, LH","","","","","       122","r","        59","r","         1","r","","","","","","","","","","","","","  35.1"," ,r,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    442.2"," ,r","","","","","",""
"LH000026730","1891","54.6331","25.1","156.0","VILNIUS, LH","","","","","","","","","","","         3"," ","       143","r","","","","","","","  -20.0","r,1220, ","","","","","-0.3","r,1028","-2.8","r,1029","-5.8","r,1030","-6.9","r,1105","-10.2","r,1107","-1.4","r,0425","-2.3","r,0405","-9.8","r,0326","-9.8","r,0326","-9.8","r,0326","","","","","","","","","","","      2.94","r"
"LH000026730","1893","54.6331","25.1","156.0","VILNIUS, LH","","","","","       153","r","        78","r","         3","r","        29"," ","       177","r","","","","","","","  -31.1","r,0117, ","  51.0"," ,r,0811, ","","","-2.5","r,1019","-2.5","r,1019","-6.2","r,1109","-7.6","r,1121","-10.0","r,1128","-2.3","r,0517","-2.3","r,0517","-6.4","r,0421","-6.8","r,0414","-10.0","r,0331","","","","","    701.5"," ,r","","","","","      0.52","r"
"LH000026730","1894","54.6331","25.1","156.0","VILNIUS, LH","","","","","       140","r","        68","r","         2","r","         3"," ","       129","r","","","","","","","  -23.5","r,0104, ","  31.2"," ,r,0907, ","","","-1.5","r,0918","-2.4","r,1020","-5.0","r,1031","-10.0","r,1101","-10.0","r,1101","-1.0","r,0422","-3.0","r,0329","-5.0","r,0328","-7.0","r,0225","-10.0","r,0224","","","","","    541.3"," ,r","","","","","      2.81","r"
"LH000026730","1895","54.6331","25.1","156.0","VILNIUS, LH","","","","","       160","r","        68","r","         0","r","        10"," ","       147","r","","","","","","","  -25.0","r,0218, ","  23.6"," ,r,0727, ","","","0.0","r,1019","-3.5","r,1123","-4.6","r,1125","-11.5","r,1128","-11.5","r,1128","-0.5","r,0419","-4.9","r,0418","-4.9","r,0418","-7.4","r,0325","-8.9","r,0324","","","","","    535.8"," ,r","","","","","      2.18","r"
"LH000026730","1896","54.6331","25.1","156.0","VILNIUS, LH","","","","","       136","r","        61","r","         2","r","         5"," ","       140","r","","","","","","","  -24.1","r,0101, ","  26.0"," ,r,0212, ","","","-2.0","r,1104","-5.0","r,1105","-5.0","r,1105","-7.7","r,1112","-9.0","r,1113","0.0","r,0517","-5.3","r,0409","-5.3","r,0409","-7.0","r,0408","-12.0","r,0226","","","","","    546.4"," ,r","","","","","      2.88","r"
"LH000026730","1897","54.6331","25.1","156.0","VILNIUS, LH","","","","","       143","r","        75","r","         4","r","         8"," ","       131","r","","","","","","","  -23.1","r,0209, ","  62.6"," ,r,0531, ","","","-1.6","r,1001","-3.4","r,1005","-4.8","r,1109","-9.8","r,1110","-9.8","r,1110","-0.6","r,0422","-3.0","r,0327","-5.5","r,0324","-8.0","r,0224","-16.0","r,0216","","","","","    726.9"," ,r","","","","","      3.36","r"
"LH000026730","1898","54.6331","25.1","156.0","VILNIUS, LH","","","","","       150","r","        73","r","         1","r","         1"," ","       132","r","","","","","","","  -21.1","r,0126, ","  28.1"," ,r,0711, ","","","-1.4","r,1008","-3.4","r,1010","-5.0","r,1016","-13.7","r,1216","-13.7","r,1216","-1.0","r,0417","-5.0","r,0413","-5.0","r,0413","-8.0","r,0323","-11.6","r,0318","","","","","    600.5"," ,r","","","","","      3.27","r"
"LH000026730","1899","54.6331","25.1","156.0","VILNIUS, LH","","","","","       163","r","        77","r","         4","r","         3"," ","       127","r","","","","","","","  -19.7","r,1212, ","  43.2"," ,r,0719, ","","","-0.6","r,1007","-2.6","r,1115","-5.0","r,1123","-8.1","r,1206","-10.0","r,1207","0.0","r,0504","-3.0","r,0404","-7.8","r,0326","-7.8","r,0326","-11.6","r,0325","","","","","    697.0"," ,r","","","","","      2.75","r"
"LH000026730","1900","54.6331","25.1","156.0","VILNIUS, LH","","","","","       150","r","        87","r","         0","r","         8","E","       141","E","","","","","","","  -25.1","E,1231, ","  21.0"," ,r,1229, ","","","0.0","E,1021","-3.4","E,1114","-7.0","E,1202","-7.0","E,1202","-10.8","E,1203","-2.6","E,0515","-2.6","E,0515","-7.5","E,0403","-7.5","E,0403","-12.0","E,0325","","","","","    601.6"," ,r","","","","","      2.48","E"
"LH000026730","1901","54.6331","25.1","156.0","VILNIUS, LH","","","","","       135","r","        70","r","         2","r","        12","E","       145","E","        74","E","        65","E","         3","E","  -28.2","E,0101, ","  76.5"," ,r,0606, ","   33.6","E,0803, ","-0.4","E,1025","-2.2","E,1028","-5.4","E,1105","-18.0","E,1109","-18.0","E,1109","-2.5","r,0506","-2.5","r,0506","-5.0","E,0331","-7.8","E,0330","-11.5","E,0329","","","","","    621.8"," ,r","      6.19","E","      9.79","E","      2.58","E"
