"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MGM00044275","1988","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       138","S","        19","S","         0","S","","","   26.2","S,0722, ","","","      3.35","S"
"MGM00044275","1997","46.833","98.083","2255.0","BAYANBULAG, MG","         0","S","         0","S","         0","S","","","","","","","     0"," ,S,1231,+","","","      0.0"," ,S","",""
"MGM00044275","2007","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       126","S","        39","S","         0","S","","","   28.6","S,0725, ","","","      5.88","S"
"MGM00044275","2013","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       124","S","        21","S","         0","S","","","   25.7","S,0704, ","","","      4.98","S"
"MGM00044275","2015","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       137","S","        33","S","         0","S","","","   28.2","S,0723, ","","","      4.97","S"
"MGM00044275","2016","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       136","S","        23","S","         0","S","","","   28.6","S,0802, ","","","      3.93","S"
"MGM00044275","2017","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       146","S","        56","S","         0","S","","","   29.3","S,0714, ","","","      6.00","S"
"MGM00044275","2018","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       126","S","        42","S","         0","S","","","   26.8","S,0724, ","","","      5.14","S"
"MGM00044275","2019","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       127","S","        47","S","         0","S","","","   24.7","S,0802, ","","","      5.59","S"
"MGM00044275","2020","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       117","S","        33","S","         0","S","","","   26.1","S,0706, ","","","      5.32","S"
"MGM00044275","2022","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       145","S","        52","S","         0","S","","","   29.2","S,0624, ","","","      5.17","S"
"MGM00044275","2023","46.833","98.083","2255.0","BAYANBULAG, MG","","","","","","","       124","S","        54","S","         0","S","","","   30.1","S,0729, ","","","      5.35","S"
