"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MGM00044284","2006","46.7","100.133","2126.0","GALUUT, MG","       113","S","        38","S","         0","S","   29.3","S,0704, ","      4.87","S"
"MGM00044284","2011","46.7","100.133","2126.0","GALUUT, MG","       148","S","        39","S","         0","S","   29.1","S,0716, ","      3.07","S"
"MGM00044284","2012","46.7","100.133","2126.0","GALUUT, MG","       148","S","        40","S","         0","S","   29.1","S,0630, ","      2.67","S"
"MGM00044284","2013","46.7","100.133","2126.0","GALUUT, MG","       127","S","        28","S","         0","S","   26.4","S,0705, ","      4.10","S"
"MGM00044284","2014","46.7","100.133","2126.0","GALUUT, MG","       130","S","        35","S","         1","S","   32.9","S,0724, ","      4.34","S"
"MGM00044284","2016","46.7","100.133","2126.0","GALUUT, MG","       135","S","        35","S","         0","S","   30.0","S,0802,+","      3.28","S"
"MGM00044284","2017","46.7","100.133","2126.0","GALUUT, MG","       141","S","        65","S","         0","S","   31.3","S,0715, ","      5.46","S"
"MGM00044284","2018","46.7","100.133","2126.0","GALUUT, MG","       125","S","        47","S","         0","S","   27.4","S,0621, ","      4.71","S"
"MGM00044284","2019","46.7","100.133","2126.0","GALUUT, MG","       134","S","        54","S","         0","S","   26.9","S,0703, ","      4.84","S"
"MGM00044284","2020","46.7","100.133","2126.0","GALUUT, MG","       131","S","        50","S","         0","S","   27.0","S,0707, ","      3.94","S"
"MGM00044284","2022","46.7","100.133","2126.0","GALUUT, MG","       136","S","        61","S","         0","S","   29.9","S,0624, ","      4.55","S"
"MGM00044284","2023","46.7","100.133","2126.0","GALUUT, MG","       135","S","        60","S","         0","S","   31.7","S,0729, ","      4.25","S"
