"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MI000067421","1956","-9.7","33.267","1278.0","CHITIPA, MI","       112","Q","        66","Q","        15","Q","  49.5"," ,Q,0113, ","   1085.7"," ,Q"
"MI000067421","1957","-9.7","33.267","1278.0","CHITIPA, MI","       103","Q","        66","Q","         2","Q","  48.0"," ,Q,0110, ","    817.4"," ,Q"
"MI000067421","1958","-9.7","33.267","1278.0","CHITIPA, MI","        87","Q","        64","Q","         6","Q","  40.6"," ,Q,0208, ","    716.3"," ,Q"
"MI000067421","1959","-9.7","33.267","1278.0","CHITIPA, MI","        91","Q","        57","Q","        17","Q","  85.1"," ,Q,0224, ","   1039.7"," ,Q"
"MI000067421","1960","-9.7","33.267","1278.0","CHITIPA, MI","        99","Q","        63","Q","        10","Q","  49.5"," ,Q,1219, ","    981.7"," ,Q"
"MI000067421","1961","-9.7","33.267","1278.0","CHITIPA, MI","       127","Q","        82","Q","        14","Q","  73.7"," ,Q,0304, ","   1145.6"," ,Q"
"MI000067421","1962","-9.7","33.267","1278.0","CHITIPA, MI","       117","Q","        81","Q","        16","Q","  45.7"," ,Q,0114, ","   1258.5"," ,Q"
"MI000067421","1963","-9.7","33.267","1278.0","CHITIPA, MI","       131","Q","        87","Q","        14","Q","  54.9"," ,Q,1223, ","   1295.2"," ,Q"
"MI000067421","1964","-9.7","33.267","1278.0","CHITIPA, MI","       101","Q","        60","Q","         4","Q","  73.7"," ,Q,1231, ","    793.8"," ,Q"
"MI000067421","1965","-9.7","33.267","1278.0","CHITIPA, MI","       105","Q","        65","Q","         8","Q","  60.2"," ,Q,1221, ","    931.5"," ,Q"
"MI000067421","1966","-9.7","33.267","1278.0","CHITIPA, MI","        97","Q","        55","Q","        11","Q","  61.7"," ,Q,0205, ","    850.2"," ,Q"
"MI000067421","1967","-9.7","33.267","1278.0","CHITIPA, MI","       126","Q","        73","Q","         5","Q","  41.1"," ,Q,0116, ","    872.9"," ,Q"
"MI000067421","1968","-9.7","33.267","1278.0","CHITIPA, MI","       107","Q","        68","Q","        11","Q","  60.2"," ,Q,1224, ","    965.7"," ,Q"
"MI000067421","1969","-9.7","33.267","1278.0","CHITIPA, MI","       107","Q","        65","Q","        15","Q","  79.2"," ,Q,0323, ","   1076.5"," ,Q"
"MI000067421","1970","-9.7","33.267","1278.0","CHITIPA, MI","       101","Q","        65","Q","         9","Q","  62.7"," ,Q,1127, ","    989.5"," ,Q"
"MI000067421","1971","-9.7","33.267","1278.0","CHITIPA, MI","       108","Q","        67","Q","        13","Q","  90.9"," ,Q,0314, ","   1089.8"," ,Q"
"MI000067421","1972","-9.7","33.267","1278.0","CHITIPA, MI","       105","Q","        64","Q","        11","Q","  56.9"," ,Q,0314, ","    840.3"," ,Q"
"MI000067421","1973","-9.7","33.267","1278.0","CHITIPA, MI","       102","Q","        64","Q","         5","Q","  45.7"," ,Q,0411, ","    734.4"," ,Q"
"MI000067421","1974","-9.7","33.267","1278.0","CHITIPA, MI","       115","Q","        70","Q","         7","Q","  47.5"," ,Q,0302, ","    841.5"," ,Q"
"MI000067421","1975","-9.7","33.267","1278.0","CHITIPA, MI","       104","Q","        78","Q","        10","Q","  54.6"," ,Q,0119, ","    994.9"," ,Q"
"MI000067421","1976","-9.7","33.267","1278.0","CHITIPA, MI","        99","Q","        67","Q","         5","Q","  56.9"," ,Q,0101, ","    849.0"," ,Q"
"MI000067421","1977","-9.7","33.267","1278.0","CHITIPA, MI","       100","Q","        70","Q","        10","Q","  77.0"," ,Q,1221, ","    934.4"," ,Q"
"MI000067421","1978","-9.7","33.267","1278.0","CHITIPA, MI","       105","Q","        67","Q","        17","Q","  90.4"," ,Q,1206, ","   1284.0"," ,Q"
"MI000067421","1979","-9.7","33.267","1278.0","CHITIPA, MI","       116","Q","        74","Q","        15","Q","  69.3"," ,Q,1224, ","   1199.0"," ,Q"
"MI000067421","1980","-9.7","33.267","1278.0","CHITIPA, MI","       106","Q","        71","Q","         5","Q"," 108.2"," ,Q,0204, ","    956.3"," ,Q"
"MI000067421","1981","-9.7","33.267","1278.0","CHITIPA, MI","        77","Q","        46","Q","         5","Q","  39.5"," ,Q,0215, ","    602.0"," ,Q"
"MI000067421","1982","-9.7","33.267","1278.0","CHITIPA, MI","       109","Q","        78","Q","        10","Q","  50.1"," ,Q,0407, ","   1052.1"," ,Q"
"MI000067421","1983","-9.7","33.267","1278.0","CHITIPA, MI","       101","Q","        70","Q","         5","Q","  53.6"," ,Q,0220, ","    875.0"," ,Q"
"MI000067421","1984","-9.7","33.267","1278.0","CHITIPA, MI","       114","Q","        79","Q","        14","Q","  47.7"," ,Q,0305, ","   1243.8"," ,Q"
"MI000067421","1985","-9.7","33.267","1278.0","CHITIPA, MI","       111","Q","        79","Q","        13","Q","  46.9"," ,Q,0221, ","   1085.6"," ,Q"
"MI000067421","1986","-9.7","33.267","1278.0","CHITIPA, MI","       117","Q","        83","Q","        16","Q","  80.9"," ,Q,0318, ","   1348.9"," ,Q"
"MI000067421","1987","-9.7","33.267","1278.0","CHITIPA, MI","        72","Q","        54","Q","         7","Q","  89.1"," ,Q,1128, ","    829.3"," ,Q"
"MI000067421","1988","-9.7","33.267","1278.0","CHITIPA, MI","        95","Q","        54","Q","         8","Q","  70.9"," ,Q,0305, ","    894.6"," ,Q"
