"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MO000060265","1967","30.93","-6.9","1139.0","OUARZAZATE, MO","","","","","","","         0","I","       243","I","       101","I","","","   40.0","I,0812,+","","","     25.63","I"
"MO000060265","1980","30.93","-6.9","1139.0","OUARZAZATE, MO","","","","","","","         0","I","       220","I","        94","I","","","   40.0","I,0817,+","","","     26.65","I"
"MO000060265","1983","30.93","-6.9","1139.0","OUARZAZATE, MO","        19","I","         5","I","         0","I","         0","I","       251","I","       107","I","   8.9"," ,I,0511, ","   40.6","I,0714, ","     35.3"," ,I","     27.32","I"
"MO000060265","1987","30.93","-6.9","1139.0","OUARZAZATE, MO","        24","I","        10","I","         1","I","","","","","","","  43.9"," ,I,1026, ","","","    130.5"," ,I","",""
"MO000060265","1988","30.93","-6.9","1139.0","OUARZAZATE, MO","        31","I","        15","I","         1","I","","","","","","","  32.0"," ,I,1110, ","","","    209.4"," ,I","",""
"MO000060265","1990","30.93","-6.9","1139.0","OUARZAZATE, MO","        37","I","        14","I","         0","I","","","","","","","  23.1"," ,I,0310, ","","","    114.0"," ,I","",""
"MO000060265","1992","30.93","-6.9","1139.0","OUARZAZATE, MO","        32","I","        16","I","         0","I","         0","I","       234","I","        81","I","  16.3"," ,I,1221, ","   38.6","I,0722, ","    121.3"," ,I","     25.15","I"
"MO000060265","1993","30.93","-6.9","1139.0","OUARZAZATE, MO","        26","I","        15","I","         0","I","         0","I","       211","I","       110","I","  19.1"," ,I,1030, ","   43.2","I,0913, ","    113.3"," ,I","     25.52","I"
"MO000060265","1995","30.93","-6.9","1139.0","OUARZAZATE, MO","        29","I","        15","I","         2","I","","","","","",""," 106.9"," ,I,1203, ","","","    265.3"," ,I","",""
"MO000060265","1996","30.93","-6.9","1139.0","OUARZAZATE, MO","        35","I","        17","I","         1","I","","","","","","","  29.0"," ,I,0204, ","","","    174.4"," ,I","",""
"MO000060265","1997","30.93","-6.9","1139.0","OUARZAZATE, MO","        24","I","        12","I","         0","I","","","","","","","  15.0"," ,I,0329, ","","","    100.7"," ,I","",""
"MO000060265","1998","30.93","-6.9","1139.0","OUARZAZATE, MO","        19","I","         5","I","         0","I","","","","","","","  16.0"," ,I,0208, ","","","     56.6"," ,I","",""
"MO000060265","2000","30.93","-6.9","1139.0","OUARZAZATE, MO","","","","","","","         0","I","       271","I","       116","I","","","   40.6","I,0720, ","","","     27.63","I"
"MO000060265","2023","30.93","-6.9","1139.0","OUARZAZATE, MO","         8","S","         5","S","         1","S","","","","","","","  25.9"," ,S,0217, ","","","     59.7"," ,S","",""
"MO000060265","2024","30.93","-6.9","1139.0","OUARZAZATE, MO","        21","S","         9","S","         2","S","","","","","","","  46.5"," ,S,0906, ","","","    126.6"," ,S","",""
