"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MUM00041314","1983","17.666","54.025","478.5","THUMRAIT, MU","","","","","        13","S","         9","S","         1","S","","","","","","","","","","","",""," 103.1"," ,S,0401, ","","","    221.3"," ,S","","","","","",""
"MUM00041314","1984","17.666","54.025","478.5","THUMRAIT, MU","","","","","         0","S","         0","S","         0","S","","","","","","","","","","","","","     0"," ,S,1231,+","","","      0.0"," ,S","","","","","",""
"MUM00041314","1985","17.666","54.025","478.5","THUMRAIT, MU","","","","","         2","S","         0","S","         0","S","","","","","         0","S","       344","S","       224","S","","","   1.0"," ,S,0813,+","   43.6","S,0717, ","      2.0"," ,S","","","     34.09","S","",""
"MUM00041314","1987","17.666","54.025","478.5","THUMRAIT, MU","","","","","         2","S","         2","S","         0","S","","","","","","","","","","","","","  11.9"," ,S,0409, ","","","     16.0"," ,S","","","","","",""
"MUM00041314","1988","17.666","54.025","478.5","THUMRAIT, MU","","","","","         3","S","         2","S","         1","S","","","","","","","","","","","","","  37.1"," ,S,0428, ","","","     45.2"," ,S","","","","","",""
"MUM00041314","1989","17.666","54.025","478.5","THUMRAIT, MU","","","","","         8","S","         4","S","         3","S","","","","","","","","","","","",""," 101.1"," ,S,0604, ","","","    225.0"," ,S","","","","","",""
"MUM00041314","1990","17.666","54.025","478.5","THUMRAIT, MU","","","","","         6","S","         2","S","         2","S","","","","","","","","","","","",""," 163.1"," ,S,0129, ","","","    321.0"," ,S","","","","","",""
"MUM00041314","1991","17.666","54.025","478.5","THUMRAIT, MU","","","","","         0","S","         0","S","         0","S","","","","","","","","","","","","","     0"," ,S,1231,+","","","      0.0"," ,S","","","","","",""
"MUM00041314","1993","17.666","54.025","478.5","THUMRAIT, MU","","","","","         2","S","         1","S","         1","S","","","","","","","","","","","","","  55.1"," ,S,0906, ","","","     55.6"," ,S","","","","","",""
"MUM00041314","1994","17.666","54.025","478.5","THUMRAIT, MU","","","","","         9","S","         5","S","         1","S","","","","","","","","","","","",""," 150.1"," ,S,0829, ","","","    180.3"," ,S","","","","","",""
"MUM00041314","1995","17.666","54.025","478.5","THUMRAIT, MU","","","","","         4","S","         1","S","         0","S","","","","","","","","","","","","","   6.1"," ,S,0304, ","","","     10.4"," ,S","","","","","",""
"MUM00041314","1996","17.666","54.025","478.5","THUMRAIT, MU","","","","","         9","S","         6","S","         1","S","","","","","         0","S","       349","S","       210","S","",""," 127.0"," ,S,0119, ","   42.4","S,0530, ","    168.9"," ,S","","","     32.84","S","",""
"MUM00041314","1997","17.666","54.025","478.5","THUMRAIT, MU","","","","","         5","S","         0","S","         0","S","","","","","         0","S","       343","S","       225","S","","","   2.0"," ,S,0327, ","   44.6","S,0805, ","      4.3"," ,S","","","     34.34","S","",""
"MUM00041314","1998","17.666","54.025","478.5","THUMRAIT, MU","","","","","         3","S","         3","S","         1","S","","","","","","","","","","","","","  31.0"," ,S,0817, ","","","     39.1"," ,S","","","","","",""
"MUM00041314","2003","17.666","54.025","478.5","THUMRAIT, MU","","","","","         5","S","         3","S","         0","S","","","","","         0","S","       354","S","       237","S","","","  12.7"," ,S,0724, ","   46.1","S,0618, ","     21.3"," ,S","","","     34.89","S","",""
"MUM00041314","2004","17.666","54.025","478.5","THUMRAIT, MU","","","","","         5","S","         0","S","         0","S","","","","","","","","","","","","","   2.3"," ,S,0929, ","","","      4.7"," ,S","","","","","",""
"MUM00041314","2005","17.666","54.025","478.5","THUMRAIT, MU","   2972.2","","    2972.2","S","","","","","","","         0","S","         0","S","         0","S","       357","S","       231","S","    7.6","S,0101, ","","","   44.5","S,0630, ","","","     27.06","S","     33.99","S","     20.12","S"
"MUM00041314","2006","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       351","S","       231","S","","","","","   45.1","S,0719, ","","","","","     34.05","S","",""
"MUM00041314","2009","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       346","S","       226","S","","","","","   45.9","S,0531, ","","","","","     34.54","S","",""
"MUM00041314","2010","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       339","S","       229","S","","","","","   45.1","S,0608, ","","","","","     34.50","S","",""
"MUM00041314","2013","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       345","S","       234","S","","","","","   44.0","S,0729,+","","","","","     33.78","S","",""
"MUM00041314","2015","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       352","S","       230","S","","","","","   45.1","S,0810, ","","","","","     34.41","S","",""
"MUM00041314","2016","17.666","54.025","478.5","THUMRAIT, MU","","","","","","","","","","","","","","","         0","S","       360","S","       236","S","","","","","   45.4","S,0818, ","","","","","     34.11","S","",""
