"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002009","1953","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1846.4","","    1846.4","m","         4","m","         2","m","         0","m","         0","m","        15","m","         0","m","       337","m","       177","m","   -3.3","m,1225,+","   8.4"," ,m,0301, ","   48.9","m,0720, ","0.0","m,1122","-2.2","m,1224","","","","","0.0","m,0225","-3.3","m,0221","","","","","","","","","     17.3"," ,m","     22.00","m","     32.58","m","     11.42","m"
"MXN00002009","1954","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1775.6","","    1775.6","m","         6","m","         1","m","         0","m","         0","m","        18","m","         0","m","       332","m","       188","m","   -6.1","m,1229, ","   3.8"," ,m,0321, ","   43.9","m,0728, ","-1.1","m,1218","-2.2","m,1223","-6.1","m,1229","","","0.0","m,0126","-2.2","m,0103","","","","","     522.2","2","     522.2","m","      9.3"," ,m","     21.73","m","     31.79","m","     11.67","m"
"MXN00002009","1955","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1618.8","","    1618.8","m","        21","m","         8","m","         2","m","         0","m","        26","m","         0","m","       306","m","       160","m","   -6.1","m,0220, ","  59.9"," ,m,0822, ","   46.7","m,0609,+","0.0","m,1123","","","","","","","-1.1","m,0322","-3.3","m,0223","-4.4","m,0222","","","     819.1","1","     819.1","m","    138.2"," ,m","     20.47","m","     30.33","m","     10.61","m"
"MXN00002009","1956","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     720.6","6","     720.6","m","","","","","","","",""
"MXN00002009","1957","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","        10","m","         7","m","         0","m","","","","","","","","","","","","","  13.5"," ,m,0318, ","","","","","","","","","","","","","","","","","","","","","","","     64.0"," ,m","","","","","",""
"MXN00002009","1958","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","         2","m","         2","m","         0","m","","","","","         0","m","       327","m","       141","m","","","   8.9"," ,m,0204, ","   42.8","m,0629,+","","","","","","","","","","","","","","","","","","","","","     11.7"," ,m","","","     30.12","m","",""
"MXN00002009","1960","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     799.4","4","     799.4","m","","","","","","","",""
"MXN00002009","1962","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1144.1","","    1144.1","m","         2","m","         2","m","         0","m","         0","m","        47","m","         0","m","       306","m","       113","m","   -1.1","m,0330,+","  17.8"," ,m,0124, ","   43.9","m,0720, ","0.0","m,1215","","","","","","","-1.1","m,0330","","","","","","","    1244.9","9","    1244.9","m","     24.7"," ,m","     18.81","m","     28.67","m","      8.95","m"
"MXN00002009","1964","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1591.0","","    1591.0","m","         1","m","         1","m","         0","m","         0","m","        53","m","         0","m","       301","m","       166","m","   -6.1","m,0116,+","   2.8"," ,m,0216, ","   43.9","m,0823,+","0.0","m,1117","-2.2","m,1201","-5.0","m,1215","","","0.0","m,0310","-2.2","m,0309","-4.4","m,0203","","","     879.0","0","     879.0","m","      2.8"," ,m","     19.89","m","     30.15","m","      9.64","m"
"MXN00002009","1965","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1114.0","","    1114.0","m","        18","m","        12","m","         0","m","         0","m","        25","m","         0","m","       244","m","       110","m","   -3.3","m,0217, ","  15.7"," ,m,1216, ","   44.4","m,0703,+","-1.1","m,1127","","","","","","","-1.1","m,0403","-3.3","m,0217","","","","","    1196.4","4","    1196.4","m","    112.1"," ,m","     18.28","m","     26.72","m","      9.84","m"
"MXN00002009","1966","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1340.7","","    1340.7","m","        10","m","         4","m","         0","m","         0","m","        38","m","         0","m","       250","m","       129","m","   -4.4","m,0124,+","   6.9"," ,m,0210,+","   47.8","m,0826, ","0.0","m,1111","-3.3","m,1228","","","","","0.0","m,0305","-2.2","m,0215","-4.4","m,0124","","","     879.0","0","     879.0","m","     32.2"," ,m","     18.95","m","     27.49","m","     10.41","m"
"MXN00002009","1967","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1189.9","","    1189.9","m","         8","m","         6","m","         0","m","         0","m","        24","m","         0","m","       211","m","        91","m","   -7.2","m,1215,+","  16.8"," ,m,0901, ","   45.6","m,0724, ","0.0","m,1204","-6.1","m,1214","-6.1","m,1214","-7.2","m,1215","0.0","m,0429","-2.2","m,0111","-7.2","m,0106","-7.2","m,0106","    1391.9","9","    1391.9","m","     60.6"," ,m","     17.79","m","     24.65","m","     10.93","m"
"MXN00002009","1968","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1216.8","","    1216.8","m","         7","m","         3","m","         0","m","         0","m","        23","m","         0","m","       247","m","       113","m","   -2.2","m,1226, ","  10.9"," ,m,0705, ","   43.9","m,0601, ","0.0","m,1116","-2.2","m,1226","","","","","0.0","m,0105","","","","","","","    1095.6","6","    1095.6","m","     30.8"," ,m","     18.54","m","     26.75","m","     10.34","m"
"MXN00002009","1969","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","        14","m","         7","m","         1","m","","","","","","","","","","","","","  47.5"," ,m,1109, ","","","","","","","","","","","","","","","","","","","    1209.1","1","    1209.1"," ","     89.9"," ,m","","","","","",""
"MXN00002009","1970","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1577.7","","    1577.7","m","        10","m","         6","m","         0","m","         0","m","        10","m","         0","m","       315","m","       153","m","   -3.3","m,0105,+","  16.8"," ,m,1002, ","   47.8","m,0625, ","-1.1","m,1218","","","","","","","-1.1","m,0130","-3.3","m,0105","","","","","","","","","     69.1"," ,m","     20.53","m","     30.58","m","     10.47","m"
