"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002044","1956","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","         8","m","         5","m","         0","m","","","","","         0","m","       303","m","       119","m","","","   6.9"," ,m,0914, ","   42.8","m,0808, ","","","","","","","","","","","","","","","","","     28.5"," ,m","","","     28.45","m","",""
"MXN00002044","1957","28.7333","-113.75","444.7","SAN BORJA, MX","   1043.1","","    1043.1","m","        14","m","         7","m","         2","m","         0","m","         0","m","         0","m","       299","m","        87","m","    0.6","m,0922, ","  34.8"," ,m,0319, ","   40.0","m,0729,+","","","","","","","","","","","","","     416.0","0","     416.0","m","     87.3"," ,m","     20.05","m","     27.08","m","     13.01","m"
"MXN00002044","1958","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","        15","m","        11","m","         2","m","","","","","         0","m","       322","m","       101","m","","","  30.0"," ,m,0729, ","   45.0","m,0708, ","","","","","","","","","","","","","","","","","    131.5"," ,m","","","     28.41","m","",""
"MXN00002044","1959","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","        14","m","        10","m","         2","m","","","","","         0","m","       313","m","       104","m","","","  46.0"," ,m,0910, ","   43.9","m,0618, ","","","","","","","","","","","","","     410.7","7","     410.7"," ","    154.5"," ,m","","","     28.05","m","",""
"MXN00002044","1960","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","        12","m","         7","m","         0","m","","","","","","","","","","","","","  23.9"," ,m,0110, ","","","","","","","","","","","","","","","","","","","     87.3"," ,m","","","","","",""
"MXN00002044","1961","28.7333","-113.75","444.7","SAN BORJA, MX","    980.5","","     980.5","m","        14","m","        10","m","         1","m","         0","m","         0","m","         0","m","       322","m","       106","m","    1.7","m,1104, ","  32.8"," ,m,1216, ","   40.6","m,0927,+","","","","","","","","","","","","","","","","","    124.4"," ,m","     19.80","m","     28.65","m","     10.96","m"
"MXN00002044","1962","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     727.3","3","     727.3"," ","","","","","","","",""
"MXN00002044","1965","28.7333","-113.75","444.7","SAN BORJA, MX","   1111.9","","    1111.9","m","        26","m","        13","m","         1","m","         0","m","         0","m","         0","m","       279","m","        88","m","    3.9","m,1224, ","  67.6"," ,m,1221, ","   38.9","m,0828,+","","","","","","","","","","","","","","","","","    219.2"," ,m","     20.13","m","     26.53","m","     13.72","m"
"MXN00002044","1966","28.7333","-113.75","444.7","SAN BORJA, MX","   1037.6","","    1037.6","m","        22","m","        16","m","         2","m","         0","m","         4","m","         0","m","       293","m","        75","m","   -5.0","m,1231,+","  39.9"," ,m,0912, ","   40.0","m,0908,+","-3.3","m,1227","-3.3","m,1227","-5.0","m,1229","","","","","","","     586.8","8","     586.8","m","    197.5"," ,m","     19.53","m","     26.89","m","     12.17","m"
"MXN00002044","1967","28.7333","-113.75","444.7","SAN BORJA, MX","   1067.8","","    1067.8","m","        26","m","        11","m","         3","m","         0","m","         0","m","         0","m","       295","m","        87","m","    2.8","m,1216,+","  52.8"," ,m,1214, ","   40.6","m,0827, ","","","","","","","","","","","","","     519.6","6","     519.6","m","    224.2"," ,m","     19.66","m","     27.03","m","     12.30","m"
