"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00007099","1947","16.0333","-92.0833","719.9","ZAPALUTA, MX","    557.4","","     557.4","m","       130","m","        85","m","         3","m","         0","m","         0","m","         0","m","       340","m","         2","m","    2.2","m,0217, ","  35.8"," ,m,0527, ","   38.3","m,0522, ","","","","","    965.9"," ,m","     19.48","m","     25.63","m","     13.34","m"
"MXN00007099","1948","16.0333","-92.0833","719.9","ZAPALUTA, MX","    239.2","","     239.2","m","       133","m","        91","m","         1","m","         0","m","         0","m","         0","m","       312","m","         0","m","    3.9","m,0114, ","  28.4"," ,m,0719, ","   31.1","m,0413,+","     236.8","8","     236.8","m","   1057.1"," ,m","     18.19","m","     24.16","m","     12.21","m"
"MXN00007099","1949","16.0333","-92.0833","719.9","ZAPALUTA, MX","    451.2","","     451.2","m","        90","m","        57","m","         1","m","         0","m","         0","m","         0","m","       320","m","         2","m","    6.1","m,1119, ","  30.0"," ,m,0212, ","   37.2","m,0819, ","     275.8","8","     275.8","m","    759.1"," ,m","     18.91","m","     25.58","m","     12.23","m"
"MXN00007099","1950","16.0333","-92.0833","719.9","ZAPALUTA, MX","    355.5","","     355.5","m","        86","m","        52","m","         4","m","         0","m","         0","m","         0","m","       340","m","         1","m","    5.0","m,0306, ","  35.3"," ,m,1007, ","   32.2","m,0306, ","     192.4","4","     192.4","m","    637.5"," ,m","     18.85","m","     26.07","m","     11.64","m"
"MXN00007099","1952","16.0333","-92.0833","719.9","ZAPALUTA, MX","    712.9","","     712.9","m","       117","m","        88","m","        10","m","         0","m","         0","m","         0","m","       362","m","        18","m","    5.6","m,0301, ","  65.3"," ,m,0811, ","   33.9","m,0429,+","      40.1","1","      40.1","m","   1104.9"," ,m","     20.00","m","     27.14","m","     12.86","m"
"MXN00007099","1953","16.0333","-92.0833","719.9","ZAPALUTA, MX","    810.1","","     810.1","m","        81","m","        70","m","         6","m","         0","m","         0","m","         0","m","       363","m","         4","m","    6.1","m,0201,+","  49.3"," ,m,0913, ","   32.8","m,0410, ","      90.9","9","      90.9","m","    835.7"," ,m","     20.46","m","     28.09","m","     12.84","m"
"MXN00007099","1954","16.0333","-92.0833","719.9","ZAPALUTA, MX","    577.5","","     577.5","m","        90","m","        76","m","        11","m","         0","m","         0","m","         0","m","       365","m","         0","m","    8.3","m,0310,+","  88.4"," ,m,0908, ","   31.7","m,0331,+","      25.4","4","      25.4","m","   1190.1"," ,m","     19.82","m","     27.14","m","     12.51","m"
"MXN00007099","1955","16.0333","-92.0833","719.9","ZAPALUTA, MX","    689.9","","     689.9","m","        84","m","        70","m","        11","m","         0","m","         0","m","         0","m","       361","m","         1","m","    8.3","m,0221,+","  63.0"," ,m,0704, ","   32.2","m,0520, ","      50.8","8","      50.8","m","   1039.5"," ,m","     20.11","m","     27.56","m","     12.65","m"
"MXN00007099","1956","16.0333","-92.0833","719.9","ZAPALUTA, MX","    594.8","","     594.8","m","        90","m","        68","m","         7","m","         0","m","         0","m","         0","m","       351","m","         0","m","    5.0","m,0117,+","  93.5"," ,m,0923, ","   31.1","m,0506,+","      91.1","1","      91.1","m","    952.6"," ,m","     19.65","m","     27.06","m","     12.25","m"
"MXN00007099","1957","16.0333","-92.0833","719.9","ZAPALUTA, MX","    868.4","","     868.4","m","       103","m","        71","m","         9","m","         0","m","         0","m","         0","m","       356","m","        26","m","    2.2","m,1212, ","  63.8"," ,m,0926, ","   35.0","m,0417, ","      45.6","6","      45.6","m","    902.6"," ,m","     20.50","m","     27.58","m","     13.42","m"
