"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00008273","1936","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    624.9","","     624.9","m","        22","m","        13","m","         0","m","         0","m","         5","m","         0","m","       266","m","        16","m","   -3.3","m,0119, ","   6.9"," ,m,1124,+","   35.6","m,0606,+","-2.2","m,1207","-2.2","m,1207","","","","","","","0.0","m,0121","-2.2","m,0120","","","","","","","","","","","     69.2"," ,m","     17.72","m","     24.48","m","     10.96","m"
"MXN00008273","1937","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     771.6","6","     771.6","m","","","","","","","",""
"MXN00008273","1939","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    603.7","","     603.7","m","        68","m","        53","m","         5","m","         0","m","        11","m","         0","m","       251","m","        10","m","   -4.4","m,0203, ","  47.8"," ,m,0813, ","   36.1","m,0613, ","-2.2","m,1229","-2.2","m,1229","","","","","","","-1.1","m,0407","-4.4","m,0203","-4.4","m,0203","","","","","     841.2","2","     841.2","m","    667.2"," ,m","     17.08","m","     23.67","m","     10.49","m"
"MXN00008273","1940","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    519.4","","     519.4","m","        55","m","        36","m","         4","m","         0","m","        10","m","         0","m","       256","m","         3","m","   -5.0","m,0120,+","  39.9"," ,m,0622, ","   33.3","m,0602,+","-1.7","m,1124","","","","","","","","","-2.2","m,0217","-2.2","m,0217","-5.0","m,0120","","","","","    1129.1","1","    1129.1","m","    396.2"," ,m","     16.97","m","     23.41","m","     10.52","m"
"MXN00008273","1941","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    437.5","","     437.5","m","        83","m","        62","m","        10","m","         0","m","         8","m","         0","m","       267","m","        10","m","   -3.3","m,0119, ","  98.8"," ,m,0828, ","   34.4","m,0509, ","0.0","m,1223","","","","","","","","","0.0","m,0308","-3.3","m,0119","","","","","","","     950.0","0","     950.0","m","    868.5"," ,m","     16.97","m","     23.44","m","     10.50","m"
"MXN00008273","1942","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    543.7","","     543.7","m","        58","m","        43","m","         5","m","         0","m","        22","m","         0","m","       267","m","        18","m","   -4.4","m,1229, ","  59.9"," ,m,0815, ","   38.3","m,0622, ","0.0","m,1122","-3.3","m,1228","-4.4","m,1229","","","","","-0.6","m,0309","","","","","","","","","     998.1","1","     998.1","m","    621.5"," ,m","     17.03","m","     24.08","m","      9.98","m"
"MXN00008273","1943","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    517.3","","     517.3","m","        66","m","        42","m","         7","m","         0","m","        21","m","         0","m","       257","m","        15","m","   -3.3","m,1228,+","  63.0"," ,m,0923, ","   33.3","m,0524, ","0.0","m,1109","-2.2","m,1128","","","","","","","0.0","m,0213","","","","","","","","","     899.2","2","     899.2","m","    631.3"," ,m","     16.72","m","     23.77","m","      9.67","m"
"MXN00008273","1944","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","","","","","        51","m","        39","m","         5","m","","","","","         0","m","       253","m","        29","m","",""," 103.9"," ,m,0908, ","   37.8","m,0729,+","","","","","","","","","","","","","","","","","","","","","","","","","    593.0"," ,m","","","     24.08","m","",""
"MXN00008273","1945","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    553.4","","     553.4","m","        49","m","        34","m","         5","m","         0","m","        31","m","         0","m","       269","m","        28","m","   -4.4","m,1205, ","  99.8"," ,m,1001, ","   36.7","m,0623, ","0.0","m,1203","-3.3","m,1204","-4.4","m,1205","","","","","0.0","m,0405","-3.3","m,0223","","","","","","","    1219.7","7","    1219.7","m","    516.0"," ,m","     16.84","m","     24.70","m","      8.98","m"
"MXN00008273","1946","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    461.4","","     461.4","m","        72","m","        34","m","         5","m","         0","m","        36","m","         0","m","       248","m","        12","m","   -7.2","m,0123,+","  59.9"," ,m,0928, ","   35.6","m,0615, ","0.0","m,1106","-2.2","m,1211","","","","","","","-1.7","m,0306","-3.3","m,0215","-4.4","m,0214","-7.2","m,0123","","","    1176.2","2","    1176.2","m","    493.6"," ,m","     16.14","m","     23.37","m","      8.91","m"
"MXN00008273","1947","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    442.1","","     442.1","m","        62","m","        39","m","         1","m","         0","m","        40","m","         4","m","       240","m","        22","m","  -10.6","m,0101, ","  31.8"," ,m,0825, ","   38.9","m,0608, ","0.0","m,1107","-2.2","m,1111","-6.7","m,1213","-6.7","m,1213","","","-2.2","m,0415","-2.2","m,0415","-8.3","m,0106","-8.3","m,0106","-8.9","m,0105","    1191.6","6","    1191.6","m","    452.3"," ,m","     15.70","m","     23.10","m","      8.30","m"
"MXN00008273","1948","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    599.4","","     599.4","m","        59","m","        36","m","         7","m","         0","m","        31","m","         0","m","       245","m","         5","m","  -14.4","m,0130,+","  42.4"," ,m,0909, ","   36.7","m,0731,+","0.0","m,1110","-2.2","m,1113","","","","","","","-1.1","m,0323","-8.3","m,0214","-8.3","m,0214","-8.3","m,0214","-14.4","m,0130","    1299.3","3","    1299.3","m","    482.5"," ,m","     16.98","m","     22.77","m","     11.19","m"
"MXN00008273","1949","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    543.9","","     543.9","m","        57","m","        45","m","         8","m","         0","m","        18","m","         0","m","       256","m","        23","m","  -14.4","m,0130, ","  93.0"," ,m,0904, ","   38.9","m,0909,+","-3.3","m,1216","-3.3","m,1216","-4.4","m,1223","","","","","-1.1","m,0406","-4.4","m,0131","-4.4","m,0131","-14.4","m,0130","-14.4","m,0130","    1017.6","6","    1017.6","m","    764.1"," ,m","     16.94","m","     24.25","m","      9.63","m"
"MXN00008273","1950","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    553.4","","     553.4","m","        40","m","        25","m","         4","m","         0","m","         4","m","         0","m","       305","m","         9","m","   -1.1","m,1111,+","  47.0"," ,m,0826, ","   33.9","m,0722,+","-1.1","m,1111","","","","","","","","","-1.1","m,0107","","","","","","","","","     776.3","3","     776.3","m","    410.5"," ,m","     18.22","m","     25.55","m","     10.89","m"
"MXN00008273","1951","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    715.3","","     715.3","m","        36","m","        31","m","         5","m","         0","m","        20","m","         0","m","       270","m","        40","m","   -9.4","m,0215, ","  39.4"," ,m,0702, ","   36.7","m,0622,+","0.0","m,1117","","","","","","","","","-1.1","m,0329","-2.2","m,0313","-9.4","m,0215","-9.4","m,0215","-9.4","m,0215","     842.3","3","     842.3","m","    430.6"," ,m","     17.70","m","     25.05","m","     10.34","m"
"MXN00008273","1952","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    484.3","","     484.3","m","        30","m","        25","m","         5","m","         0","m","        15","m","         0","m","       275","m","         8","m","   -3.3","m,1225,+","  49.8"," ,m,0612, ","   36.7","m,0505, ","0.0","m,1110","-3.3","m,1224","","","","","","","0.0","m,0129","","","","","","","","","     881.2","2","     881.2","m","    357.1"," ,m","     16.85","m","     24.52","m","      9.18","m"
"MXN00008273","1976","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    295.3","","     295.3","m","        59","m","        43","m","         1","m","         0","m","        68","m","         0","m","       255","m","        12","m","   -9.4","m,0108, ","  34.3"," ,m,0704, ","   35.0","m,0623,+","-3.3","m,1009","-3.3","m,1009","-6.1","m,1130","-7.2","m,1203","","","0.0","m,0418","-5.0","m,0331","-5.0","m,0331","-9.4","m,0108","-9.4","m,0108","    1367.5","5","    1367.5","m","    451.9"," ,m","     15.09","m","     23.48","m","      6.70","m"
"MXN00008273","1977","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    455.0","","     455.0","m","        40","m","        34","m","         1","m","         0","m","        78","m","         0","m","       289","m","        16","m","   -7.2","m,0307,+","  34.0"," ,m,0906, ","   33.9","m,0619, ","0.0","m,1104","-2.2","m,1110","-5.0","m,1130","","","","","-1.1","m,0406","-5.0","m,0405","-5.0","m,0405","-7.2","m,0307","","","    1618.8","8","    1618.8","m","    323.9"," ,m","     15.98","m","     25.10","m","      6.86","m"
"MXN00008273","1978","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    454.8","","     454.8","m","        54","m","        45","m","         8","m","         0","m","        79","m","         0","m","       253","m","        30","m","  -12.2","m,1209, ","  74.4"," ,m,0831, ","   35.6","m,0625, ","-1.1","m,1107","-2.2","m,1117","-4.4","m,1129","-12.2","m,1209","-12.2","m,1209","0.0","m,0412","-3.3","m,0318","-4.4","m,0314","-9.4","m,0220","-9.4","m,0220","    1222.0","0","    1222.0","m","    714.2"," ,m","     15.70","m","     24.42","m","      6.98","m"
"MXN00008273","1979","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    315.1","","     315.1","m","        35","m","        34","m","         5","m","         0","m","        85","m","         0","m","       263","m","        12","m","   -8.3","m,0103, ","  58.4"," ,m,0831, ","   35.0","m,0712,+","-3.3","m,1031","-3.3","m,1031","-4.4","m,1113","-7.2","m,1122","","","-1.1","m,0405","-2.2","m,0404","-4.4","m,0210","-7.2","m,0121","","","    1436.5","5","    1436.5","m","    451.9"," ,m","     15.12","m","     24.16","m","      6.09","m"
"MXN00008273","1980","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    548.0","","     548.0","m","        39","m","        32","m","         6","m","         0","m","        75","m","         0","m","       261","m","        46","m","   -7.2","m,0210, ","  78.5"," ,m,0927, ","   36.7","m,0605,+","0.0","m,1105","-4.4","m,1117","-4.4","m,1117","","","","","-2.2","m,0415","-2.2","m,0415","-6.1","m,0414","-7.2","m,0210","","","    1382.4","4","    1382.4","m","    514.7"," ,m","     15.78","m","     24.49","m","      7.06","m"
"MXN00008273","1981","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    331.0","","     331.0","m","        59","m","        54","m","         8","m","         0","m","        88","m","         0","m","       246","m","        15","m","   -6.1","m,1225,+","  63.5"," ,m,0728, ","   35.6","m,0613, ","-1.1","m,1101","-2.2","m,1110","-4.4","m,1215","","","","","0.0","m,0425","-3.3","m,0308","-4.4","m,0203","","","","","    1630.2","2","    1630.2","m","    782.9"," ,m","     15.09","m","     23.53","m","      6.64","m"
"MXN00008273","1982","26.9","-105.6167","1835.8","PARRAL A. EL HORMIGUERO, MX","    564.5","","     564.5","m","        20","m","        18","m","         1","m","         0","m","        79","m","         0","m","       283","m","        32","m","   -8.3","m,1227, ","  30.5"," ,m,0809, ","   36.7","m,0605,+","-6.1","m,1104","-6.1","m,1104","-6.1","m,1104","-7.2","m,1204","","","-2.2","m,0309","-2.2","m,0309","-4.4","m,0308","-7.2","m,0114","","","    1242.2","2","    1242.2","m","    163.4"," ,m","     16.47","m","     25.74","m","      7.21","m"
