"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00019073","1925","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    256.9","","     256.9","m","        67","m","        47","m","         1","m","         0","m","        15","m","         0","m","       263","m","         2","m","   -5.0","m,1204, ","  46.0"," ,m,0613, ","   32.8","m,0729,+","-5.0","m,1204","-5.0","m,1204","-5.0","m,1204","-1.1","m,0127","-2.8","m,0119","-4.4","m,0118","","","","","","","    497.0"," ,m","     16.25","m","     23.08","m","      9.41","m"
"MXN00019073","1927","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    476.6","","     476.6","m","        44","m","        33","m","         4","m","         0","m","        16","m","         0","m","       315","m","        26","m","   -5.0","m,0115, ","  50.3"," ,m,0623, ","   37.8","m,0507, ","0.0","m,1116","-2.2","m,1218","","","0.0","m,0313","-3.9","m,0116","-5.0","m,0115","","","","","","","    451.5"," ,m","     17.87","m","     26.29","m","      9.45","m"
"MXN00019073","1928","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    539.2","","     539.2","m","        45","m","        39","m","         3","m","         0","m","        28","m","         0","m","       306","m","        42","m","   -7.2","m,0101, ","  49.8"," ,m,0915, ","   36.1","m,0617, ","-1.7","m,1207","-3.3","m,1222","","","-0.6","m,0318","-2.2","m,0317","-4.4","m,0102","-7.2","m,0101","     703.2","2","     703.2","m","    440.2"," ,m","     17.72","m","     26.50","m","      8.95","m"
"MXN00019073","1929","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    554.8","","     554.8","m","        40","m","        27","m","         5","m","         0","m","        24","m","         0","m","       332","m","        53","m","   -6.1","m,0210, ","  61.0"," ,m,0916, ","   38.3","m,0818, ","-2.2","m,1113","-2.2","m,1113","-5.0","m,1218","-1.1","m,0305","-2.2","m,0304","-6.1","m,0210","","","     597.2","2","     597.2","m","    445.4"," ,m","     18.08","m","     27.32","m","      8.84","m"
"MXN00019073","1930","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    560.8","","     560.8","m","        47","m","        33","m","         6","m","         0","m","        20","m","         0","m","       312","m","        45","m","   -4.4","m,0205, ","  49.8"," ,m,1011, ","   36.7","m,0603, ","0.0","m,1215","-2.2","m,1222","","","-3.3","m,0329","-3.3","m,0329","-4.4","m,0205","","","     701.7","7","     701.7","m","    509.0"," ,m","     17.93","m","     26.62","m","      9.24","m"
"MXN00019073","1931","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    406.5","","     406.5","m","        54","m","        38","m","         3","m","         0","m","        16","m","         0","m","       312","m","        13","m","   -4.4","m,0105,+","  39.9"," ,m,0223,+","   35.0","m,1110, ","-2.2","m,1217","-2.2","m,1217","","","-1.1","m,0303","-3.3","m,0302","-4.4","m,0105","","","     926.0","0","     926.0","m","    502.4"," ,m","     17.39","m","     25.97","m","      8.81","m"
"MXN00019073","1932","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    671.2","","     671.2","m","        37","m","        27","m","         3","m","         0","m","        32","m","         0","m","       343","m","        73","m","   -5.0","m,1128,+","  34.8"," ,m,0902, ","   36.1","m,0615, ","0.0","m,1112","-2.2","m,1118","-5.0","m,1128","-1.1","m,0401","-3.3","m,0313","-5.0","m,0312","","","     455.5","5","     455.5","m","    340.5"," ,m","     18.65","m","     28.26","m","      9.05","m"
"MXN00019073","1945","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    960.0","","     960.0","m","        32","m","        26","m","         1","m","         0","m","         0","m","         0","m","       335","m","        98","m","    0.6","m,1204,+","  30.0"," ,m,0628, ","   37.8","m,0601, ","","","","","","","","","","","","","","","","","","","    310.6"," ,m","     20.11","m","     29.08","m","     11.13","m"
"MXN00019073","1946","24.8167","-100.0667","1608.7","GALEANA SMN, MX","   1016.7","","    1016.7","m","        40","m","        39","m","         1","m","         0","m","         3","m","         0","m","       335","m","        87","m","   -2.2","m,0214, ","  42.9"," ,m,0919, ","   41.7","m,0618,+","","","","","","","0.0","m,0228","-2.2","m,0214","","","","","     365.7","7","     365.7","m","    456.9"," ,m","     20.17","m","     29.03","m","     11.31","m"
"MXN00019073","1947","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    821.8","","     821.8","m","","","","","","","         0","m","         2","m","         0","m","       330","m","        54","m","   -0.6","m,0103,+","","","   36.7","m,0919,+","","","","","","","-0.6","m,0103","","","","","","","     383.9","9","     383.9","m","","","     19.27","m","     27.58","m","     10.96","m"
