"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00020013","1966","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    768.7","","     768.7","m","        69","m","        63","m","        11","m","         0","m","         0","m","         0","m","       358","m","        15","m","    1.7","m,1212,+","  66.8"," ,m,0703, ","   33.9","m,1109,+","","","     105.8","8","     105.8","m","    974.0"," ,m","     19.95","m","     27.07","m","     12.84","m"
"MXN00020013","1967","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    617.8","","     617.8","m","        64","m","        55","m","        10","m","         0","m","         0","m","         0","m","       360","m","         8","m","    0.6","m,0107,+","  45.0"," ,m,0924, ","   33.9","m,0511,+","","","     185.4","4","     185.4","m","    878.1"," ,m","     19.70","m","     27.05","m","     12.35","m"
"MXN00020013","1968","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    648.3","","     648.3","m","        61","m","        51","m","         6","m","         0","m","         0","m","         0","m","       365","m","         4","m","    2.8","m,0209, ","  62.0"," ,m,0628, ","   32.8","m,0423,+","","","     123.8","8","     123.8","m","    683.1"," ,m","     19.78","m","     27.11","m","     12.46","m"
"MXN00020013","1969","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      78.2","2","      78.2","m","","","","","","","",""
"MXN00020013","1970","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    781.2","","     781.2","m","        47","m","        47","m","        13","m","         0","m","         0","m","         0","m","       363","m","        38","m","    2.8","m,1124,+","  90.9"," ,m,0612, ","   33.9","m,0608,+","","","","","","","    953.0"," ,m","     20.11","m","     28.49","m","     11.73","m"
"MXN00020013","1972","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     115.4","4","     115.4","m","","","","","","","",""
"MXN00020013","1973","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","","","","","        65","m","        61","m","        17","m","","","","","","","","","","","","","  64.8"," ,m,0811, ","","","","","","","","","   1242.4"," ,m","","","","","",""
"MXN00020013","1974","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     154.2","2","     154.2","m","","","","","","","",""
"MXN00020013","1975","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    574.2","","     574.2","m","        58","m","        57","m","        10","m","         0","m","         0","m","         0","m","       364","m","        21","m","    1.7","m,0116,+","  40.4"," ,m,0909,+","   33.9","m,0512,+","","","","","","","   1008.9"," ,m","     19.37","m","     26.80","m","     11.93","m"
"MXN00020013","1976","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    719.7","","     719.7","m","        56","m","        53","m","         7","m","         0","m","         0","m","         0","m","       361","m","         7","m","    0.6","m,0226,+","  40.4"," ,m,0928,+","   32.8","m,0524,+","","","     325.6","6","     325.6","m","    775.2"," ,m","     19.64","m","     27.09","m","     12.20","m"
"MXN00020013","1977","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    701.1","","     701.1","m","        60","m","        51","m","         9","m","         0","m","         0","m","         0","m","       365","m","         2","m","    5.0","m,1221,+","  43.4"," ,m,0830, ","   32.8","m,0319,+","","","      59.8","8","      59.8","m","    811.9"," ,m","     20.10","m","     27.08","m","     13.12","m"
"MXN00020013","1978","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    692.7","","     692.7","m","        49","m","        48","m","         6","m","         0","m","         0","m","         0","m","       361","m","         8","m","    5.0","m,0207,+","  40.4"," ,m,1126, ","   35.0","m,0325, ","","","      93.8","8","      93.8","m","    669.4"," ,m","     19.97","m","     26.69","m","     13.25","m"
"MXN00020013","1979","16.95","-95.7","1371.9","SAN LUCAS CAMOTLAN, MX","    652.3","","     652.3","m","        67","m","        54","m","         5","m","         0","m","         0","m","         0","m","       344","m","         4","m","    3.9","m,0104,+","  35.3"," ,m,0712, ","   32.8","m,0523,+","","","     102.7","7","     102.7","m","    758.3"," ,m","     19.53","m","     26.12","m","     12.95","m"
