"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00020040","1956","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     87.6","","      87.6","m","       112","m","        64","m","         4","m","         0","m","         5","m","         0","m","       254","m","         0","m","   -3.3","m,0113, ","  51.3"," ,m,0423, ","   30.6","m,0413,+","","","","","-1.1","m,0114","-3.3","m,0113","","","     798.1","1","     798.1","m","    734.0"," ,m","     16.42","m","     22.72","m","     10.12","m"
"MXN00020040","1957","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    266.2","","     266.2","m","        87","m","        45","m","         3","m","         0","m","         1","m","         0","m","       307","m","         0","m","    0.0","m,1210, ","  43.4"," ,m,0825, ","   31.7","m,0330, ","0.0","m,1210","","","","","","","","","     627.3","3","     627.3","m","    536.3"," ,m","     17.75","m","     24.48","m","     11.02","m"
"MXN00020040","1958","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    286.0","","     286.0","m","       122","m","        93","m","         3","m","         0","m","         0","m","         0","m","       299","m","         0","m","    1.7","m,0201, ","  91.4"," ,m,0801, ","   31.7","m,0408,+","","","","","","","","","","","     482.7","7","     482.7","m","    977.0"," ,m","     17.83","m","     24.33","m","     11.33","m"
"MXN00020040","1959","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     85.6","","      85.6","m","        96","m","        68","m","         7","m","         0","m","         0","m","         0","m","       263","m","         0","m","    0.6","m,1130, ","  56.4"," ,m,0421, ","   30.6","m,0610, ","","","","","","","","","","","     563.9","9","     563.9","m","    810.1"," ,m","     16.36","m","     23.27","m","      9.45","m"
"MXN00020040","1960","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     56.1","","      56.1","m","       109","m","        87","m","         2","m","         0","m","         1","m","         0","m","       241","m","         0","m","   -1.1","m,0214, ","  36.8"," ,m,0913, ","   30.0","m,0629,+","","","","","-1.1","m,0214","","","","","    1063.1","1","    1063.1","m","    932.0"," ,m","     15.92","m","     22.76","m","      9.08","m"
"MXN00020040","1961","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     45.0","","      45.0","m","        87","m","        60","m","         5","m","         0","m","         7","m","         0","m","       268","m","         0","m","   -5.0","m,0214,+","  42.4"," ,m,0614, ","   30.6","m,0608,+","-2.2","m,1125","-2.2","m,1125","-5.0","m,0214","-5.0","m,0214","-5.0","m,0214","     834.5","5","     834.5","m","    718.3"," ,m","     15.79","m","     23.41","m","      8.18","m"
"MXN00020040","1963","17.2667","-96.5333","1925.7","IXTEPEJI, MX","","","","","       102","m","        66","m","         6","m","","","","","","","","","","","","","  43.4"," ,m,0723, ","","","","","","","","","","","","","     642.5","5","     642.5","m","    824.2"," ,m","","","","","",""
"MXN00020040","1964","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    267.9","","     267.9","m","        97","m","        63","m","         2","m","         0","m","         1","m","         0","m","       331","m","        29","m","   -1.1","m,0101, ","  35.8"," ,m,0803, ","   35.6","m,0501,+","","","","","-1.1","m,0101","","","","","","","","","    593.2"," ,m","     17.88","m","     26.49","m","      9.27","m"
"MXN00020040","1965","17.2667","-96.5333","1925.7","IXTEPEJI, MX","","","","","        90","m","        58","m","         1","m","","","","","","","","","","","","","  33.8"," ,m,0619, ","","","","","","","","","","","","","","","","","    558.6"," ,m","","","","","",""
"MXN00020040","1966","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    393.2","","     393.2","m","       110","m","        76","m","         7","m","         0","m","         9","m","         0","m","       338","m","        25","m","   -3.3","m,1201,+","  52.8"," ,m,1001, ","   36.7","m,0526,+","-2.2","m,1103","-2.2","m,1103","-3.3","m,0131","-3.3","m,0131","","","     404.8","8","     404.8","m","    801.9"," ,m","     18.04","m","     26.40","m","      9.68","m"
"MXN00020040","1967","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    233.0","","     233.0","m","       112","m","        62","m","         5","m","         0","m","         8","m","         0","m","       341","m","        12","m","   -2.2","m,1127,+","  66.3"," ,m,0618, ","   33.9","m,0512,+","-1.1","m,1118","-2.2","m,1126","-1.1","m,0216","-2.2","m,0214","","","     531.8","8","     531.8","m","    720.6"," ,m","     17.76","m","     26.18","m","      9.34","m"
"MXN00020040","1968","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    243.9","","     243.9","m","       117","m","        62","m","         3","m","         0","m","         4","m","         0","m","       328","m","         8","m","   -3.3","m,0208, ","  47.0"," ,m,0619, ","   33.9","m,0423, ","","","","","0.0","m,0316","-2.2","m,0210","","","     492.4","4","     492.4","m","    637.5"," ,m","     17.70","m","     25.84","m","      9.56","m"
"MXN00020040","1969","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    425.6","","     425.6","m","       119","m","        79","m","        10","m","         0","m","         0","m","         0","m","       308","m","        31","m","    0.6","m,0107, ","  51.8"," ,m,0702, ","   35.6","m,0507, ","","","","","","","","","","","     418.4","4","     418.4","m","   1154.6"," ,m","     18.26","m","     25.82","m","     10.70","m"
