"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00021011","1961","19.9167","-97.4","787.9","TETELILLA CFE, MX","    589.9","","     589.9","m","       192","m","       143","m","        40","m","         0","m","         0","m","         0","m","       214","m","         2","m","    5.6","m,0120, "," 161.3"," ,m,0915, ","   33.9","m,0415, ","","","","","     463.0","0","     463.0","m","   3215.3"," ,m","     18.52","m","     22.05","m","     14.99","m"
"MXN00021011","1962","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       182","m","       121","m","        29","m","         0","m","         2","m","         0","m","       243","m","         0","m","   -1.1","m,0112, "," 103.4"," ,m,0730, ","   31.1","m,0430, ","","","-1.1","m,0112","","","","","   2506.3"," ,m","     19.09","m","     22.96","m","     15.21","m"
"MXN00021011","1963","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       183","m","       133","m","        30","m","         0","m","         0","m","         0","m","       271","m","        12","m","    3.9","m,1224,+"," 135.4"," ,m,0925, ","   35.0","m,0411, ","","","","","","","","","   2719.7"," ,m","     19.73","m","     24.13","m","     15.33","m"
"MXN00021011","1964","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       196","m","       141","m","        44","m","         0","m","         0","m","         0","m","       281","m","        11","m","    3.9","m,0114, "," 109.0"," ,m,0924,+","   37.2","m,0501, ","","","","","","","","","   3333.8"," ,m","     19.78","m","     24.37","m","     15.19","m"
"MXN00021011","1965","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       193","m","       147","m","        54","m","         0","m","         0","m","         0","m","       278","m","         3","m","    5.0","m,0119,+"," 154.9"," ,m,0628, ","   33.3","m,0412, ","","","","","","","","","   3809.7"," ,m","     19.57","m","     24.14","m","     15.00","m"
"MXN00021011","1966","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       186","m","       151","m","        53","m","         0","m","         0","m","         0","m","       262","m","         0","m","    4.4","m,0123, "," 170.7"," ,m,0920, ","   31.7","m,0420, ","","","","","","","","","   4054.2"," ,m","     19.05","m","     23.57","m","     14.54","m"
"MXN00021011","1967","19.9167","-97.4","787.9","TETELILLA CFE, MX","    862.9","","     862.9","m","       186","m","       137","m","        41","m","         0","m","         0","m","         0","m","       294","m","        15","m","    1.7","m,0111,+"," 171.2"," ,m,0927, ","   37.8","m,0530, ","","","","","","","","","   3103.7"," ,m","     19.69","m","     24.62","m","     14.76","m"
"MXN00021011","1968","19.9167","-97.4","787.9","TETELILLA CFE, MX","    790.2","","     790.2","m","       202","m","       148","m","        48","m","         0","m","         0","m","         0","m","       267","m","         3","m","    5.0","m,0324,+"," 103.9"," ,m,0802, ","   33.3","m,0404, ","","","","","     420.3","3","     420.3","m","   3635.9"," ,m","     19.24","m","     23.80","m","     14.69","m"
"MXN00021011","1969","19.9167","-97.4","787.9","TETELILLA CFE, MX","","","","","       187","m","       145","m","        47","m","         0","m","         0","m","         0","m","       269","m","         4","m","    4.4","m,0105, "," 215.4"," ,m,0906, ","   35.0","m,0625,+","","","","","","","","","   4091.2"," ,m","     19.65","m","     23.93","m","     15.36","m"
"MXN00021011","1974","19.9167","-97.4","787.9","TETELILLA CFE, MX","    761.3","","     761.3","m","       185","m","       143","m","        46","m","         0","m","         0","m","         0","m","       266","m","        15","m","    5.0","m,0209, "," 279.7"," ,m,0920, ","   36.7","m,0608, ","","","","","","","","","   3588.6"," ,m","     19.58","m","     23.91","m","     15.26","m"
