"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00026011","1961","29.7167","-110.15","577.9","BABIACORA, MX","   1850.2","","    1850.2","m","        36","m","        25","m","         0","m","         0","m","         0","m","         0","m","       314","m","       132","m","    4.4","m,1115, ","  20.3"," ,m,1010,+","   40.0","m,0624,+","","","","","","","","","","","    313.5"," ,m","     22.17","m","     28.33","m","     15.99","m"
"MXN00026011","1962","29.7167","-110.15","577.9","BABIACORA, MX","   2071.5","","    2071.5","m","        38","m","        23","m","         2","m","         0","m","         3","m","         0","m","       302","m","       152","m","    0.0","m,0113,+","  36.8"," ,m,1218, ","   40.6","m,0624, ","","","","","0.0","m,0113","     559.1","1","     559.1","m","    269.4"," ,m","     22.71","m","     29.06","m","     16.36","m"
"MXN00026011","1963","29.7167","-110.15","577.9","BABIACORA, MX","   2304.7","","    2304.7","m","        39","m","        25","m","         2","m","         0","m","         0","m","         0","m","       306","m","       184","m","    1.7","m,0122, ","  30.2"," ,m,0813, ","   44.4","m,0625, ","","","","","","","     412.5","5","     412.5","m","    299.5"," ,m","     23.45","m","     30.53","m","     16.37","m"
"MXN00026011","1964","29.7167","-110.15","577.9","BABIACORA, MX","   1912.1","","    1912.1","m","        46","m","        29","m","         5","m","         0","m","         0","m","         0","m","       320","m","       145","m","    1.1","m,0112,+","  41.9"," ,m,0814, ","   43.9","m,0807, ","","","","","","","     563.2","2","     563.2","m","    465.2"," ,m","     21.90","m","     29.26","m","     14.55","m"
"MXN00026011","1965","29.7167","-110.15","577.9","BABIACORA, MX","   1825.4","","    1825.4","m","        46","m","        36","m","         2","m","         0","m","         0","m","         0","m","       321","m","       153","m","    1.7","m,0213,+","  31.0"," ,m,0207, ","   42.2","m,0626,+","","","","","","","     520.1","1","     520.1","m","    399.7"," ,m","     22.10","m","     29.03","m","     15.17","m"
"MXN00026011","1966","29.7167","-110.15","577.9","BABIACORA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     537.1","1","     537.1","m","","","","","","","",""
"MXN00026011","1967","29.7167","-110.15","577.9","BABIACORA, MX","   1766.8","","    1766.8","m","        44","m","        36","m","         3","m","         0","m","         0","m","         0","m","       292","m","       107","m","    1.1","m,0102, ","  74.9"," ,m,0830, ","   38.9","m,0616,+","","","","","","","","","","","    494.2"," ,m","     21.95","m","     27.36","m","     16.53","m"
"MXN00026011","1968","29.7167","-110.15","577.9","BABIACORA, MX","   1798.9","","    1798.9","m","        42","m","        29","m","         4","m","         0","m","         0","m","         0","m","       255","m","       100","m","    1.7","m,1226,+","  39.9"," ,m,0720, ","   42.8","m,0626,+","","","","","","","     489.8","8","     489.8","m","    441.3"," ,m","     21.61","m","     26.48","m","     16.74","m"
"MXN00026011","1969","29.7167","-110.15","577.9","BABIACORA, MX","","","","","        36","m","        26","m","         4","m","","","","","","","","","","","","","  69.9"," ,m,0611, ","","","","","","","","","     655.3","3","     655.3"," ","    405.6"," ,m","","","","","",""
"MXN00026011","1978","29.7167","-110.15","577.9","BABIACORA, MX","   1577.6","","    1577.6","m","        41","m","        41","m","         9","m","         0","m","         1","m","         0","m","       257","m","       133","m","   -2.2","m,1220, ","  54.9"," ,m,0731,+","   45.0","m,0628,+","-2.2","m,1220","-2.2","m,1220","","","","","","","    811.6"," ,m","     20.68","m","     28.91","m","     12.44","m"
"MXN00026011","1981","29.7167","-110.15","577.9","BABIACORA, MX","   1900.8","","    1900.8","m","        46","m","        44","m","         4","m","         0","m","         0","m","         0","m","       332","m","       161","m","    7.8","m,0113, ","  39.9"," ,m,1128, ","   40.6","m,0617, ","","","","","","","","","","","    506.2"," ,m","     23.26","m","     30.69","m","     15.83","m"
"MXN00026011","1984","29.7167","-110.15","577.9","BABIACORA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     689.6","6","     689.6","m","","","","","","","",""
