"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00028196","1979","22.95","-97.9333","89.9","LA CABECERA, MX","   1895.9","","    1895.9","m","        66","m","        57","m","         6","m","         0","m","         0","m","         0","m","       326","m","       111","m","    0.6","m,0103, ","  64.8"," ,m,0907, ","   41.7","m,0411, ","","","","","","","","","","","","","    668.3"," ,m","     22.87","m","     28.52","m","     17.21","m"
"MXN00028196","1980","22.95","-97.9333","89.9","LA CABECERA, MX","   2028.1","","    2028.1","m","        48","m","        35","m","         3","m","         0","m","         0","m","         0","m","       335","m","       130","m","    3.9","m,1231,+","  55.9"," ,m,0926, ","   40.6","m,0516, ","","","","","","","","","     165.5","5","     165.5","m","    360.0"," ,m","     23.36","m","     29.33","m","     17.40","m"
"MXN00028196","1981","22.95","-97.9333","89.9","LA CABECERA, MX","   1983.1","","    1983.1","m","        76","m","        55","m","        12","m","         0","m","         0","m","         0","m","       337","m","       106","m","    3.3","m,0124, ","  74.9"," ,m,0828, ","   37.8","m,0813, ","","","","","","","","","     241.2","2","     241.2","m","    917.5"," ,m","     23.31","m","     28.92","m","     17.70","m"
"MXN00028196","1982","22.95","-97.9333","89.9","LA CABECERA, MX","   2150.9","","    2150.9","m","        54","m","        34","m","         3","m","         0","m","         0","m","         0","m","       333","m","       140","m","    5.0","m,1217,+","  57.4"," ,m,0429, ","   38.3","m,0408, ","","","","","","","","","      98.5","5","      98.5","m","    385.3"," ,m","     23.85","m","     29.73","m","     17.97","m"
"MXN00028196","1983","22.95","-97.9333","89.9","LA CABECERA, MX","   1928.6","","    1928.6","m","        69","m","        56","m","        11","m","         0","m","         0","m","         0","m","       336","m","       107","m","    2.8","m,1230,+"," 113.3"," ,m,0527, ","   38.9","m,0304, ","","","","","","","","","     151.3","3","     151.3","m","   1024.9"," ,m","     23.14","m","     28.63","m","     17.64","m"
"MXN00028196","1984","22.95","-97.9333","89.9","LA CABECERA, MX","   1765.5","","    1765.5","m","        86","m","        73","m","        19","m","         0","m","         0","m","         0","m","       332","m","        54","m","    3.3","m,0121, "," 142.7"," ,m,0903, ","   42.8","m,0426, ","","","","","","","","","     217.7","7","     217.7","m","   1558.0"," ,m","     22.65","m","     27.93","m","     17.37","m"
"MXN00028196","1985","22.95","-97.9333","89.9","LA CABECERA, MX","   1906.5","","    1906.5","m","        74","m","        62","m","        12","m","         0","m","         0","m","         0","m","       332","m","        87","m","    0.6","m,0202,+","  59.9"," ,m,0723, ","   36.1","m,0531, ","","","","","","","","","     200.7","7","     200.7","m","   1005.1"," ,m","     22.91","m","     28.36","m","     17.46","m"
"MXN00028196","1986","22.95","-97.9333","89.9","LA CABECERA, MX","   1901.9","","    1901.9","m","        76","m","        65","m","        14","m","         0","m","         0","m","         0","m","       337","m","        93","m","    1.1","m,0113, ","  67.3"," ,m,0903,+","   36.1","m,0820,+","","","","","","","","","     153.4","4","     153.4","m","   1047.5"," ,m","     22.99","m","     28.53","m","     17.44","m"
"MXN00028196","1987","22.95","-97.9333","89.9","LA CABECERA, MX","   1862.2","","    1862.2","m","        39","m","        34","m","         7","m","         0","m","         0","m","         0","m","       334","m","       114","m","    0.6","m,0124,+","  42.4"," ,m,0927, ","   39.4","m,0604, ","","","","","","","","","     266.4","4","     266.4","m","    458.8"," ,m","     22.85","m","     28.80","m","     16.91","m"
"MXN00028196","1989","22.95","-97.9333","89.9","LA CABECERA, MX","   2064.4","","    2064.4","m","        46","m","        39","m","         7","m","         0","m","         3","m","         0","m","       332","m","       133","m","   -5.0","m,1224, ","  86.4"," ,m,1017, ","   38.3","m,0623,+","-3.9","m,1223","-3.9","m,1223","-5.0","m,1224","","","     146.3","3","     146.3","m","    595.1"," ,m","     23.17","m","     28.98","m","     17.36","m"
"MXN00028196","1990","22.95","-97.9333","89.9","LA CABECERA, MX","   2081.5","","    2081.5","m","        71","m","        64","m","        11","m","         0","m","         0","m","         0","m","       355","m","       110","m","    1.1","m,1209, "," 158.0"," ,m,0807, ","   37.8","m,0215, ","","","","","","","","","     224.4","4","     224.4","m","   1100.0"," ,m","     23.74","m","     29.13","m","     18.34","m"
"MXN00028196","1991","22.95","-97.9333","89.9","LA CABECERA, MX","   2074.1","","    2074.1","m","        57","m","        53","m","        16","m","         0","m","         0","m","         0","m","       344","m","       113","m","    5.0","m,1110,+"," 127.8"," ,m,0701, ","   41.1","m,0427, ","","","","","","","","","     107.8","8","     107.8","m","   1146.4"," ,m","     23.67","m","     29.02","m","     18.32","m"
"MXN00028196","1994","22.95","-97.9333","89.9","LA CABECERA, MX","","","","","        68","m","        45","m","        18","m","         0","m","         0","m","","","","","","","    2.2","m,0110,+"," 240.8"," ,m,0831, ","","","","","","","","","","","","","","","   1866.7"," ,m","","","","","     17.42","m"
