"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00030194","1949","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        69","m","        39","m","         6","m","","","","","","","","","","","","","  62.5"," ,m,0926,+","","","    648.0"," ,m","","","","","",""
"MXN00030194","1950","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        71","m","        46","m","         4","m","","","","","","","","","","","",""," 132.3"," ,m,0131, ","","","    708.7"," ,m","","","","","",""
"MXN00030194","1951","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        66","m","        47","m","         7","m","","","","","","","","","","","",""," 228.3"," ,m,0822, ","","","    913.9"," ,m","","","","","",""
"MXN00030194","1952","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        82","m","        62","m","        15","m","","","","","","","","","","","","","  66.3"," ,m,0602, ","","","    975.5"," ,m","","","","","",""
"MXN00030194","1953","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        69","m","        40","m","        11","m","","","","","","","","","","","","","  76.5"," ,m,0731, ","","","    800.6"," ,m","","","","","",""
"MXN00030194","1954","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        80","m","        60","m","        14","m","","","","","","","","","","","",""," 144.3"," ,m,1007, ","","","   1611.9"," ,m","","","","","",""
"MXN00030194","1955","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        89","m","        63","m","        21","m","","","","","","","","","","","",""," 203.5"," ,m,0918, ","","","   1845.2"," ,m","","","","","",""
"MXN00030194","1956","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        90","m","        62","m","        14","m","","","","","","","","","","","","","  81.8"," ,m,0911, ","","","   1141.7"," ,m","","","","","",""
"MXN00030194","1957","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        67","m","        47","m","        14","m","","","","","","","","","","","",""," 110.0"," ,m,0427, ","","","    961.3"," ,m","","","","","",""
"MXN00030194","1959","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        82","m","        58","m","         8","m","","","","","","","","","","","","","  97.3"," ,m,0617, ","","","    836.0"," ,m","","","","","",""
"MXN00030194","1960","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        55","m","        39","m","         9","m","","","","","","","","","","","","","  96.3"," ,m,0920, ","","","    576.3"," ,m","","","","","",""
"MXN00030194","1961","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        70","m","        52","m","         6","m","","","","","","","","","","","","","  66.8"," ,m,1013, ","","","    748.5"," ,m","","","","","",""
"MXN00030194","1962","22.1833","-97.85","4.0","VILLA CUAUHTEMOC, MX","","","","","        56","m","        43","m","         7","m","","","","","","","","","","","",""," 177.3"," ,m,0625, ","","","    794.2"," ,m","","","","","",""
