"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00032188","1987","22.15","-101.7","2218.9","EL NIGROMANTE, MX","    636.7","","     636.7","m","        30","m","        20","m","         0","m","         0","m","         0","m","         0","m","       358","m","         9","m","    0.6","m,0404,+","  17.8"," ,m,0112, ","   36.7","m,0829,+","","","","","","","","","","","","","","","","","","","","","","","    169.4"," ,m","     19.25","m","     27.78","m","     10.72","m"
"MXN00032188","1989","22.15","-101.7","2218.9","EL NIGROMANTE, MX","","","","","        27","m","        24","m","         2","m","","","","","","","","","","","","","  27.9"," ,m,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","    305.4"," ,m","","","","","",""
"MXN00032188","2005","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     64.7","","      64.7","m","        27","m","        23","m","         1","m","         0","m","        55","m","         0","m","       340","m","        11","m","   -4.4","m,1227, ","  31.0"," ,m,0225, ","   33.9","m,0608,+","-1.1","m,1027","-2.2","m,1104","-4.4","m,1227","","","","","-1.1","m,0402","-2.2","m,0320","","","","","","","","","    256.4"," ,m","     15.57","m","     26.24","m","      4.89","m"
"MXN00032188","2006","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     20.8","","      20.8","m","        32","m","        30","m","         5","m","         0","m","        70","m","         0","m","       319","m","         0","m","   -8.3","m,0118, ","  39.9"," ,m,0726,+","   31.7","m,0509,+","-1.1","m,1029","-3.3","m,1122","-5.0","m,1123","","","","","-1.1","m,0228","-3.3","m,0214","-4.4","m,0204","-7.2","m,0119","    1177.4","4","    1177.4","m","    498.7"," ,m","     14.90","m","     24.85","m","      4.95","m"
"MXN00032188","2007","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     11.5","","      11.5","m","        42","m","        36","m","         4","m","         0","m","        44","m","         0","m","       283","m","         0","m","   -5.0","m,0104, ","  33.8"," ,m,0902, ","   31.7","m,0603, ","-3.3","m,1025","-3.3","m,1025","-4.4","m,1028","","","","","0.0","m,0306","-2.2","m,0129","-4.4","m,0110","","","    1441.8","8","    1441.8","m","    426.8"," ,m","     14.33","m","     23.69","m","      4.98","m"
"MXN00032188","2008","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     19.4","","      19.4","m","        31","m","        26","m","         5","m","         0","m","        87","m","         0","m","       267","m","         2","m","   -6.1","m,0308,+","  47.8"," ,m,0824, ","   35.0","m,0422, ","0.0","m,1002","-3.3","m,1117","-5.0","m,1119","","","","","0.0","m,0408","-3.3","m,0321","-4.4","m,0309","","","    1477.4","4","    1477.4","m","    433.3"," ,m","     13.87","m","     23.55","m","      4.21","m"
"MXN00032188","2009","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     39.3","","      39.3","m","        48","m","        25","m","         4","m","         0","m","        53","m","         0","m","       265","m","         2","m","   -3.3","m,1227,+","  58.4"," ,m,1008, ","   35.6","m,0505, ","-2.2","m,1101","-2.2","m,1101","","","","","","","0.0","m,0329","-2.2","m,0306","","","","","    1566.5","5","    1566.5","m","    356.9"," ,m","     14.44","m","     23.74","m","      5.13","m"
"MXN00032188","2010","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     31.5","","      31.5","m","        59","m","        29","m","         5","m","         0","m","        80","m","         0","m","       279","m","         0","m","   -6.1","m,1108, ","  53.3"," ,m,0701, ","   31.7","m,0605,+","0.0","m,1015","-2.2","m,1104","-4.4","m,1105","","","","","-2.2","m,0322","-2.2","m,0322","-5.0","m,0225","","","    1657.0","0","    1657.0","m","    431.9"," ,m","     13.86","m","     23.32","m","      4.39","m"
"MXN00032188","2011","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     62.8","","      62.8","m","        31","m","        20","m","         5","m","         0","m","        47","m","         0","m","       320","m","         6","m","   -9.4","m,1129, ","  34.8"," ,m,0623, ","   35.0","m,0525, ","-1.1","m,1025","-2.2","m,1111","-6.1","m,1128","-9.4","m,1129","-9.4","m,1129","0.0","m,0312","-2.2","m,0214","-4.4","m,0101","","","    1295.5","5","    1295.5","m","    335.1"," ,m","     15.12","m","     25.05","m","      5.19","m"
"MXN00032188","2012","22.15","-101.7","2218.9","EL NIGROMANTE, MX","     33.3","","      33.3","m","        54","m","        30","m","         4","m","         0","m","        26","m","         0","m","       300","m","         1","m","   -3.3","m,1226,+","  43.9"," ,m,0726, ","   32.2","m,0531, ","0.0","m,1207","-2.2","m,1221","","","","","","","-1.1","m,0209","-2.2","m,0128","","","","","    1383.7","7","    1383.7","m","    421.1"," ,m","     14.79","m","     23.94","m","      5.63","m"
