"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MZ000067297","1951","-19.8","34.9","16.0","BEIRA, MZ","","","","","        92","Q","        53","Q","        15","Q","         0","Q","         0","Q","         0","Q","       362","Q","        43","Q","   10.5","Q,0715, "," 169.8"," ,Q,0129, ","   39.7","Q,1126, ","       0.6","6","       0.6","Q","   1353.7"," ,Q","     24.40","Q","     28.69","Q","     20.12","Q"
"MZ000067297","1952","-19.8","34.9","16.0","BEIRA, MZ","   2227.1","","    2227.1","Q","       101","Q","        64","Q","        23","Q","         0","Q","         0","Q","         0","Q","       364","Q","        35","Q","   14.3","Q,0919,+"," 150.8"," ,Q,0108, ","   35.2","Q,0929,+","       0.0","0","       0.0","Q","   1899.0"," ,Q","     24.65","Q","     28.65","Q","     20.65","Q"
"MZ000067297","1953","-19.8","34.9","16.0","BEIRA, MZ","   2321.1","","    2321.1","Q","       116","Q","        62","Q","        18","Q","         0","Q","         0","Q","         0","Q","       364","Q","        46","Q","    8.5","Q,0630, ","  74.1"," ,Q,0406, ","   36.2","Q,0123, ","       3.0","0","       3.0","Q","   1251.7"," ,Q","     24.52","Q","     28.70","Q","     20.35","Q"
"MZ000067297","1954","-19.8","34.9","16.0","BEIRA, MZ","   2224.3","","    2224.3","Q","       108","Q","        71","Q","        25","Q","         0","Q","         0","Q","         0","Q","       365","Q","        53","Q","   11.3","Q,0730, "," 210.1"," ,Q,1110, ","   37.2","Q,1026, ","       1.8","8","       1.8","Q","   2079.8"," ,Q","     24.57","Q","     28.92","Q","     20.21","Q"
"MZ000067297","1961","-19.8","34.9","16.0","BEIRA, MZ","","","","","       128","Q","        81","Q","        18","Q","         0","Q","         0","Q","         0","Q","       365","Q","        21","Q","   14.6","Q,0613, "," 123.0"," ,Q,0101, ","   36.5","Q,0120, ","       0.0","0","       0.0","Q","   1542.4"," ,Q","     24.80","Q","     28.44","Q","     21.16","Q"
"MZ000067297","1962","-19.8","34.9","16.0","BEIRA, MZ","   2203.2","","","","       121","Q","        86","Q","        18","Q","         0","Q","         0","Q","         0","Q","       365","Q","        25","Q","   11.5","Q,0830, "," 172.1"," ,Q,0213, ","   35.2","Q,0214, ","       0.0","0","       0.0","Q","   2036.8"," ,Q","     24.65","Q","     28.45","Q","     20.85","Q"
"MZ000067297","1963","-19.8","34.9","16.0","BEIRA, MZ","   2129.2","","    2129.2","Q","       106","Q","        61","Q","        20","Q","         0","Q","         0","Q","         0","Q","       365","Q","        11","Q","   12.6","Q,0814,+"," 286.6"," ,Q,0130, ","   36.0","Q,1215, ","       0.3","3","       0.3","Q","   2058.6"," ,Q","     23.90","Q","     27.86","Q","     19.93","Q"
"MZ000067297","1964","-19.8","34.9","16.0","BEIRA, MZ","   2154.7","","    2154.7","Q","       107","Q","        66","Q","         8","Q","         0","Q","         0","Q","         0","Q","       362","Q","        18","Q","   11.6","Q,0628, ","  96.0"," ,Q,1211, ","   36.5","Q,1127, ","       6.0","0","       6.0","Q","   1150.3"," ,Q","     24.06","Q","     27.98","Q","     20.15","Q"
"MZ000067297","1965","-19.8","34.9","16.0","BEIRA, MZ","   2026.3","","    2026.3","Q","        91","Q","        56","Q","        13","Q","         0","Q","         0","Q","         0","Q","       364","Q","        35","Q","   12.1","Q,0729, "," 149.3"," ,Q,0309, ","   37.4","Q,0226, ","       0.2","2","       0.2","Q","   1203.6"," ,Q","     23.90","Q","     28.21","Q","     19.58","Q"
"MZ000067297","1966","-19.8","34.9","16.0","BEIRA, MZ","   2114.3","","    2114.3","Q","       110","Q","        68","Q","        15","Q","         0","Q","         0","Q","         0","Q","       365","Q","        45","Q","   12.6","Q,0728, "," 366.2"," ,Q,0226, ","   37.2","Q,0415, ","       0.0","0","       0.0","Q","   1775.6"," ,Q","     24.54","Q","     28.79","Q","     20.29","Q"
