"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NLE00100506","1879","51.6831","3.8667","7.0","KERKWERVE, NL","       137","E","        87","E","         0","E","","","","","  22.5"," ,E,0720, ","    675.8"," ,E"
"NLE00100506","1880","51.6831","3.8667","7.0","KERKWERVE, NL","       136","E","        80","E","         3","E","","","","","  41.5"," ,E,0703, ","    728.4"," ,E"
"NLE00100506","1881","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        77","E","         5","E","","","","","  39.0"," ,E,0618, ","    783.0"," ,E"
"NLE00100506","1882","51.6831","3.8667","7.0","KERKWERVE, NL","       162","E","       100","E","         0","E","","","","","  21.8"," ,E,1230, ","    745.0"," ,E"
"NLE00100506","1883","51.6831","3.8667","7.0","KERKWERVE, NL","       147","E","        83","E","         2","E","","","","","  42.8"," ,E,1003, ","    716.4"," ,E"
"NLE00100506","1884","51.6831","3.8667","7.0","KERKWERVE, NL","       130","E","        70","E","         1","E","","","","","  27.8"," ,E,0812, ","    626.9"," ,E"
"NLE00100506","1885","51.6831","3.8667","7.0","KERKWERVE, NL","       135","E","        75","E","         1","E","","","","","  31.5"," ,E,1006, ","    591.3"," ,E"
"NLE00100506","1886","51.6831","3.8667","7.0","KERKWERVE, NL","       130","E","        79","E","         3","E","","","","","  36.5"," ,E,1013, ","    644.1"," ,E"
"NLE00100506","1887","51.6831","3.8667","7.0","KERKWERVE, NL","       128","E","        62","E","         0","E","","","","","  25.0"," ,E,0602, ","    484.1"," ,E"
"NLE00100506","1888","51.6831","3.8667","7.0","KERKWERVE, NL","       151","E","        75","E","         0","E","","","","","  18.5"," ,E,1030, ","    604.8"," ,E"
"NLE00100506","1889","51.6831","3.8667","7.0","KERKWERVE, NL","       143","E","        83","E","         2","E","","","","","  32.8"," ,E,0824, ","    707.2"," ,E"
"NLE00100506","1890","51.6831","3.8667","7.0","KERKWERVE, NL","       123","E","        82","E","         1","E","","","","","  25.8"," ,E,0425, ","    644.0"," ,E"
"NLE00100506","1891","51.6831","3.8667","7.0","KERKWERVE, NL","       123","E","        79","E","         1","E","","","","","  28.0"," ,E,0718, ","    564.7"," ,E"
"NLE00100506","1892","51.6831","3.8667","7.0","KERKWERVE, NL","       129","E","        76","E","         2","E","","","","","  42.0"," ,E,0920, ","    623.8"," ,E"
"NLE00100506","1893","51.6831","3.8667","7.0","KERKWERVE, NL","       137","E","        69","E","         1","E","","","","","  27.5"," ,E,0921, ","    574.5"," ,E"
"NLE00100506","1894","51.6831","3.8667","7.0","KERKWERVE, NL","       154","E","        96","E","         1","E","","","","","  32.5"," ,E,0729, ","    755.6"," ,E"
"NLE00100506","1895","51.6831","3.8667","7.0","KERKWERVE, NL","       131","E","        82","E","         2","E","","","","","  30.0"," ,E,0721, ","    582.5"," ,E"
"NLE00100506","1896","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        62","E","         0","E","","","","","  20.0"," ,E,0824, ","    485.3"," ,E"
"NLE00100506","1897","51.6831","3.8667","7.0","KERKWERVE, NL","       150","E","        79","E","         3","E","","","","","  31.0"," ,E,0815, ","    671.3"," ,E"
