"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00109768","1951","61.0267","5.385","38.0","TAKLE, NO","","","","","       211","E","       146","E","        28","E","","","         0"," ","        72","E","","","","","","","   -7.5","E,0101, ","","","  59.1"," ,E,1024, ","","","-0.4","E,1125","-2.2","E,1211","","","","","","","-2.5","E,0422","-2.5","E,0422","-6.3","E,0329","-6.7","E,0311","","","","","","","   2351.5"," ,E","","","","","      4.70","E"
"NOE00109768","1952","61.0267","5.385","38.0","TAKLE, NO","","","","","       215","E","       152","E","        28","E","       52","","         0"," ","        82","E","","","","","","","   -6.5","E,0126, ","   320"," ,E,0217, ","  85.9"," ,E,0916, ","","","-1.0","E,1111","-2.5","E,1118","-4.5","E,1127","","","","","0.0","E,0416","-2.6","E,0401","-4.9","E,0330","","","","","","","","","   2366.1"," ,E","","","","","      3.77","E"
"NOE00109768","1953","61.0267","5.385","38.0","TAKLE, NO","","","","","       225","E","       163","E","        44","E","       16","","         0"," ","        43","E","","","","","","","  -12.0","E,0208, ","    80"," ,E,0204, "," 112.3"," ,E,1010, ","","","-0.6","E,1219","","","","","","","","","-1.1","E,0415","-2.4","E,0409","-6.9","E,0212","-6.9","E,0212","-10.0","E,0209","","","","","   3282.0"," ,E","","","","","      5.71","E"
"NOE00109768","1954","61.0267","5.385","38.0","TAKLE, NO","","","","","       221","E","       158","E","        28","E","       15","","         0"," ","        69","E","","","","","","","   -8.9","E,0131, ","    80"," ,E,0218,+","  87.0"," ,E,0404, ","","","-0.5","E,1115","-3.7","E,1223","-5.0","E,1224","","","","","-0.5","E,0430","-3.0","E,0304","-7.2","E,0220","-7.2","E,0220","-8.9","E,0131","","","","","   2685.3"," ,E","","","","","      4.55","E"
"NOE00109768","1955","61.0267","5.385","38.0","TAKLE, NO","","","","","       205","E","       153","E","        23","E","       64","","         0"," ","       100","E","","","","","","","  -10.4","E,0219,+","   550"," ,E,0121,+","  92.7"," ,E,1205, ","","","0.0","E,1017","-2.8","E,1031","-6.0","E,1211","-7.2","E,1217","","","0.0","E,0522","-4.9","E,0329","-4.9","E,0329","-7.6","E,0322","-9.1","E,0221","","","","","   2260.5"," ,E","","","","","      3.89","E"
"NOE00109768","1956","61.0267","5.385","38.0","TAKLE, NO","","","","","       214","E","       144","E","        35","E","       80","","         0","E","        95","E","","","","","","","  -11.5","E,0131, ","   450"," ,E,0125,+"," 101.1"," ,E,1124, ","","","0.0","E,1027","-3.7","E,1223","","","","","","","-1.5","E,0418","-3.8","E,0406","-5.2","E,0307","-8.4","E,0219","-9.0","E,0218","","","","","   2722.4"," ,E","","","","","      3.93","E"
"NOE00109768","1957","61.0267","5.385","38.0","TAKLE, NO","      0.9","","       0.9","E","       225","E","       166","E","        49","E","       28","","         0","E","        62","E","        11","E","         6","E","         0","E","   -7.3","E,0224, ","   230"," ,E,0227, ","  95.3"," ,E,1027, ","   23.6","E,0720, ","-0.3","E,1110","-2.5","E,1208","-6.0","E,1210","","","","","-1.1","E,0507","-3.0","E,0414","-4.8","E,0228","-7.0","E,0225","","","    4056.7","7","    4056.7","E","   3347.7"," ,E","      7.17","E","      9.83","E","      4.52","E"
"NOE00109768","1958","61.0267","5.385","38.0","TAKLE, NO","     20.5","","      20.5","E","       199","E","       152","E","        20","E","       96","","         0","E","       100","E","        33","E","        14","E","         0","E","  -11.2","E,0227, ","   280"," ,E,0109, ","  66.0"," ,E,0521, ","   28.6","E,0702, ","-0.8","E,1111","-5.5","E,1210","-5.5","E,1210","","","","","-0.5","E,0422","-3.0","E,0411","-5.5","E,0323","-7.0","E,0315","-11.2","E,0227","    4408.4","4","    4408.4","E","   2230.4"," ,E","      6.63","E","      9.44","E","      3.83","E"
"NOE00109768","1959","61.0267","5.385","38.0","TAKLE, NO","      8.4","","       8.4","E","       189","E","       141","E","        21","E","       49","","         0","E","        63","E","        17","E","        17","E","         0","E","   -9.7","E,0110, ","   450"," ,E,0124, ","  80.7"," ,E,0225, ","   26.4","E,0814, ","-0.8","E,1030","-3.0","E,1118","-4.5","E,1209","","","","","-1.0","E,0420","-2.8","E,0308","-5.5","E,0221","-7.9","E,0115","-9.5","E,0111","    3901.2","2","    3901.2","E","   2094.0"," ,E","      7.60","E","     10.42","E","      4.79","E"
"NOE00109768","1960","61.0267","5.385","38.0","TAKLE, NO","      6.3","","       6.3","E","       177","E","       124","E","        25","E","       32","","         0","E","        79","E","        22","E","         7","E","         0","E","  -10.0","E,0213, ","   300"," ,E,0225,+"," 107.9"," ,E,0924, ","   25.3","E,0802, ","-0.4","E,1024","-4.9","E,1209","-4.9","E,1209","-7.8","E,1210","-8.9","E,1211","0.0","E,0426","-2.7","E,0225","-5.4","E,0224","-6.7","E,0223","-10.0","E,0213","    3990.1","1","    3990.1","E","   2138.0"," ,E","      7.10","E","      9.84","E","      4.35","E"
