"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00111165","2003","67.2831","14.4667","33.0","BODOE VAGONES, NO","     12.6","","      12.6","E","       201","E","       128","E","         7","E","         0","E","       123","E","        40","E","        27","E","         0","E","  -13.8","E,0101, ","  38.0"," ,E,0117, ","   27.5","E,0605, ","-0.3","E,1018","-2.6","E,1019","-4.4","E,1021","-9.5","E,1216","-9.5","E,1216","-0.5","E,0505","-3.0","E,0502","-5.2","E,0407","-7.6","E,0320","-10.4","E,0206","    4909.4","4","    4909.4","E","   1245.4"," ,E","      5.57","E","      8.61","E","      2.53","E"
"NOE00111165","2004","67.2831","14.4667","33.0","BODOE VAGONES, NO","     20.1","","      20.1","E","       206","E","       131","E","         1","E","         0","E","       120","E","        42","E","        18","E","         0","E","  -12.6","E,0121, ","  36.5"," ,E,0614, ","   29.1","E,0805, ","0.0","E,1009","-2.3","E,1116","-6.4","E,1117","-8.0","E,1118","-9.7","E,1120","-1.5","E,0524","-3.6","E,0410","-5.2","E,0305","-7.4","E,0303","-10.1","E,0302","    4600.1","1","    4600.1","E","   1152.8"," ,E","      5.58","E","      8.47","E","      2.70","E"
"NOE00111165","2005","67.2831","14.4667","33.0","BODOE VAGONES, NO","     25.6","","      25.6","E","       246","E","       166","E","         6","E","         0","E","       133","E","        36","E","        21","E","         0","E","  -11.4","E,0319, ","  47.4"," ,E,0913, ","   28.5","E,0705, ","0.0","E,0916","-3.2","E,1022","-4.8","E,1208","-7.1","E,1218","","","0.0","E,0521","-2.2","E,0420","-4.7","E,0320","-11.4","E,0319","-11.4","E,0319","    4660.9","9","    4660.9","E","   1570.4"," ,E","      5.69","E","      8.51","E","      2.86","E"
"NOE00111165","2006","67.2831","14.4667","33.0","BODOE VAGONES, NO","      5.0","","       5.0","E","       218","E","       117","E","         7","E","         0","E","       102","E","        34","E","        23","E","         0","E","  -11.4","E,0306,+","  45.2"," ,E,1107, ","   25.7","E,0731, ","-0.4","E,1020","-2.2","E,1022","-5.8","E,1031","-8.2","E,1101","","","-1.6","E,0518","-3.7","E,0405","-4.8","E,0403","-6.7","E,0401","-9.9","E,0323","    4648.6","6","    4648.6","E","   1234.9"," ,E","      5.91","E","      8.75","E","      3.06","E"
"NOE00111165","2007","67.2831","14.4667","33.0","BODOE VAGONES, NO","     27.5","","      27.5","E","       237","E","       160","E","         6","E","         0","E","       115","E","        36","E","        24","E","         0","E","  -12.4","E,0220, ","  50.3"," ,E,0713, ","   28.2","E,0706, ","-1.5","E,1011","-2.3","E,1012","-7.3","E,1109","-7.3","E,1109","","","-0.2","E,0428","-5.6","E,0421","-5.6","E,0421","-9.6","E,0409","-9.6","E,0409","    4530.5","5","    4530.5","E","   1479.8"," ,E","      5.66","E","      8.45","E","      2.88","E"
"NOE00111165","2008","67.2831","14.4667","33.0","BODOE VAGONES, NO","      3.6","","       3.6","E","       193","E","       122","E","         3","E","         0","E","       118","E","        21","E","        14","E","         0","E","  -11.5","E,0321, ","  36.3"," ,E,1014, ","   27.6","E,0729, ","-0.4","E,1031","-5.6","E,1113","-5.6","E,1113","-8.5","E,1124","","","-0.1","E,0518","-3.4","E,0419","-9.3","E,0328","-9.3","E,0328","-9.3","E,0328","    4584.8","8","    4584.8","E","   1054.3"," ,E","      5.68","E","      8.56","E","      2.79","E"
"NOE00111165","2009","67.2831","14.4667","33.0","BODOE VAGONES, NO","     10.9","","      10.9","E","       211","E","       109","E","         7","E","         0","E","       120","E","        47","E","        19","E","         0","E","  -11.7","E,0206, ","  44.1"," ,E,0425, ","   25.3","E,0802, ","-0.1","E,1004","-2.3","E,1012","-4.7","E,1201","-7.2","E,1215","-10.3","E,1222","-3.3","E,0421","-3.3","E,0421","-4.8","E,0325","-7.1","E,0324","-9.4","E,0228","    4664.0","0","    4664.0","E","   1147.4"," ,E","      5.39","E","      8.16","E","      2.62","E"
"NOE00111165","2010","67.2831","14.4667","33.0","BODOE VAGONES, NO","      1.6","","       1.6","E","       241","E","       126","E","         1","E","         0","E","       162","E","        77","E","        10","E","         0","E","  -15.1","E,0223, ","  27.0"," ,E,1008, ","   24.6","E,0717, ","-1.2","E,1014","-3.5","E,1020","-4.8","E,1021","-8.3","E,1123","-10.5","E,1126","0.0","E,0607","-2.6","E,0418","-5.6","E,0330","-8.7","E,0324","-10.0","E,0304","    5017.6","6","    5017.6","E","   1098.1"," ,E","      3.98","E","      6.91","E","      1.04","E"
"NOE00111165","2011","67.2831","14.4667","33.0","BODOE VAGONES, NO","     16.8","","      16.8","E","       228","E","       144","E","         5","E","         0","E","       103","E","        38","E","        14","E","         0","E","  -11.2","E,0211, ","  37.5"," ,E,1101, ","   29.0","E,0609, ","-0.1","E,1009","-2.8","E,1206","-5.6","E,1211","-8.4","E,1231","","","-2.1","E,0504","-2.2","E,0419","-8.7","E,0330","-8.7","E,0330","-10.3","E,0224","    4858.0","0","    4858.0","E","   1386.5"," ,E","      6.36","E","      9.14","E","      3.57","E"
"NOE00111165","2012","67.2831","14.4667","33.0","BODOE VAGONES, NO","      0.0","","       0.0","E","       245","E","       123","E","         0","E","         0","E","       140","E","        55","E","         2","E","         0","E","  -13.6","E,0205, ","  24.4"," ,E,1010, ","   22.6","E,0705, ","-0.5","E,1013","-2.3","E,1019","-5.8","E,1129","-7.9","E,1201","-10.1","E,1202","-0.7","E,0601","-2.7","E,0504","-5.1","E,0409","-6.9","E,0402","-9.8","E,0225","    4573.2","2","    4573.2","E","   1005.3"," ,E","      4.35","E","      7.00","E","      1.70","E"
