"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NOE00111255","1896","65.8167","13.9","380.0","TUSTERVATNET, NO","       196","E","        92","E","         1","E","      238","","  1680"," ,E,0208, ","  44.3"," ,E,1105, ","    853.8"," ,E"
"NOE00111255","1897","65.8167","13.9","380.0","TUSTERVATNET, NO","       196","E","        84","E","         0","E","      185","","  1340"," ,E,0330, ","  24.3"," ,E,0614, ","    757.8"," ,E"
"NOE00111255","1898","65.8167","13.9","380.0","TUSTERVATNET, NO","       202","E","        94","E","         5","E","      211","","  2070"," ,E,0321, ","  39.5"," ,E,0128, ","    961.1"," ,E"
"NOE00111255","1899","65.8167","13.9","380.0","TUSTERVATNET, NO","       182","E","        87","E","         4","E","      263","","  1850"," ,E,0405, ","  44.0"," ,E,0125, ","    818.2"," ,E"
"NOE00111255","1900","65.8167","13.9","380.0","TUSTERVATNET, NO","       194","E","        88","E","         1","E","      219","","  1900"," ,E,0501, ","  25.5"," ,E,0921, ","    740.2"," ,E"
"NOE00111255","1901","65.8167","13.9","380.0","TUSTERVATNET, NO","       175","E","        79","E","         2","E","      216","","  2110"," ,E,0407,+","  38.4"," ,E,1027, ","    746.8"," ,E"
"NOE00111255","1902","65.8167","13.9","380.0","TUSTERVATNET, NO","       191","E","        82","E","         3","E","      240","","  1930"," ,E,0324,+","  36.8"," ,E,0820, ","    778.1"," ,E"
"NOE00111255","1903","65.8167","13.9","380.0","TUSTERVATNET, NO","       201","E","       102","E","         2","E","      233","","  2340"," ,E,0217, ","  43.0"," ,E,0730, ","    936.2"," ,E"
"NOE00111255","1904","65.8167","13.9","380.0","TUSTERVATNET, NO","       179","E","        81","E","         3","E","      211","","  1330"," ,E,1224, ","  40.3"," ,E,0122, ","    712.6"," ,E"
"NOE00111255","1905","65.8167","13.9","380.0","TUSTERVATNET, NO","       188","E","        96","E","         1","E","      248","","  2330"," ,E,0220, ","  26.7"," ,E,1121, ","    867.8"," ,E"
"NOE00111255","1906","65.8167","13.9","380.0","TUSTERVATNET, NO","       196","E","        89","E","         1","E","      219","","  2690"," ,E,0331, ","  57.1"," ,E,0409, ","    799.9"," ,E"
"NOE00111255","1907","65.8167","13.9","380.0","TUSTERVATNET, NO","       198","E","       104","E","         2","E","      216","","  2400"," ,E,0310, ","  52.0"," ,E,0909, ","    868.9"," ,E"
"NOE00111255","1908","65.8167","13.9","380.0","TUSTERVATNET, NO","       186","E","        97","E","         1","E","      222","","  1600"," ,E,0213, ","  32.5"," ,E,1115, ","    729.2"," ,E"
"NOE00111255","1909","65.8167","13.9","380.0","TUSTERVATNET, NO","       188","E","        95","E","         4","E","      235","","  1700"," ,E,0403, ","  44.0"," ,E,0823, ","    910.6"," ,E"
"NOE00111255","1910","65.8167","13.9","380.0","TUSTERVATNET, NO","       180","E","        82","E","         2","E","      215","","  2200"," ,E,0413, ","  53.0"," ,E,0731, ","    720.2"," ,E"
"NOE00111255","1911","65.8167","13.9","380.0","TUSTERVATNET, NO","       203","E","       108","E","         0","E","      220","","  1930"," ,E,0401, ","  23.9"," ,E,1010, ","    832.6"," ,E"
"NOE00111255","1912","65.8167","13.9","380.0","TUSTERVATNET, NO","       182","E","        85","E","         2","E","      216","","  1400"," ,E,0408, ","  33.8"," ,E,0810, ","    733.0"," ,E"
"NOE00111255","1913","65.8167","13.9","380.0","TUSTERVATNET, NO","       195","E","       114","E","         2","E","      215","","  2350"," ,E,0315, ","  33.5"," ,E,0325, ","    981.7"," ,E"
