"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"RP000098755","2007","8.367","126.333","3.0","HINATUAN, RP","         0","S","       325","S","       156","S","   35.4","S,0708, ","     31.69","S"
"RP000098755","2011","8.367","126.333","3.0","HINATUAN, RP","         0","S","       346","S","        99","S","   35.2","S,0826, ","     31.24","S"
"RP000098755","2012","8.367","126.333","3.0","HINATUAN, RP","         0","S","       343","S","       133","S","   36.2","S,0806, ","     31.46","S"
"RP000098755","2014","8.367","126.333","3.0","HINATUAN, RP","         0","S","       353","S","       138","S","   36.0","S,0812,+","     31.35","S"
"RP000098755","2015","8.367","126.333","3.0","HINATUAN, RP","         0","S","       352","S","       134","S","   35.8","S,0822,+","     31.44","S"
"RP000098755","2016","8.367","126.333","3.0","HINATUAN, RP","         0","S","       349","S","       123","S","   37.2","S,0819, ","     31.50","S"
"RP000098755","2017","8.367","126.333","3.0","HINATUAN, RP","         0","S","       344","S","       141","S","   36.3","S,0909, ","     31.44","S"
"RP000098755","2018","8.367","126.333","3.0","HINATUAN, RP","         0","S","       354","S","       162","S","   36.2","S,0814,+","     31.89","S"
"RP000098755","2019","8.367","126.333","3.0","HINATUAN, RP","         0","S","       358","S","       160","S","   39.5","S,0106, ","     31.70","S"
"RP000098755","2020","8.367","126.333","3.0","HINATUAN, RP","         0","S","       350","S","       134","S","   35.8","S,0829, ","     31.65","S"
