"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"RQC00662330","1969","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","         9"," ","","","","","","","","","",""
"RQC00662330","1970","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        67"," ","","","","","","","","","",""
"RQC00662330","1971","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        32"," ","","","","","","","","","",""
"RQC00662330","1972","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","         9"," ","","","","","","","","","",""
"RQC00662330","1973","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","        97","0","        73","0","        18","0","        0","","         0","0","         7"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 120.1"," ,0,0421, ","   1528.3"," ,0","        0"," ,0"
"RQC00662330","1974","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       123","0","        92","0","        18","0","        0","","         0","0","        16"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 120.9"," ,0,1023, ","   1737.2"," ,0","        0"," ,0"
"RQC00662330","1975","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        10"," ","","","","","","","","","",""
"RQC00662330","1976","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","        0","","         0","0","         6"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   1869.1"," ,0","        0"," ,0"
"RQC00662330","1977","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","        0","","         0","0","        27"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","        0"," ,0"
"RQC00662330","1978","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       146","0","       119","0","        24","0","        0","","         0","0","        22"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.0"," ,0,0808, ","   1842.3"," ,0","        0"," ,0"
"RQC00662330","1979","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       201","0","       150","0","        28","0","        0","","         0","0","        33"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 148.8"," ,0,0830, ","   2601.7"," ,0","        0"," ,0"
"RQC00662330","1980","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        39"," ","","","","","","","","","",""
"RQC00662330","1981","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       155","0","       121","0","        34","0","        0","","         0","0","        43"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.9"," ,0,1213, ","   2579.9"," ,0","        0"," ,0"
"RQC00662330","1982","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","         0","0","        23"," ","","","     0"," ,0,1231,+","","","","","        0"," ,0"
"RQC00662330","1983","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       121","0","        92","0","        23","0","","","         0","0","        10"," ","","","     0"," ,0,1231,+"," 129.5"," ,0,1019, ","   1770.2"," ,0","        0"," ,0"
"RQC00662330","1984","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       151","0","       124","0","        23","0","        0","","         0","0","        29"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.5"," ,0,1211, ","   1934.2"," ,0","        0"," ,0"
"RQC00662330","1985","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       145","0","       116","0","        23","0","        0","","         0","0","        22"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 269.2"," ,0,0518, ","   2485.8"," ,0","        0"," ,0"
"RQC00662330","1986","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       139","0","       120","0","        32","0","        0","","         0","0","        31"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.3"," ,0,0514, ","   2466.1"," ,0","        0"," ,0"
"RQC00662330","1987","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       136","0","       123","0","        30","0","        0","","         0","0","        14"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 110.5"," ,0,0413, ","   2266.3"," ,0","        0"," ,0"
"RQC00662330","1988","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       168","0","       133","0","        16","0","        0","","         0","0","        17"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 132.8"," ,0,0511, ","   1815.6"," ,0","        0"," ,0"
"RQC00662330","1989","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       161","0","       123","0","        23","0","        0","","         0","0","        51"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 116.6"," ,0,0911, ","   2108.0"," ,0","        0"," ,0"
"RQC00662330","1990","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       166","0","       131","0","        25","0","        0","","         0","0","        29"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.7"," ,0,0814, ","   2139.6"," ,0","        0"," ,0"
"RQC00662330","1991","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        15"," ","","","","","","","","","",""
"RQC00662330","1992","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        46"," ","","","","","","","","","",""
"RQC00662330","1993","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       152","0","       116","0","        25","0","        0","","         0","0","        35"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 147.3"," ,0,0412, ","   2136.9"," ,0","        0"," ,0"
"RQC00662330","1994","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","         2"," ","","","","","","","","","",""
"RQC00662330","1995","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       169","0","       118","0","        28","0","        0","","         0","0","        15"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 110.2"," ,0,0916, ","   2369.3"," ,0","        0"," ,0"
"RQC00662330","1996","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","       170","0","       123","0","        23","0","        0","","         0","0","        13"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 203.7"," ,0,0910, ","   2148.2"," ,0","        0"," ,0"
"RQC00662330","1997","18.27639","-66.51944","291.1","CERRO GORDO CIALES, PR US","","","","","","","","","","","        19"," ","","","","","","","","","",""
