"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"RQC00664276","1956","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQC00664276","1957","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","        73","0","        62","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 229.9"," ,0,0612, ","","","","","       0.0","0","       0.0","0","","","","","   1452.6"," ,0","        0"," ,0","","","","","","","",""
"RQC00664276","1959","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       204","0","       108","0","        11","0","","","","","","","","","","","","","","","","","","","","","","","","","  90.4"," ,0,0822, ","","","","","","","","","","","","","   1412.6"," ,0","","","","","","","","","",""
"RQC00664276","1960","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       173","0","       111","0","        24","0","        0","","         0","0","","","","","         0","0","       363","0","        90","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 284.5"," ,0,0906, ","   34.4","0,1104, ","","","","","","","","","","","   1945.9"," ,0","        0"," ,0","","","     30.94","0","","","",""
"RQC00664276","1961","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2295.0","","    2295.0","0","       195","0","       115","0","        21","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        36","0","","","","","   13.9","0,0329,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 122.7"," ,0,0321, ","   33.3","0,0803, ","","","       0.0","0","       0.0","0","","","","","   1801.8"," ,0","        0"," ,0","     24.61","0","     30.31","0","     18.91","0","",""
"RQC00664276","1962","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2237.9","","    2237.9","0","       199","0","       130","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        66","0","","","         2"," ","   11.7","0,0215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.7"," ,0,0903, ","   33.3","0,1114,+","    1542.3","0","       0.0","0","       0.0","0","","","","","   1525.0"," ,0","        0"," ,0","     24.46","0","     30.40","0","     18.53","0","",""
"RQC00664276","1963","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       172","0","       110","0","        13","0","        0","","         0","0","","","","","         0","0","       364","0","        66","0","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.5"," ,0,0808, ","   34.4","0,0824, ","","","       0.0","0","       0.0"," ","","","","","   1565.2"," ,0","        0"," ,0","","","     30.69","0","","","",""
"RQC00664276","1965","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       212","0","       117","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.0"," ,0,0811, ","","","    1478.6","0","","","","","","","","","   1846.3"," ,0","        0"," ,0","","","","","","","     20051","0"
"RQC00664276","1966","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2260.5","","    2260.5","0","       198","0","       114","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        28","0","","","","","   13.3","0,0214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.2"," ,0,0420, ","   32.8","0,1009,+","    1592.9","0","","","","","","","","","   1279.1"," ,0","        0"," ,0","     24.51","0","     29.93","0","     19.09","0","     20195","0"
"RQC00664276","1967","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2072.6","","    2072.6","0","       181","0","        83","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        83","0","","","","","   10.6","0,0306,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.4"," ,0,1219, ","   33.9","0,1006,+","","","       0.0","0","       0.0","0","","","","","    841.9"," ,0","        0"," ,0","     24.08","0","     30.29","0","     17.88","0","",""
"RQC00664276","1969","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       203","0","       116","0","        19","0","        0","","         0","0","","","","","         0","0","       365","0","        85","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 140.2"," ,0,1110, ","   33.9","0,1006,+","    1472.6","0","","","","","     20.01","0","     32.05","0","   2044.4"," ,0","        0"," ,0","","","     30.42","0","","","",""
"RQC00664276","1970","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2231.2","","    2231.2","0","       209","0","       110","0","        29","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        45","0","","","","","   10.0","0,0306, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 306.6"," ,0,0617, ","   33.9","0,0417, ","    1459.4","0","       0.0","0","       0.0","0","     19.60","0","     31.19","0","   3008.1"," ,0","        0"," ,0","     24.49","0","     30.15","0","     18.83","0","     21072","0"
"RQC00664276","1971","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2088.6","","    2088.6","0","       217","0","       105","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        46","0","","","","","   13.3","0,0325, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.9"," ,0,0401, ","   33.3","0,0929,+","    1429.9","0","       0.0","0","       0.0","0","     19.35","0","     31.04","0","   1298.2"," ,0","        0"," ,0","     24.05","0","     29.96","0","     18.13","0","     17866","0"
"RQC00664276","1972","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2284.8","","    2284.8","0","       224","0","       120","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        66","0","","","","","   13.9","0,0218, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,0116, ","   33.9","0,0701, ","    1467.0","0","       0.0","0","       0.0","0","","","","","   1352.5"," ,0","        0"," ,0","     24.59","0","     30.19","0","     18.99","0","     22767","0"
