"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"RQC00666390","1956","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","","","","","","","","","","","","","         7"," ","","","","","","","","","",""
"RQC00666390","1957","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       185","0","       107","0","        11","0","        0","","         0","0","","","        15"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 127.5"," ,0,1103, ","   1400.1"," ,0","        0"," ,0"
"RQC00666390","1958","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       201","0","       134","0","        24","0","        0","","         0","0","         2"," ","        29"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 186.4"," ,0,0330, ","   2364.0"," ,0","        0"," ,0"
"RQC00666390","1959","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       196","0","       112","0","        16","0","        0","","         0","0","","","        20"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.0"," ,0,0504, ","   1780.4"," ,0","        0"," ,0"
"RQC00666390","1960","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       186","0","       111","0","        27","0","        0","","         0","0","","","        14"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0128, ","   2090.1"," ,0","        0"," ,0"
"RQC00666390","1961","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       201","0","       104","0","        12","0","        0","","         0","0","","","        14"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.8"," ,0,1205, ","   1381.7"," ,0","        0"," ,0"
"RQC00666390","1962","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       194","0","       118","0","        17","0","        0","","         0","0","","","         8"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.0"," ,0,1012, ","   1615.1"," ,0","        0"," ,0"
"RQC00666390","1963","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       175","0","       110","0","        25","0","        0","","         0","0","","","        20"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 118.1"," ,0,0326, ","   2187.2"," ,0","        0"," ,0"
"RQC00666390","1964","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       187","0","       107","0","        10","0","        0","","         0","0","","","         9"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.0"," ,0,0731, ","   1212.9"," ,0","        0"," ,0"
"RQC00666390","1965","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       192","0","       125","0","        30","0","        0","","         0","0","","","        22"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 188.0"," ,0,1212, ","   2576.3"," ,0","        0"," ,0"
"RQC00666390","1966","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       184","0","       112","0","        22","0","        0","","         0","0","","","        15"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 121.4"," ,0,0420, ","   1785.6"," ,0","        0"," ,0"
"RQC00666390","1967","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       183","0","       110","0","        18","0","        0","","         0","0","","","        21"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  96.5"," ,0,0228, ","   1579.6"," ,0","        0"," ,0"
"RQC00666390","1968","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       181","0","       108","0","        22","0","        0","","         0","0","","","        16"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 137.2"," ,0,1127, ","   1722.3"," ,0","        0"," ,0"
"RQC00666390","1969","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       182","0","       128","0","        26","0","        0","","         0","0","","","        22"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  95.3"," ,0,0620, ","   2163.1"," ,0","        0"," ,0"
"RQC00666390","1970","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       167","0","       115","0","        31","0","        0","","         0","0","","","        22"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 200.7"," ,0,1110, ","   2616.7"," ,0","        0"," ,0"
"RQC00666390","1971","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       161","0","       103","0","        13","0","        0","","         0","0","","","        17"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  93.2"," ,0,0402, ","   1541.0"," ,0","        0"," ,0"
"RQC00666390","1972","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       178","0","       117","0","        20","0","        0","","         0","0","","","        39"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 115.1"," ,0,1014, ","   1929.9"," ,0","        0"," ,0"
"RQC00666390","1973","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       128","0","        81","0","        16","0","        0","","         0","0","","","        20"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 208.3"," ,0,0421, ","   1435.1"," ,0","        0"," ,0"
"RQC00666390","1974","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       186","0","       115","0","        22","0","        0","","         0","0","","","        23"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 144.0"," ,0,1025, ","   2042.5"," ,0","        0"," ,0"
"RQC00666390","1975","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       175","0","       114","0","        14","0","        0","","         0","0","","","        16"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.5"," ,0,0917, ","   1525.7"," ,0","        0"," ,0"
"RQC00666390","1976","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       177","0","       110","0","        12","0","        0","","         0","0","","","        26"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  77.5"," ,0,1001, ","   1445.6"," ,0","        0"," ,0"
"RQC00666390","1977","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       152","0","        93","0","        20","0","        0","","         0","0","","","        17"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.1"," ,0,0121, ","   1508.9"," ,0","        0"," ,0"
"RQC00666390","1978","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       142","0","        92","0","        15","0","        0","","         0","0","","","        18"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.6"," ,0,0910, ","   1387.3"," ,0","        0"," ,0"
"RQC00666390","1979","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       194","0","       144","0","        34","0","        0","","         0","0","","","        35"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 165.1"," ,0,0831, ","   2582.9"," ,0","        0"," ,0"
"RQC00666390","1980","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       150","0","       101","0","        19","0","        0","","         0","0","","","        27"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.1"," ,0,0528, ","   1534.6"," ,0","        0"," ,0"
"RQC00666390","1981","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       175","0","       120","0","        33","0","        0","","         0","0","","","        46"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 111.8"," ,0,1213, ","   2661.8"," ,0","        0"," ,0"
"RQC00666390","1982","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","","","","","","","","","","","","","         7"," ","","","","","","","","","",""
"RQC00666390","1983","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","        97","0","        70","0","        15","0","        0","","         0","0","","","         1"," ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 141.2"," ,0,0421, ","   1147.0"," ,0","        0"," ,0"
"RQC00666390","1985","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       156","0","       102","0","        21","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 190.5"," ,0,1007, ","   1909.6"," ,0","        0"," ,0"
"RQC00666390","1986","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       173","0","       108","0","        24","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.7"," ,0,0514, ","   1908.6"," ,0","        0"," ,0"
"RQC00666390","1987","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       165","0","       121","0","        25","0","","","         0","0","","","","","","","     0"," ,0,1231,+"," 198.6"," ,0,0412, ","   2327.6"," ,0","        0"," ,0"
"RQC00666390","1988","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       156","0","       110","0","        17","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 107.2"," ,0,0417, ","   1603.7"," ,0","        0"," ,0"
"RQC00666390","1989","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       135","0","       105","0","        19","0","","","         0","0","","","","","","","     0"," ,0,1231,+","  70.1"," ,0,0227, ","   1627.9"," ,0","        0"," ,0"
"RQC00666390","1990","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       159","0","       123","0","        26","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.8"," ,0,1018, ","   1874.2"," ,0","        0"," ,0"
"RQC00666390","1991","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       131","0","        91","0","        13","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 116.8"," ,0,0716, ","   1458.7"," ,0","        0"," ,0"
"RQC00666390","1992","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       138","0","       110","0","        22","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 110.7"," ,0,1130, ","   1879.5"," ,0","        0"," ,0"
"RQC00666390","1993","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       132","0","        98","0","        19","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 112.0"," ,0,0524, ","   1710.3"," ,0","        0"," ,0"
"RQC00666390","1994","18.3344","-66.4078","182.9","MOROVIS 1 N, PR US","       108","0","        73","0","        12","0","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.3"," ,0,1020,+","   1159.2"," ,0","        0"," ,0"
