"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"RQW00011618","1945","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","        39"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQW00011618","1946","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2547.3","","    2547.3","X","","","","","","","","","         0","X","         0","X","         0","X","         0","X","       355","X","         2","X","         1"," ","        23"," ","   16.7","X,0209, ","","","     0"," ,X,1231,+","","","   32.8","X,0806, ","       0.0","0","       0.0","X","","","        0"," ,X","     25.51","X","     28.19","X","     22.84","X","","","",""
"RQW00011618","1947","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2756.3","","    2756.3","X","","","","","","","","","         0","X","         0","X","         0","X","         0","X","       364","X","         4","X","         2"," ","        46"," ","   17.8","X,0219, ","","","     0"," ,X,1231,+","","","   33.3","X,0914, ","       0.0","0","       0.0","X","","","        0"," ,X","     25.91","X","     28.77","X","     23.06","X","","","",""
"RQW00011618","1948","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2773.3","","    2773.3","X","       229","X","       162","X","        22","X","","","         0","X","         0","X","         0","X","         0","X","       365","X","        13","X","","","        56"," ","   18.3","X,0118, ","","","     0"," ,X,1231,+","  79.8"," ,X,0704, ","   32.8","X,0527,+","       0.0","0","       0.0","X","   2131.2"," ,X","        0"," ,X","     25.92","X","     28.71","X","     23.14","X","        68","X","      22.6","X"
"RQW00011618","1949","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2598.5","","    2598.5","X","       235","X","       132","X","        16","X","        0","","         0","X","         0","X","         0","X","         0","X","       362","X","         5","X","         1"," ","        55"," ","   18.3","X,1214,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  75.9"," ,X,0724, ","   33.9","X,0908, ","       0.0","0","       0.0","X","   1738.3"," ,X","        0"," ,X","     25.54","X","     28.44","X","     22.63","X","","","",""
"RQW00011618","1950","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2573.2","","    2573.2","X","       253","X","       156","X","        23","X","        0","","         0","X","         0","X","         0","X","         0","X","       363","X","         5","X","","","        53"," ","   18.3","X,1228,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  97.3"," ,X,1116, ","   32.8","X,1003,+","       0.0","0","       0.0","X","   2162.5"," ,X","        0"," ,X","     25.42","X","     28.32","X","     22.52","X","","","",""
"RQW00011618","1951","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2740.1","","    2740.1","X","       223","X","       122","X","        19","X","","","","","         0","X","         0","X","         0","X","       365","X","        19","X","","","        91"," ","   17.8","X,0313,+","","","","","  76.2"," ,X,1203, ","   33.9","X,0908,+","       0.0","0","       0.0","X","   1706.0"," ,X","","","     25.83","X","     29.06","X","     22.59","X","","","",""
"RQW00011618","1952","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2752.9","","    2752.9","X","       215","X","       127","X","        24","X","","","","","         0","X","         0","X","         0","X","       365","X","        12","X","","","        85"," ","   18.3","X,1228,+","","","","","  86.4"," ,X,1108, ","   33.3","X,0916,+","       0.0","0","       0.0","X","   1987.5"," ,X","","","     25.89","X","     29.19","X","     22.58","X","","","",""
"RQW00011618","1953","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2753.6","","    2753.6","X","       215","X","       124","X","         8","X","","","","","         0","X","         0","X","         0","X","       364","X","         5","X","","","        65"," ","   18.3","X,0216, ","","","","","  59.7"," ,X,1002, ","   32.8","X,0911, ","       0.0","0","       0.0","X","   1361.2"," ,X","","","     25.90","X","     29.13","X","     22.67","X","","","",""
"RQW00011618","1954","18.46667","-66.11667","13.1","SAN JUAN NS, PR US","   2700.1","","    2700.1","X","       217","X","       131","X","        13","X","","","","","         0","X","         0","X","         0","X","       362","X","         5","X","","","        44"," ","   17.2","X,0130, ","","","","","  67.6"," ,X,0612, ","   32.2","X,0820,+","       0.0","0","       0.0","X","   1468.2"," ,X","","","     25.78","X","     28.84","X","     22.71","X","","","",""
