"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027225","1950","58.1","38.7","114.0","RYBINSK, RS","     13.4","","      13.4","r","       168","r","        71","r","         2","r","        30","r","       160","r","        96","r","        35","r","         0","r","  -36.0","r,0110, ","  44.4"," ,r,0727, ","   28.0","r,0424, ","-0.4","r,1015","-3.1","r,1027","-6.3","r,1101","-7.5","r,1105","-9.7","r,1122","-0.3","r,0513","-4.1","r,0410","-4.6","r,0331","-9.0","r,0330","-9.0","r,0330","","","","","    645.7"," ,r","      3.48","r","      7.22","r","     -0.25","r"
"RSM00027225","1951","58.1","38.7","114.0","RYBINSK, RS","     83.8","","      83.8","r","       145","r","        60","r","         0","r","        26","r","       165","r","       104","r","        67","r","         1","r","  -28.4","r,0215, ","  24.5"," ,r,0724, ","   32.7","r,0816, ","-1.1","r,0925","-4.6","r,1006","-4.6","r,1006","-12.8","r,1030","-12.8","r,1030","-1.2","r,0510","-2.5","r,0414","-10.9","r,0324","-10.9","r,0324","-10.9","r,0324","    5415.3","3","    5415.3","r","    454.2"," ,r","      3.75","r","      7.65","r","     -0.15","r"
"RSM00027225","1952","58.1","38.7","114.0","RYBINSK, RS","     66.3","","      66.3","r","       160","r","        78","r","         2","r","        14","r","       182","r","       110","r","        57","r","         0","r","  -27.5","r,0316, ","  31.5"," ,r,0706, ","   31.5","r,0628, ","-0.3","r,0917","-7.3","r,1028","-7.3","r,1028","-7.3","r,1028","-8.9","r,1129","-2.3","r,0519","-2.3","r,0519","-5.7","r,0407","-12.5","r,0406","-12.5","r,0406","    5248.8","8","    5248.8","r","    679.0"," ,r","      3.90","r","      7.73","r","      0.07","r"
"RSM00027225","1953","58.1","38.7","114.0","RYBINSK, RS","     72.4","","      72.4","r","       164","r","        85","r","         3","r","        33","r","       162","r","       110","r","        71","r","         0","r","  -35.1","r,0205, ","  42.6"," ,r,0714, ","   28.7","r,0606, ","-0.9","r,1007","-4.7","r,1029","-4.7","r,1029","-9.5","r,1030","-9.5","r,1030","-0.6","r,0508","-3.4","r,0413","-5.9","r,0403","-11.3","r,0329","-11.3","r,0329","    5427.1","1","    5427.1","r","    737.8"," ,r","      3.77","r","      7.47","r","      0.07","r"
"RSM00027225","1954","58.1","38.7","114.0","RYBINSK, RS","    168.1","","     168.1","r","       145","r","        65","r","         0","r","        32","r","       162","r","       111","r","        75","r","         6","r","  -31.5","r,0218, ","  17.5"," ,r,1017, ","   33.5","r,0709, ","0.0","r,0926","-6.9","r,1019","-6.9","r,1019","-6.9","r,1019","-12.0","r,1123","0.0","r,0516","-2.7","r,0426","-4.7","r,0412","-7.8","r,0322","-8.9","r,0321","    5477.4","4","    5477.4","r","    444.8"," ,r","      4.03","r","      8.04","r","      0.02","r"
"RSM00027225","1955","58.1","38.7","114.0","RYBINSK, RS","     37.5","","      37.5","r","       186","r","        76","r","         1","r","        43","r","       174","r","       125","r","        50","r","         0","r","  -33.0","r,1211, ","  29.7"," ,r,0619, ","   27.4","r,0802, ","-2.0","r,1021","-2.3","r,1101","-7.2","r,1107","-7.2","r,1107","-10.5","r,1120","-1.6","r,0503","-2.2","r,0424","-5.4","r,0409","-18.1","r,0408","-18.1","r,0408","    5428.6","6","    5428.6","r","    607.0"," ,r","      2.32","r","      5.95","r","     -1.31","r"
"RSM00027225","1956","58.1","38.7","114.0","RYBINSK, RS","     39.6","","      39.6","r","       193","r","        84","r","         2","r","        46","r","       180","r","       135","r","        33","r","         0","r","  -39.1","r,0131, ","  28.3"," ,r,0805, ","   29.8","r,0622, ","-0.2","r,0928","-4.2","r,1028","-6.9","r,1029","-6.9","r,1029","-10.2","r,1030","-0.5","r,0504","-7.5","r,0415","-7.5","r,0415","-7.5","r,0415","-19.8","r,0406","    6116.9","9","    6116.9","r","    748.0"," ,r","      1.64","r","      5.37","r","     -2.09","r"
"RSM00027225","1957","58.1","38.7","114.0","RYBINSK, RS","     92.1","","      92.1","r","       176","r","        91","r","         0","r","        17","r","       154","r","        92","r","        62","r","         0","r","  -26.1","r,0317, ","  25.1"," ,r,0625, ","   30.2","r,0726, ","-2.1","r,1009","-4.1","r,1010","-5.1","r,1011","-7.7","r,1120","-9.1","r,1126","-0.1","r,0424","-6.4","r,0418","-6.4","r,0418","-7.8","r,0411","-10.6","r,0326","    5405.6","6","    5405.6","r","    615.8"," ,r","      4.90","r","      8.39","r","      1.41","r"
"RSM00027225","1958","58.1","38.7","114.0","RYBINSK, RS","     70.9","","      70.9","r","       155","r","        77","r","         1","r","        43","r","       167","r","        98","r","        42","r","         0","r","  -33.1","r,0106, ","  37.5"," ,r,0927, ","   30.3","r,0529, ","-1.1","r,0920","-3.8","r,1029","-4.7","r,1108","-10.6","r,1126","-10.6","r,1126","-0.4","r,0508","-4.3","r,0425","-5.5","r,0415","-11.2","r,0409","-11.2","r,0409","    5415.5","5","    5415.5","r","    616.7"," ,r","      2.86","r","      6.69","r","     -0.97","r"
"RSM00027225","1959","58.1","38.7","114.0","RYBINSK, RS","     87.3","","      87.3","r","       153","r","        72","r","         0","r","        24","r","       181","r","       107","r","        63","r","         0","r","  -29.9","r,1206, ","  23.8"," ,r,0704, ","   29.4","r,0702, ","-0.5","r,1003","-3.0","r,1010","-4.9","r,1022","-10.2","r,1023","-10.2","r,1023","0.0","r,0426","-3.5","r,0424","-4.9","r,0422","-7.4","r,0407","-11.3","r,0406","    5210.2","2","    5210.2","r","    569.1"," ,r","      3.67","r","      7.45","r","     -0.11","r"
