"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"RSM00030708","1933","52.05","101.067","2083.0","ILCIR, RS","       110","I","        47","I","         0","I","  23.8"," ,I,0809, ","    425.8"," ,I"
"RSM00030708","1934","52.05","101.067","2083.0","ILCIR, RS","       119","I","        42","I","         4","I","  46.8"," ,I,0613, ","    460.6"," ,I"
"RSM00030708","1935","52.05","101.067","2083.0","ILCIR, RS","        99","I","        39","I","         1","I","  30.3"," ,I,0805, ","    357.8"," ,I"
"RSM00030708","1936","52.05","101.067","2083.0","ILCIR, RS","       133","I","        52","I","         0","I","  15.5"," ,I,0705, ","    412.1"," ,I"
"RSM00030708","1937","52.05","101.067","2083.0","ILCIR, RS","       122","I","        46","I","         2","I","  53.2"," ,I,0618, ","    564.7"," ,I"
"RSM00030708","1938","52.05","101.067","2083.0","ILCIR, RS","       113","I","        46","I","         1","I","  37.4"," ,I,0609, ","    415.1"," ,I"
"RSM00030708","1939","52.05","101.067","2083.0","ILCIR, RS","       128","I","        50","I","         0","I","  23.0"," ,I,0709, ","    422.1"," ,I"
"RSM00030708","1940","52.05","101.067","2083.0","ILCIR, RS","       151","I","        57","I","         1","I","  37.5"," ,I,0809, ","    541.2"," ,I"
"RSM00030708","1941","52.05","101.067","2083.0","ILCIR, RS","       134","I","        51","I","         3","I","  36.8"," ,I,0630, ","    605.4"," ,I"
"RSM00030708","1944","52.05","101.067","2083.0","ILCIR, RS","       122","I","        47","I","         1","I","  26.3"," ,I,0626, ","    398.1"," ,I"
"RSM00030708","1945","52.05","101.067","2083.0","ILCIR, RS","       130","I","        56","I","         1","I","  32.2"," ,I,0722, ","    470.9"," ,I"
"RSM00030708","1946","52.05","101.067","2083.0","ILCIR, RS","       125","I","        51","I","         2","I","  33.2"," ,I,0704, ","    501.0"," ,I"
"RSM00030708","1947","52.05","101.067","2083.0","ILCIR, RS","       125","I","        45","I","         3","I","  46.1"," ,I,0817, ","    561.1"," ,I"
"RSM00030708","1948","52.05","101.067","2083.0","ILCIR, RS","       110","I","        50","I","         4","I","  30.8"," ,I,0816, ","    545.7"," ,I"
"RSM00030708","1949","52.05","101.067","2083.0","ILCIR, RS","       117","I","        47","I","         1","I","  65.6"," ,I,0726, ","    453.1"," ,I"
"RSM00030708","1950","52.05","101.067","2083.0","ILCIR, RS","       149","I","        65","I","         3","I","  44.2"," ,I,0626, ","    583.1"," ,I"
"RSM00030708","1951","52.05","101.067","2083.0","ILCIR, RS","       119","I","        49","I","         2","I","  28.3"," ,I,0616, ","    499.8"," ,I"
"RSM00030708","1952","52.05","101.067","2083.0","ILCIR, RS","       135","I","        49","I","         0","I","  24.2"," ,I,0614, ","    455.7"," ,I"
"RSM00030708","1953","52.05","101.067","2083.0","ILCIR, RS","       110","I","        50","I","         2","I","  33.3"," ,I,0806, ","    489.8"," ,I"
"RSM00030708","1954","52.05","101.067","2083.0","ILCIR, RS","       103","I","        45","I","         2","I","  30.5"," ,I,0619, ","    452.6"," ,I"
"RSM00030708","1955","52.05","101.067","2083.0","ILCIR, RS","       107","I","        51","I","         1","I","  32.6"," ,I,0801, ","    484.2"," ,I"
"RSM00030708","1956","52.05","101.067","2083.0","ILCIR, RS","        98","I","        43","I","         1","I","  47.3"," ,I,0627, ","    426.6"," ,I"
"RSM00030708","1957","52.05","101.067","2083.0","ILCIR, RS","        99","I","        51","I","         2","I","  27.1"," ,I,0903, ","    469.4"," ,I"
"RSM00030708","1958","52.05","101.067","2083.0","ILCIR, RS","       107","I","        43","I","         0","I","  17.0"," ,I,0518, ","    342.1"," ,I"
"RSM00030708","1959","52.05","101.067","2083.0","ILCIR, RS","        97","I","        50","I","         2","I","  34.0"," ,I,0810, ","    480.2"," ,I"
"RSM00030708","1960","52.05","101.067","2083.0","ILCIR, RS","        92","I","        44","I","         1","I","  26.5"," ,I,0717, ","    385.0"," ,I"
"RSM00030708","1961","52.05","101.067","2083.0","ILCIR, RS","        90","I","        38","I","         1","I","  31.5"," ,I,0822, ","    421.3"," ,I"
