"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SF002977210","1916","-28.52","28.42","1900.0","CLARENS POL, SF","        68","I","        50","I","         3","I","  33.3"," ,I,1221, ","    523.6"," ,I"
"SF002977210","1919","-28.52","28.42","1900.0","CLARENS POL, SF","        55","I","        46","I","         3","I","  29.5"," ,I,1107, ","    438.3"," ,I"
"SF002977210","1920","-28.52","28.42","1900.0","CLARENS POL, SF","        74","I","        59","I","         6","I","  39.1"," ,I,0302, ","    665.4"," ,I"
"SF002977210","1921","-28.52","28.42","1900.0","CLARENS POL, SF","        73","I","        46","I","         6","I","  59.2"," ,I,1221, ","    677.3"," ,I"
"SF002977210","1922","-28.52","28.42","1900.0","CLARENS POL, SF","        59","I","        41","I","         6","I","  56.9"," ,I,1116, ","    654.9"," ,I"
"SF002977210","1926","-28.52","28.42","1900.0","CLARENS POL, SF","        65","I","        56","I","        12","I","  64.8"," ,I,1227, ","    847.8"," ,I"
"SF002977210","1927","-28.52","28.42","1900.0","CLARENS POL, SF","        58","I","        52","I","         6","I","  58.4"," ,I,1015, ","    636.7"," ,I"
"SF002977210","1930","-28.52","28.42","1900.0","CLARENS POL, SF","        31","I","        30","I","         4","I","  35.8"," ,I,1217, ","    403.0"," ,I"
"SF002977210","1932","-28.52","28.42","1900.0","CLARENS POL, SF","        52","I","        42","I","         4","I","  61.7"," ,I,0218, ","    569.3"," ,I"
"SF002977210","1934","-28.52","28.42","1900.0","CLARENS POL, SF","        70","I","        69","I","        14","I","  86.9"," ,I,1207, ","   1168.7"," ,I"
"SF002977210","1935","-28.52","28.42","1900.0","CLARENS POL, SF","        48","I","        45","I","         1","I","  46.7"," ,I,0327, ","    523.2"," ,I"
"SF002977210","1936","-28.52","28.42","1900.0","CLARENS POL, SF","        49","I","        46","I","         8","I","  45.2"," ,I,1120, ","    726.2"," ,I"
"SF002977210","1938","-28.52","28.42","1900.0","CLARENS POL, SF","        37","I","        37","I","        12","I","  55.9"," ,I,0414, ","    778.0"," ,I"
