"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SP000006155","1943","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    764.1","","     764.1","E","        56","E","        35","E","         4","E","         0","E","         0","E","         0","E","       190","E","        20","E","    2.2","E,0218, ","  68.0"," ,E,0223, ","   37.2","E,0629, ","","","","","","","     874.5","5","     874.5","E","    457.6"," ,E","     17.91","E","     22.63","E","     13.19","E"
"SP000006155","1944","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    670.3","","     670.3","E","        55","E","        30","E","         4","E","         0","E","         0","E","         0","E","       214","E","        17","E","    0.4","E,0222, ","  44.8"," ,E,0408, ","   38.8","E,0802, ","","","","","","","     969.6","6","     969.6","E","    373.2"," ,E","     17.51","E","     22.72","E","     12.29","E"
"SP000006155","1945","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    835.7","","     835.7","E","        30","E","        20","E","         6","E","         0","E","         0","E","         0","E","       217","E","        24","E","    0.6","E,0116, ","  79.0"," ,E,1221, ","   39.4","E,0719, ","","","","","","","     917.4","4","     917.4","E","    417.1"," ,E","     18.49","E","     23.28","E","     13.69","E"
"SP000006155","1946","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","","","","","        49","E","        41","E","         8","E","","","","","","","","","","","","","  85.8"," ,E,1112, ","","","","","","","","","","","","","    607.0"," ,E","","","","","",""
"SP000006155","1947","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    850.8","","     850.8","E","        47","E","        36","E","         3","E","         0","E","         0","E","         0","E","       214","E","        18","E","    0.6","E,0127, ","  86.0"," ,E,1130, ","   39.0","E,0805, ","","","","","","","","","","","    450.4"," ,E","     18.57","E","     23.11","E","     14.03","E"
"SP000006155","1948","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    756.1","","     756.1","E","        41","E","        26","E","         3","E","         0","E","         0","E","         0","E","       214","E","        20","E","    3.2","E,0114, ","  34.0"," ,E,0127, ","   39.4","E,0805, ","","","","","","","     752.3","3","     752.3","E","    325.2"," ,E","     18.44","E","     23.33","E","     13.55","E"
"SP000006155","1949","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","","","","","        45","E","        33","E","         9","E","","","","","","","","","","","","","  53.0"," ,E,1230, ","","","","","","","","","","","","","    558.3"," ,E","","","","","",""
"SP000006155","1950","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    891.2","","     891.2","E","        39","E","        30","E","         2","E","         0","E","         0","E","         0","E","       235","E","        35","E","    3.0","E,1227, ","  36.0"," ,E,0929, ","   43.8","E,0710, ","","","","","","","     731.3","3","     731.3","E","    326.3"," ,E","     18.70","E","     23.83","E","     13.57","E"
"SP000006155","1951","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    746.9","","     746.9","E","        46","E","        29","E","         5","E","         0","E","         0","E","         0","E","       209","E","        16","E","    4.4","E,0105, ","  42.0"," ,E,1109, ","   40.8","E,0722, ","","","","","","","     826.2","2","     826.2","E","    457.5"," ,E","     18.07","E","     22.47","E","     13.68","E"
"SP000006155","1952","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    921.9","","     921.9","E","        48","E","        32","E","         3","E","         0","E","         0","E","         0","E","       227","E","        34","E","    0.2","E,0121, ","  35.0"," ,E,0503, ","   40.3","E,0708, ","","","","","","","     797.2","2","     797.2","E","    417.8"," ,E","     18.72","E","     23.72","E","     13.72","E"
