"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00119720","1972","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     50.4","","      50.4","E","       160","E","       112","E","         8","E","         0","E","        13","E","         0","E","        62","E","         0","E","   -1.8","E,1126,+","  48.8"," ,E,1026, ","   31.8","E,0714, ","-1.8","E,1126","","","","","-0.2","E,0329","","","","","","","","","   1350.0"," ,E","     12.45","E","     16.52","E","      8.37","E"
"SPE00119720","1973","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     67.4","","      67.4","E","       128","E","        83","E","         6","E","         0","E","        22","E","         0","E","        93","E","         0","E","   -4.5","E,0103, ","  48.0"," ,E,0131, ","   29.6","E,0818, ","-2.5","E,1204","-2.5","E,1204","","","-1.0","E,0421","-2.5","E,0110","-4.5","E,0103","    2079.2","2","    2079.2","E","   1032.2"," ,E","     12.82","E","     17.36","E","      8.27","E"
"SPE00119720","1974","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     23.5","","      23.5","E","       147","E","       100","E","         7","E","         0","E","        14","E","         0","E","        71","E","         0","E","   -3.0","E,1215, ","  69.0"," ,E,0108, ","   30.7","E,0707, ","0.0","E,1106","-3.0","E,1215","","","-2.2","E,0311","-2.2","E,0311","","","    2028.4","4","    2028.4","E","   1184.8"," ,E","     12.37","E","     16.83","E","      7.90","E"
"SPE00119720","1975","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     70.5","","      70.5","E","       161","E","        99","E","         5","E","         0","E","        23","E","         0","E","       103","E","         1","E","   -4.6","E,0108, ","  44.0"," ,E,1202, ","   32.4","E,0605, ","-0.4","E,1207","-3.2","E,1222","","","-0.2","E,0407","-2.4","E,0110","-4.6","E,0108","    2181.0","0","    2181.0","E","   1053.6"," ,E","     13.12","E","     17.54","E","      8.69","E"
"SPE00119720","1976","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    105.4","","     105.4","E","","","","","","","         0","E","        27","E","         0","E","       107","E","         1","E","   -3.0","E,0118, ","","","   33.1","E,0628, ","-1.0","E,1123","","","","","-0.5","E,0411","-2.5","E,0309","","","    2001.0","0","    2001.0","E","","","     13.09","E","     17.85","E","      8.33","E"
"SPE00119720","1977","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","","","","","       180","E","       125","E","         8","E","","","","","","","","","","","","","  56.2"," ,E,1007, ","","","","","","","","","","","","","","","","","","","   1462.8"," ,E","","","","","",""
"SPE00119720","1978","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     66.2","","      66.2","E","       172","E","       107","E","         9","E","         0","E","         4","E","         0","E","        85","E","         2","E","   -2.0","E,0105, ","  65.0"," ,E,1210, ","   32.6","E,0916,+","","","","","","","-0.6","E,0211","","","","","    1920.0","0","    1920.0","E","   1288.3"," ,E","     13.31","E","     17.56","E","      9.05","E"
"SPE00119720","1979","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     81.4","","      81.4","E","       175","E","       126","E","         9","E","         0","E","         5","E","         0","E","        98","E","         0","E","   -3.0","E,0217, ","  40.6"," ,E,0214, ","   32.0","E,0707,+","-0.4","E,1123","","","","","0.0","E,0407","-2.8","E,0227","","","    1879.9","9","    1879.9","E","   1414.8"," ,E","     13.30","E","     17.57","E","      9.04","E"
"SPE00119720","1980","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     84.8","","      84.8","E","       157","E","        96","E","         8","E","         0","E","        10","E","         0","E","        81","E","         1","E","   -3.0","E,0115, ","  91.2"," ,E,0413, ","   35.0","E,0603, ","0.0","E,1106","-2.6","E,1209","","","0.0","E,0211","-3.0","E,0115","","","    1894.2","2","    1894.2","E","   1184.7"," ,E","     13.13","E","     17.51","E","      8.75","E"
"SPE00119720","1981","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     95.9","","      95.9","E","","","","","","","         0","E","        12","E","         0","E","        89","E","         4","E","   -2.8","E,0212, ","","","   35.0","E,0728, ","0.0","E,1219","","","","","-2.0","E,0318","-2.6","E,0217","","","    1937.8","8","    1937.8","E","","","     13.65","E","     18.16","E","      9.13","E"
"SPE00119720","1982","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     71.8","","      71.8","E","       161","E","       100","E","         4","E","         0","E","         7","E","         0","E","        81","E","         1","E","   -2.0","E,0314, ","  46.0"," ,E,0918, ","   34.6","E,0811, ","0.0","E,1203","","","","","-2.0","E,0314","","","","","    1731.2","2","    1731.2","E","   1099.5"," ,E","     13.60","E","     17.90","E","      9.30","E"
"SPE00119720","1983","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     98.4","","      98.4","E","       173","E","       107","E","         4","E","         0","E","        13","E","         0","E","       101","E","         1","E","   -3.8","E,0217, ","  37.0"," ,E,1215, ","   34.0","E,0907, ","0.0","E,1207","","","","","-3.8","E,0217","-3.8","E,0217","","","    1906.0","0","    1906.0","E","   1007.2"," ,E","     13.70","E","     17.99","E","      9.42","E"
"SPE00119720","1984","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     70.6","","      70.6","E","       165","E","       124","E","        14","E","         0","E","        11","E","         0","E","       104","E","         0","E","   -2.4","E,0311, ","  48.6"," ,E,0523, ","   29.8","E,0831, ","","","","","","","0.0","E,0318","-2.4","E,0311","","","    1794.5","5","    1794.5","E","   1506.3"," ,E","     13.20","E","     17.60","E","      8.80","E"
"SPE00119720","1985","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     92.1","","      92.1","E","       158","E","       102","E","         7","E","         0","E","        26","E","         0","E","       110","E","         1","E","   -4.8","E,0107, ","  38.5"," ,E,1105, ","   34.4","E,0911, ","0.0","E,1114","","","","","0.0","E,0309","-4.6","E,0113","-4.6","E,0113","    1939.1","1","    1939.1","E","   1093.6"," ,E","     13.30","E","     18.04","E","      8.57","E"
"SPE00119720","1986","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     64.6","","      64.6","E","","","","","","","         0","E","         7","E","         0","E","        77","E","         1","E","   -1.6","E,1223,+","","","   32.2","E,0716, ","-1.6","E,1223","","","","","0.0","E,0409","","","","","    2037.0","0","    2037.0","E","","","     12.89","E","     17.09","E","      8.69","E"
"SPE00119720","1987","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    123.2","","     123.2","E","       151","E","       102","E","         8","E","         0","E","        14","E","         0","E","       100","E","         2","E","   -3.8","E,0221, ","  53.9"," ,E,1014, ","   34.6","E,0820, ","0.0","E,1128","","","","","-1.0","E,0320","-3.8","E,0221","","","    1866.3","3","    1866.3","E","   1113.7"," ,E","     13.73","E","     18.06","E","      9.40","E"
"SPE00119720","1988","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     50.2","","      50.2","E","","","","","","","         0","E","        12","E","         0","E","        86","E","         1","E","   -4.0","E,1124, ","","","   32.2","E,0906, ","-4.0","E,1124","-4.0","E,1124","","","-0.6","E,0311","-2.4","E,0303","","","    1777.2","2","    1777.2","E","","","     13.35","E","     17.79","E","      8.91","E"
"SPE00119720","1989","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    149.9","","     149.9","E","","","","","","","         0","E","        16","E","         0","E","       131","E","         2","E","   -2.6","E,0118, ","","","   36.0","E,0719, ","","","","","","","-1.2","E,0319","-2.6","E,0118","","","    1863.1","1","    1863.1","E","","","     14.10","E","     19.21","E","      8.99","E"
"SPE00119720","1990","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    178.2","","     178.2","E","       145","E","        89","E","         7","E","         0","E","        12","E","         0","E","       129","E","         2","E","   -3.0","E,1222, ","  33.7"," ,E,1124, ","   33.4","E,0720, ","0.0","E,1129","-2.2","E,1218","","","-0.4","E,0119","","","","","    1456.2","2","    1456.2","E","    974.7"," ,E","     14.32","E","     18.75","E","      9.89","E"
"SPE00119720","1991","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    121.3","","     121.3","E","       160","E","       108","E","         6","E","         0","E","        17","E","         0","E","        91","E","         1","E","   -2.0","E,0127,+","  41.9"," ,E,0928, ","   32.4","E,0812, ","-0.2","E,1227","","","","","0.0","E,0419","","","","","    1923.0","0","    1923.0","E","   1090.5"," ,E","     13.38","E","     17.57","E","      9.20","E"
"SPE00119720","1992","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     90.8","","      90.8","E","","","","","","","         0","E","        23","E","         0","E","        86","E","         1","E","   -3.4","E,0204, ","","","   32.2","E,0513, ","-2.0","E,1229","","","","","-1.8","E,0222","-2.8","E,0205","","","    1913.7","7","    1913.7","E","","","     13.37","E","     17.67","E","      9.07","E"
"SPE00119720","1993","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     77.7","","      77.7","E","       156","E","        99","E","         6","E","         0","E","         6","E","         0","E","        75","E","         3","E","   -3.2","E,0225, ","  66.1"," ,E,0824, ","   35.0","E,0820, ","-0.4","E,1126","","","","","0.0","E,0306","-3.2","E,0225","","","    1779.6","6","    1779.6","E","   1131.5"," ,E","     13.39","E","     17.64","E","      9.13","E"
"SPE00119720","1994","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     74.1","","      74.1","E","       168","E","       101","E","        10","E","         0","E","         1","E","         0","E","        89","E","         1","E","    0.0","E,1225, ","  65.8"," ,E,1231, ","   34.0","E,0623, ","0.0","E,1225","","","","","","","","","","","    1901.1","1","    1901.1","E","   1209.7"," ,E","     13.84","E","     17.85","E","      9.83","E"
"SPE00119720","1995","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    133.5","","     133.5","E","       164","E","       102","E","         8","E","         0","E","         3","E","         0","E","       122","E","         1","E","   -0.6","E,1215, ","  42.9"," ,E,0919, ","   33.0","E,0724, ","-0.6","E,1215","","","","","-0.4","E,0222","","","","","    1564.7","7","    1564.7","E","   1152.7"," ,E","     14.58","E","     18.93","E","     10.24","E"
"SPE00119720","1996","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","     92.7","","      92.7","E","       168","E","       101","E","         3","E","         0","E","         5","E","         0","E","       110","E","         1","E","   -1.4","E,0308, ","  46.7"," ,E,0517, ","   33.8","E,0614, ","0.0","E,1215","","","","","-1.4","E,0308","","","","","    1591.2","2","    1591.2","E","   1096.9"," ,E","     13.67","E","     18.08","E","      9.26","E"
"SPE00119720","1997","43.3067","-8.3719","98.0","A CORUNA ALVEDRO, SP","    140.5","","     140.5","E","       170","E","       112","E","         6","E","         0","E","         5","E","         0","E","       136","E","         0","E","   -3.2","E,0105, ","  40.9"," ,E,1201, ","   31.8","E,0501, ","","","","","","","0.0","E,0129","-3.2","E,0105","","","    1615.3","3","    1615.3","E","   1106.2"," ,E","     14.84","E","     19.14","E","     10.54","E"
